Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
92,143,U,0, ,7/2-, ,7.04E+8,1,Y,2.221607588611277e16,31556925974592,A,100, ,SF,0.000000007,0.000000002,{+28}Mg,0.0000000008, , ,-0.38, ,4.936, ,
92,143,U,0.076,0.0004,1/2+,AP,26, ,m,1560, ,IT,100, , , , , , , , , , , , ,
92,143,U,13.0339,0.0021,3/2+, ,0.50,3,ns,0.0000000005,0.00000000003, , , , , , , , , , , , , , ,
92,143,U,46.103,0.008,9/2-,AP,14, ,ps,0.000000000014, , , , , , , , , , , , , , , ,
92,143,U,51.6968,0.0011,5/2+, ,191,5,ps,0.000000000191,0.000000000005, , , , , , , , , , , , , , ,
92,143,U,81.724,0.004,7/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,103.903,0.008,11/2-, ,33,5,ps,0.000000000033,0.000000000005, , , , , , , , , , , , , , ,
92,143,U,129.2995,0.001,5/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,150.356,0.016,9/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,171.358,0.005,7/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,171.464,0.013,13/2-, ,21.9,13,ps,0.0000000000219,0.0000000000013, , , , , , , , , , , , , , ,
92,143,U,197.087,0.015,11/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,225.382,0.007,9/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,250.014,0.021,15/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,259,2.1, , , , , , , , , , , , , , , , , , , , , ,
92,143,U,291.135,0.019,11/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,294.557,0.016,13/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,332.845,0.004,5/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,339.976,0.024,17/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,357.22,0.04,15/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,367.031,0.008,7/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,368.9,0.3,13/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,393.218,0.005,3/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,414.768,0.011,9/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,426.741,0.003,5/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,439.39,0.03,19/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,445.648,0.008,7/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,456.84,0.07,15/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,473.826,0.011,7/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,482,0.04,17/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,510.49,0.17,(9/2+), , , , , , , , , , , , , , , , , , , , ,
92,143,U,532.4,0.5,(13/2+), , , , , , , , , , , , , , , , , , , , ,
92,143,U,533.208,0.01,9/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,551.17,0.04,21/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,557.2,0.3,17/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,559.34,0.05,19/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,587.8,0.5,(11/2+), , , , , , , , , , , , , , , , , , , , ,
92,143,U,608.17,0.03,11/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,633.092,0.015,(5/2-), , , , , , , , , , , , , , , , , , , , ,
92,143,U,637.794,0.006,3/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,658.96,0.04,1/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,664.531,0.012,(5/2)-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,666.69,0.1,19/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,670.924,0.025,(7/2)-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,671.94,0.04,23/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,690.2,0.5,(13/2+), , , , , , , , , , , , , , , , , , , , ,
92,143,U,701.101,0.017,(7/2)-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,703.753,0.02,3/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,710.02,0.05,21/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,720.22,0.03,(9/2)-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,750.21,0.16,(9/2-), , , , , , , , , , , , , , , , , , , , ,
92,143,U,761.017,0.006,(1/2)-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,769.27,0.06,1/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,769.934,0.009,3/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,778.36,0.19,(11/2)-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,779.51,0.03,3/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,787.8,0.3,21/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,790.9,0.8,15/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,800.58,0.06,23/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,805.65,0.06,25/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,805.651,0.01,3/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,806.9,0.4,11/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,811.96,0.03,(5/2-), , , , , , , , , , , , , , , , , , , , ,
92,143,U,821.23,0.04,5/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,821.83,0.07,(9/2-), , , , , , , , , , , , , , , , , , , , ,
92,143,U,843.859,0.01,(1/2)+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,845.35,0.02,(7/2+), , , , , , , , , , , , , , , , , , , , ,
92,143,U,850.56,0.03,13/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,865.189,0.008,3/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,879.8,0.3,13/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,885.5,0.6,(11/2-), , , , , , , , , , , , , , , , , , , , ,
92,143,U,891.91,0.03,5/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,905.262,0.018,5/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,916.87,0.13,23/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,921.1,0.4,13/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,924.5,0.5,15/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,943,2,(7/2-), , , , , , , , , , , , , , , , , , , , ,
92,143,U,945.58,0.05,27/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,951.05,0.03,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,953.4,0.3,15/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,960.4,0.6,(13/2-), , , , , , , , , , , , , , , , , , , , ,
92,143,U,968.443,0.014,(3/2)+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,975.94,0.07,25/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,987.7,0.4,13/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,990.229,0.008,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,992.64,0.03,(5/2+), , , , , , , , , , , , , , , , , , , , ,
92,143,U,1002.28,0.2,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1020.6,0.7,19/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1023.79,0.07,17/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1038.231,0.01,5/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1047.1,0.4,15/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1054.2,0.3,17/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1057.4,0.3,25/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1057.42,0.11, , , , , , , , , , , , , , , , , , , , , ,
92,143,U,1066.5,0.5,15/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1072.82,0.17,(1/2 3/2), , , , , , , , , , , , , , , , , , , , ,
92,143,U,1078.03,0.07,27/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1099.02,0.11,(3/2-), , , , , , , , , , , , , , , , , , , , ,
92,143,U,1100.98,0.06,29/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1108,4,(9/2-), , , , , , , , , , , , , , , , , , , , ,
92,143,U,1109,0.3,19/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1116.21,0.04,(5/2-), , , , , , , , , , , , , , , , , , , , ,
92,143,U,1141.3,0.3,17/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1142.6,0.3,19/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1142.633,0.008,(3/2)-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1156.2,0.3,17/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1204.16,0.15,27/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1235.5,0.5,21/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1240.9,0.3,19/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1258.08,0.06,31/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1261.2,0.3,19/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1275.2,0.3,21/2-, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1276.84,0.08,29/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1292.2,0.3,23/2+, , , , , , , , , , , , , , , , , , , , ,
92,143,U,1333.6,0.3,23/2-, , , , , , , , , , , , , , , , , , , , ,
