Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
94,145,Pu,0, ,1/2+, ,24110,30,Y,760837485247.4131,946707779.23776,A,100, ,SF,0.00000000031,0.00000000006, , , , ,0.203, , , ,
94,145,Pu,7.861,0.002,3/2+, ,36,3,ps,0.000000000036,0.000000000003, , , , , , , , , , , , ,-2.319, ,
94,145,Pu,57.275,0.002,5/2+, ,101,5,ps,0.000000000101,0.000000000005, , , , , , , , , , , , ,-3.345, ,
94,145,Pu,75.705,0.003,7/2+, , , , , , , , , , , , , , , , , , ,-3.83, ,
94,145,Pu,163.76,0.03,9/2+, ,73,4,ps,0.000000000073,0.000000000004, , , , , , , , , , , , , , ,
94,145,Pu,192.8,1,11/2+, , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,285.46,0.002,5/2+, ,1.12,5,ns,0.00000000112,0.00000000005, , , , , , , , , , ,-1.3, , , ,
94,145,Pu,318.5,0.7,13/2+, , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,330.124,0.004,7/2+, , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,358.1,0.1,15/2+, , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,387.42,0.02,9/2+, , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,391.584,0.003,7/2-, ,193,4,ns,0.000000193,0.000000004, , , , , , , , , , , , , , ,
94,145,Pu,434,3,(9/2-), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,462,3,(11/2+), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,469.8,0.4,(1/2-), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,487,3,(11/2-), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,492.1,0.3,3/2-, , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,505.6,0.2,(5/2-), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,511.838,0.013,7/2+, , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,519.3,0.6,17/2+, , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,538,3, , , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,556.2,0.5,(7/2-), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,565, ,(9/2+), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,570.6,0.7,19/2+, , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,583,3,(9/2-), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,620, ,(15/2-), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,634, ,11/2+, , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,661.1,1.1,(11/2-), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,698.7,1,(13/2-), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,716, , , , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,752.5,0.5,1/2+ 3/2, , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,756,3, , , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,763,3, , , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,764.6,0.6,(21/2+), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,779,3, , , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,798.2,0.5,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,805.1,0.5,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,806.7,1.5,(15/2-), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,813,3, , , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,825.5,1,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,828,0.7,(23/2+), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,854,2, , , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,857.5,1,(17/2-), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,888,0.5,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,900,2, , , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,915,3, , , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,933.3,1,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,948,3, , , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,990, ,(3/2-), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,992.4,1.8,(19/2-), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,1017, ,(1/2-), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,1027,2, , , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,1038, ,(7/2-), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,1052.9,0.3,(25/2+), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,1058.1,1.1,(21/2-), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,1062,2, , , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,1099.9,0.5,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,1100, ,(5/2-), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,1127.6,0.7,(27/2+), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,1137, ,(11/2-), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,1174, , , , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,1214, ,(1/2+), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,1219.7,2.1,(23/2-), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,1233, ,(3/2+), , , , , , , , , , , , , , , , , , , , ,
94,145,Pu,1233, ,(9/2-), , , , , , , , , , , , , , , , , , , , ,
