Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
30,35,Zn,0, ,5/2-, ,243.93,9,d,21075552,7776,EC+B+,100, , , , , , , , ,0.769, ,-0.023, ,
30,35,Zn,53.928,0.01,(1/2)-, ,1.6,6,us,0.0000016,0.0000006, , , , , , , , , , , , , , ,
30,35,Zn,115.127,0.014,3/2-, ,444,9,ps,0.000000000444,0.000000000009, , , , , , , , , , ,-0.78, , , ,
30,35,Zn,206.94,0.08,3/2-, ,150,7,ps,0.00000000015,0.000000000007, , , , , , , , , , ,0.73, , , ,
30,35,Zn,768.7,0.08,5/2-, ,1.3,+7-4,ps,0.0000000000013, , , , , , , , , , , , , , , ,
30,35,Zn,864.21,0.07,7/2-, ,3,+5-2,ps,0.000000000003, , , , , , , , , , , , , , , ,
30,35,Zn,866.92,0.12,1/2-, ,0.55,+27-15,ps,0.00000000000055, , , , , , , , , , , , , , , ,
30,35,Zn,909.65,0.09,3/2-, ,1.4,+5-3,ps,0.0000000000014, , , , , , , , , , , , , , , ,
30,35,Zn,1047.39,0.12,5/2-, ,0.37,9,ps,0.00000000000037,0.00000000000009, , , , , , , , , , , , , , ,
30,35,Zn,1062.1,0.7, , , , , , , , , , , , , , , , , , , , , ,
30,35,Zn,1065.51,0.1,9/2+, ,575,26,ps,0.000000000575,0.000000000026, , , , , , , , , , ,-1.73, , , ,
30,35,Zn,1252.66,0.12,7/2-, ,1.1,5,ps,0.0000000000011,0.0000000000005, , , , , , , , , , , , , , ,
30,35,Zn,1263.42,0.16,9/2-, , , , , , , , , , , , , , , , , , , , ,
30,35,Zn,1343.85,0.11,5/2-,AP,1.7, ,ps,0.0000000000017, , , , , , , , , , , , , , , ,
30,35,Zn,1369.08,0.18,5/2+,AP,1.4, ,ps,0.0000000000014, , , , , , , , , , , , , , , ,
30,35,Zn,1469.73,0.1,3/2-, ,0.16,4,ps,0.00000000000016,0.00000000000004, , , , , , , , , , , , , , ,
30,35,Zn,1577.05,0.25,3/2-, ,0.17,4,ps,0.00000000000017,0.00000000000004, , , , , , , , , , , , , , ,
30,35,Zn,1588.08,0.25,7/2-, ,0.15,6,ps,0.00000000000015,0.00000000000006, , , , , , , , , , , , , , ,
30,35,Zn,1603, , , , , , , , , , , , , , , , , , , , , , ,
30,35,Zn,1779.6,0.7, , , , , , , , , , , , , , , , , , , , , ,
30,35,Zn,1793.5,0.7, , , , , , , , , , , , , , , , , , , , , ,
30,35,Zn,1907.5,0.4,(9/2), , , , , , , , , , , , , , , , , , , , ,
30,35,Zn,1908,5,1/2+, , , , , , , , , , , , , , , , , , , , ,
30,35,Zn,1941.1,0.6,(1/2 3/2 5/2+), , , , , , , , , , , , , , , , , , , , ,
