Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
44,57,Ru,0, ,5/2+, ,STABLE, , , , , , , , , , , , , , ,-0.719, ,0.44, ,
44,57,Ru,127.229,0.008,3/2+, ,0.655,4,ns,0.000000000655,0.000000000004, , , , , , , , , , ,-0.21, , , ,
44,57,Ru,306.858,0.005,7/2+, ,0.053,14,ns,0.000000000053,0.000000000014, , , , , , , , , , , , , , ,
44,57,Ru,311.368,0.017,5/2+,LE,0.15, ,ns,0.00000000015, , , , , , , , , , , , , , , ,
44,57,Ru,325.23,0.03,1/2+, ,0.20,4,ns,0.0000000002,0.00000000004, , , , , , , , , , , , , , ,
44,57,Ru,422.22,0.03,3/2+,GE,1.4, ,ps,0.0000000000014, , , , , , , , , , , , , , , ,
44,57,Ru,527.56,0.1,11/2-, ,17.5,4,us,0.0000175,0.0000004,IT,100, , , , , , , , , , , , ,
44,57,Ru,535,1.2,3/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,545.115,0.007,7/2+, ,1.5,3,ps,0.0000000000015,0.0000000000003, , , , , , , , , , , , , , ,
44,57,Ru,598.34,0.18,(5/2-), , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,616.3,0.1,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,623,5,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,623.59,0.19,1/2+, ,17,+3-2,ps,0.000000000017, , , , , , , , , , , , , , , ,
44,57,Ru,684,2, , , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,720,2.4,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,720.02,0.05,9/2+, ,3.0,8,ps,0.000000000003,0.0000000000008, , , , , , , , , , , , , , ,
44,57,Ru,742,7, , , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,824,2,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,842.76,0.04,(7/2)+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,907,2,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,927,5,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,928.77,0.05,9/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,938.365,0.012,(7/2)+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,958.4,0.4,15/2-, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,973.4,1.2,3/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1001.15,0.14,11/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1038,2,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1051,7,7/2+ 9/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1098,7,1/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1111,2,1/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1164,2,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1206.8,0.4, , , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1219,0.3, , , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1225,5,7/2+ 9/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1227,7,1/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1266,2,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1276,5,1/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1321.57,0.18,(11/2+), , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1390,0.3, , , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1425,2, , , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1477,2,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1499.3,1.1,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1500.9,0.3,13/2+, ,0.59,17,ps,0.00000000000059,0.00000000000017, , , , , , , , , , , , , , ,
44,57,Ru,1536.5,0.3, , , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1542,2,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1587.28,0.18,5/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1622.3,0.5,19/2-,GT,1.2, ,ps,0.0000000000012, , , , , , , , , , , , , , , ,
44,57,Ru,1659,7, , , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1688,2,11/2- 9/2-, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1701,5,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1714,2,1/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1758,2,1/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1761.87,0.11, , , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1774.1,0.5,11/2-, ,2.4,+21-10,ps,0.0000000000024, , , , , , , , , , , , , , , ,
44,57,Ru,1779,7,3/2- 1/2-, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1812,2,5/2+ 9/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1822,2,5/2+ 3/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1843.4,1,3/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1858,2,1/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1862.4,0.4,15/2+,GT,1.7, ,ps,0.0000000000017, , , , , , , , , , , , , , , ,
44,57,Ru,1880.1,1,3/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1893,7, , , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1936,7,1/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1961.5,1.1,(1/2 3/2), , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1971,1.2,3/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,1997,1,3/2+ 3/2-, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2017,1.3,(1/2 3/2), , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2017.5,0.5,(11/2 TO 19/2), , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2057,7,1/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2063.4,0.5, , , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2086.7,1,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2100,15, , , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2131,3,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2147,7,(1/2- 3/2-), , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2173.9,0.5,17/2+,GT,1.4, ,ps,0.0000000000014, , , , , , , , , , , , , , , ,
44,57,Ru,2218,4, , , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2222.7,0.5,(11/2 TO 19/2), , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2244,3, , , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2299,7,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2317.7,1,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2326.8,0.9, , , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2346,0.6,(1/2- 3/2-), , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2350,15,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2377.2,0.5,17/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2404,7,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2443,7,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2459,7,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2473.2,0.6,23/2-, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2493,7,5/2+ 3/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2544,7, , , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2560.9,0.9,(1/2 3/2), , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2601,3, , , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2601.3,1.5,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2625.5,1.5,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2659.6,0.9,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2694,7,5/2+ 3/2+, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2718,7,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2752,7, , , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2768.5,1.3,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2784,7,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
44,57,Ru,2797.5,0.8,(15/2 TO 23/2), ,0.55,+14-7,ps,0.00000000000055, , , , , , , , , , , , , , , ,
44,57,Ru,2801.8,0.6,(21/2+), , , , , , , , , , , , , , , , , , , , ,
