Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
46,59,Pd,0, ,5/2+, ,STABLE, , , , , , , , , , , , , , ,-0.642, ,0.66, ,
46,59,Pd,280.51,0.22,3/2+, ,67,14,ps,0.000000000067,0.000000000014, , , , , , , , , , ,-0.074, , , ,
46,59,Pd,306.25,0.03,7/2+,GT,69, ,ps,0.000000000069, , , , , , , , , , , , , , , ,
46,59,Pd,319.216,0.024,5/2+, ,39,2,ps,0.000000000039,0.000000000002, , , , , , , , , , ,0.95, , , ,
46,59,Pd,344.512,0.018,1/2+, ,0.88,5,ns,0.00000000088,0.00000000005, , , , , , , , , , , , , , ,
46,59,Pd,442.38,0.04,(7/2)+, ,3.71,9,ps,0.00000000000371,0.00000000000009, , , , , , , , , , , , , , ,
46,59,Pd,447, ,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,489.14,0.04,11/2-, ,36.1,4,us,0.0000361,0.0000004, , , , , , , , , , , , , , ,
46,59,Pd,535, , , , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,560.75,0.03,3/2+, ,1.9,5,ps,0.0000000000019,0.0000000000005, , , , , , , , , , , , , , ,
46,59,Pd,644.53,0.04,7/2-, ,126,2,ps,0.000000000126,0.000000000002, , , , , , , , , , ,-1.49, , , ,
46,59,Pd,650.7,0.03,(3/2)+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,673.17,0.03,1/2+,GT,2, ,ps,0.000000000002, , , , , , , , , , , , , , , ,
46,59,Pd,696.66,0.15,(7/2+), , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,727.22,0.04,(5/2)+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,781.94,0.04,9/2+, ,1.4,1,ps,0.0000000000014,0.0000000000001, , , , , , , , , , , , , , ,
46,59,Pd,787,8,(1/2+), , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,808, , , , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,901.98,0.12,5/2+ 7/2+ 9/2+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,921,0.09, , , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,929.13,0.08,5/2+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,939,8,(1/2+), , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,961.4,0.4, , , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,962.38,0.04,(1/2 3/2)+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,970.15,0.07,(15/2)-, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,972, , , , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1011.55,0.21,(7/2- 9/2 11/2+), , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1011.71,0.06,(11/2)+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1072.2,0.5,(5/2 7/2 9/2+), , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1074.4,0.4, , , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1075,8,(1/2+), , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1087.96,0.04,3/2-, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1098.42,0.2,(5/2 7/2 9/2)+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1102.1,0.4,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1125.33,0.11, , , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1140.81,0.14,(1/2+), , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1142.35,0.14, , , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1177.7,0.3, , , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1201.6,0.4,(3/2 5/2)+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1259.11,0.2, , , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1263,8,1/2+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1271.44,0.07,(11/2)+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1324.3,0.17,(11/2+), , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1405.1,0.3, , , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1411.03,0.16,(13/2+), , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1520.5,0.8,(3/2 5/2)+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1601.3,0.5,(3/2 5/2)+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1650.4,1.6, , , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1671.19,0.1,(13/2)+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1700.6,0.8, , , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1741.98,0.09,(19/2)-, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1749.68,0.19,(13/2)+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1763.3,0.13,(15/2)-, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1774.6,0.5, , , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1854.21,0.19,(13/2+), , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1865.5,0.4,(3/2 5/2)+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1874.02,0.17,(15/2+), , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1902.02,0.15,(15/2)+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1922.9,0.3,1/2+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1961.53,0.08,(17/2)-, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,1988.4,0.4,(3/2 5/2)+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,2064.5,0.7,(3/2 5/2)+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,2101.4,0.7, , , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,2197.19,0.19,(15/2)+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,2280.76,0.21,(17/2)-, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,2344.73,0.15,(19/2)-, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,2420, , , , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,2491.1,0.3,(19/2-), , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,2552.15,0.14,(17/2)+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,2565.07,0.12,(17/2)+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,2613,8, , , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,2700.4,0.13,(23/2)-, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,2704.08,0.18,(19/2-), , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,2756.04,0.16,(19/2)+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,2775.75,0.12,(21/2-), , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,2806.7,0.14,(19/2)+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,2900.92,0.13,(21/2-), , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,3072.99,0.15,(21/2)+, , , , , , , , , , , , , , , , , , , , ,
46,59,Pd,3119.36,0.16,(21/2)+, , , , , , , , , , , , , , , , , , , , ,
