Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
45,60,Rh,0, ,7/2+, ,35.36,6,h,127296,216,B-,100, , , , , , , , ,4.452, , , ,
45,60,Rh,129.782,0.004,1/2-, ,42.9,3,s,42.9,0.3,IT,100, , , , , , , , , , , , ,
45,60,Rh,149.13,0.06,9/2+,LE,0.3, ,ns,0.0000000003, , , , , , , , , , , , , , , ,
45,60,Rh,392.56,0.05,3/2-, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,455.87,0.06,5/2-, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,469.4,0.05,3/2+,LE,0.4, ,ns,0.0000000004, , , , , , , , , , , , , , , ,
45,60,Rh,474,5,(7/2 9/2)+, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,499.36,0.05,5/2+, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,524,5, , , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,602.75,0.08,11/2+, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,638.7,0.05,7/2+, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,724.35,0.05,5/2+,LE,0.2, ,ns,0.0000000002, , , , , , , , , , , , , , , ,
45,60,Rh,734.25,0.07,11/2+, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,762.08,0.08,3/2-, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,783,5,(3/2)-, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,785.92,0.05,1/2+,LE,0.4, ,ns,0.0000000004, , , , , , , , , , , , , , , ,
45,60,Rh,794.94,0.08,13/2+, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,805.98,0.05,3/2+,LE,0.2, ,ns,0.0000000002, , , , , , , , , , , , , , , ,
45,60,Rh,817,5,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,830,10,9/2+, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,833.66,0.21,(11/2), , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,842.66,0.21, , , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,866,5,5/2-, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,869.32,0.19,(5/2), , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,894.43,0.09,7/2-, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,924,5, , , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,969.5,0.05,5/2+, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,978.43,0.1,(9/2+), , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,978.81,0.09,9/2-, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1019.01,0.08,7/2+, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1147.37,0.21,3/2- 5/2-, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1190,5, , , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1206.92,0.1,13/2+, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1215,5,3/2- 5/2-, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1296.9,0.5,1/2-, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1316.3,0.21, , , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1321.38,0.06,(5/2+), , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1345.27,0.05,3/2+, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1351,5,3/2- 5/2-, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1355,1,(9/2)+, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1365.88,0.1,15/2+, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1377.08,0.05,3/2+, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1393,5, , , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1399.83,0.12,11/2+, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1405.94,0.22, , , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1441.35,0.15,(3/2+ 5/2), , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1462,10,3/2-, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1475.01,0.22, , , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1486.82,0.09,(3/2+), , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1519.1,0.7, , , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1521,5,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1529.64,0.22, , , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1564.99,0.19,(11/2-), , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1577,5, , , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1605.47,0.13,17/2+, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1608,8, , , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1647.02,0.1,13/2-, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1649,10,3/2- 5/2-, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1676.94,0.1,15/2+, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1690,10,(7/2- 9/2-), , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1698.44,0.12,(3/2+ 5/2), , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1708.43,0.12,(3/2+ 5/2), , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1721.36,0.15,(5/2+), , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1745.26,0.22, , , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1758,10,7/2- 9/2-, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1765.4,0.3,(5/2+ 3/2+), , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1780.8,0.4, , , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1809.71,0.2,(5/2 3/2+), , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1829.6,0.3,(5/2+), , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1849,10,3/2- 5/2-, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1864,5,(3/2+ 5/2 7/2-), , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1887,10,3/2- 5/2-, , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1904,10,(3/2- 5/2-), , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1905.7,0.4, , , , , , , , , , , , , , , , , , , , , ,
45,60,Rh,1913,5,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
