Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
48,61,Cd,0, ,5/2+, ,461.9,4,d,39908160,34560,EC,100, , , , , , , , ,-0.8278461, ,0.604, ,
48,61,Cd,59.6,0.07,1/2+, ,11.8,16,us,0.0000118,0.0000016,IT,100, , , , , , , , , , , , ,
48,61,Cd,203.4,0.05,7/2+, ,36,+6-1,ps,0.000000000036, , , , , , , , , , , , , , , ,
48,61,Cd,347.51,0.06,5/2+, , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,426.42,0.06,5/2+, , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,463.1,0.11,11/2-, ,10.6,4,us,0.0000106,0.0000004,IT,100, , , , , , , , ,-1.096, ,-0.92, ,
48,61,Cd,623.88,0.07,7/2+, ,41,+25-15,fs,0.000000000000041, , , , , , , , , , , , , , , ,
48,61,Cd,673.41,0.08,3/2+, ,55,+15-12,fs,0.000000000000055, , , , , , , , , , , , , , , ,
48,61,Cd,721.67,0.07,5/2+, ,76,+21-13,fs,0.000000000000076, , , , , , , , , , , , , , , ,
48,61,Cd,818,5,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,822.04,0.07,9/2+, ,90,+49-28,fs,0.00000000000009, , , , , , , , , , , , , , , ,
48,61,Cd,891.25,0.07,3/2+ 5/2+, ,36,+8-6,fs,0.000000000000036, , , , , , , , , , , , , , , ,
48,61,Cd,929.38,0.08,5/2+, , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,985.51,0.15,15/2-, ,10.0,4,ps,0.00000000001,0.0000000000004, , , , , , , , , , , , , , ,
48,61,Cd,997.5,0.08,7/2+, ,64,+20-12,fs,0.000000000000064, , , , , , , , , , , , , , , ,
48,61,Cd,1066.09,0.11,11/2+, , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1105,5,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1105.83,0.09,9/2+, ,73,+38-24,fs,0.000000000000073, , , , , , , , , , , , , , , ,
48,61,Cd,1121.21,0.08,(1/2+ 3/2 5/2+), , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1132.91,0.21,7/2+, ,61,+32-18,fs,0.000000000000061, , , , , , , , , , , , , , , ,
48,61,Cd,1173.48,0.14,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1219.01,0.18, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1318.1,0.12,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1352.15,0.07,(7/2)+, , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1388.56,0.13,(7/2+ 9/2+), , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1417.96,0.18,1/2+, , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1425.2,0.3,(13/2-), , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1430.1,0.4,(7/2 9/2+), , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1458.75,0.15, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1475.69,0.09,(7/2 9/2)+, , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1479.77,0.2, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1539.37,0.16,(7/2+ 9/2+), , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1563.1,0.3,11/2(+), , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1580.71,0.18, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1593.3,0.3, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1622.46,0.08,(7/2)+, , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1633.55,0.23, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1729.99,0.19, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1772.79,0.1,(7/2 9/2)+, , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1787.36,0.1, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1813.42,0.12, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1821.5,0.17,19/2-, ,0.59,14,ps,0.00000000000059,0.00000000000014, , , , , , , , , , , , , , ,
48,61,Cd,1854,0.4,(13/2+), , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1861.42,0.1,(7/2+ 9/2+), , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1869.23,0.19, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1937.5,0.3, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1944.03,0.2, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1956,0.6, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,1989,0.3, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,2033.78,0.17, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,2046.4,0.3, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,2064.67,0.09, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,2111.65,0.19, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,2141.41,0.22,15/2+, , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,2165.94,0.23,(17/2-), ,0.5,3,ps,0.0000000000005,0.0000000000003, , , , , , , , , , , , , , ,
48,61,Cd,2166.48,0.17, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,2198.92,0.17, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,2234.22,0.22, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,2271.3,0.5, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,2282.46,0.25, , , , , , , , , , , , , , , , , , , , , ,
48,61,Cd,2325.8,0.4, , , , , , , , , , , , , , , , , , , , , ,
