Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
47,64,Ag,0, ,1/2-, ,7.45,1,d,643680,864,B-,100, , , , , , , , ,-0.146, , , ,
47,64,Ag,59.82,0.04,7/2+, ,64.8,8,s,64.8,0.8,IT,99.3,0.2,B-,0.7,0.2, , , , , , , , ,
47,64,Ag,130.28,0.05,9/2+, ,1.22,2,ns,0.00000000122,0.00000000002, , , , , , , , , , , , , , ,
47,64,Ag,289.71,0.05,3/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,376.71,0.05,3/2+, ,16,1,ns,0.000000016,0.000000001, , , , , , , , , , , , , , ,
47,64,Ag,391.28,0.05,5/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,404.86,0.09,1/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,545.72,0.06,7/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,568.67,0.19,5/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,568.8,0.2,5/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,606.87,0.06,5/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,641.93,0.07,3/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,683.05,0.07,9/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,705.42,0.09,11/2(+), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,710.29,0.07,(5/2+ 7/2+), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,809.17,0.09,5/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,817, , , , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,824.46,0.08,11/2+ 13/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,845.88,0.08,7/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,876.63,0.08,9/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,958.96,0.11,11/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,986.82,0.08,5/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1013.06,0.12,9/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1023.98,0.08,9/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1062.27,0.15,3/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1082,5,1/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1085.48,0.08,(7/2+), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1086.64,0.1,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1119.68,0.1,(3/2+), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1125.35,0.09,11/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1147,5, , , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1153.41,0.08,7/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1159.78,0.24, , , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1170.2,0.4,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1180.16,0.1,5/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1198.88,0.11,(1/2), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1201,5,3/2- 5/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1202.3,0.5,11/2 13/2, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1210.38,0.09,3/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1262.79,0.21, , , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1276.6,0.5,9/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1278,7,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1284.6,0.5,(7/2- 5/2-), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1299.17,0.11,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1300,7,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1301.5,0.5, , , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1376.8,0.3,7/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1388,0.5,(11/2), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1417.91,0.11,5/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1419,7,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1440.44,0.1,7/2+ 9/2, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1441.9,0.5,(5/2-), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1443,8,1/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1448,7,(1/2-), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1451.9,0.5, , , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1463.62,0.11,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1467,0.5,(1/2), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1471.4,0.4, , , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1474.6,0.3,(15/2+ 13/2+), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1476,8,1/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1496.4,0.5,(1/2), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1506,0.5, , , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1518.68,0.09,5/2+ 7/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1540,8,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1542.5,0.4,(13/2), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1545,7,(5/2+ 7/2+), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1546.1,0.4,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1549.6,0.11,9/2- 11/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1574.1,0.6,(11/2+ 13/2+), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1588,8,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1602.5,0.4,5/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1611.7,0.6, , , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1621.3,0.4,3/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1630,8,3/2- 5/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1638.8,0.3, , , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1654,9,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1665.3,0.5, , , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1674.5,0.4,(3/2)-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1682.2,0.5,5/2+ 3/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1705.11,0.11,(5/2+ 7/2+), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1705.86,0.14,(9/2-), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1719,8,1/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1727,9,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1748.56,0.13,11/2- 13/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1751.6,0.5,11/2+ 13/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1752,8,3/2- 5/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1765.3,0.5,11/2+ 13/2, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1768.5,0.5, , , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1770,9,7/2+ 9/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1781.67,0.15,(9/2+ 11/2+), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1798.8,0.3,7/2 9/2, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1802.4,0.3,(3/2 5/2), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1819,8,3/2- 5/2, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1821.59,0.09,(9/2- 11/2-), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1832,9,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1862,9,3/2- 5/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1905.87,0.16,(9/2- 11/2-), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1934,9,7/2- 9/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1941,9,1/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1956,9,(5/2+ 7/2+), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1959.8,0.6, , , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1964.7,0.4, , , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1965.8,0.6, , , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1985,9,5/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,1987.9,0.18,(13/2-), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,2068,10,5/2+ 7/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,2069.4,0.5, , , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,2087,0.4, , , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,2093,10,7/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,2101.05,0.25,(11/2), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,2125,10,7/2- 9/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,2130.8,0.4,11/2 13/2, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,2136,10, , , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,2165,10,5/2+ 7/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,2188,10,+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,2197,10,(7/2- 9/2-), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,2222,10,(7/2- 9/2-), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,2223,10,+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,2258,10,9/2+ 11/2+, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,2282,10,7/2- 9/2-, , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,2298,10,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,2308,10,(7/2- 9/2-), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,2342,10,(1/2- 3/2-), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,2352.7,0.7,(15/2 17/2), , , , , , , , , , , , , , , , , , , , ,
47,64,Ag,2375,10,(1/2+), , , , , , , , , , , , , , , , , , , , ,

