Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
50,69,Sn,0, ,1/2+, ,STABLE, , , , , , , , , , , , , , ,-1.04728, , , ,
50,69,Sn,23.871,0.008,3/2+, ,18.03,7,ns,0.00000001803,0.00000000007, , , , , , , , , , ,0.633, ,-0.112, ,
50,69,Sn,89.531,0.013,11/2-, ,293.1,7,d,25323840,60480,IT,100, , , , , , , , ,-1.4, ,0.21, ,
50,69,Sn,787.01,0.04,7/2+, ,0.19,7,ns,0.00000000019,0.00000000007, , , , , , , , , , , , , , ,
50,69,Sn,920.51,0.14,3/2+, ,1.6,5,ps,0.0000000000016,0.0000000000005, , , , , , , , , , , , , , ,
50,69,Sn,921.39,0.15,5/2+, ,1.2,4,ps,0.0000000000012,0.0000000000004, , , , , , , , , , , , , , ,
50,69,Sn,1060,10,(+), , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1062.4,1,7/2-, , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1089.44,0.06,5/2+, ,0.21,7,ps,0.00000000000021,0.00000000000007, , , , , , , , , , , , , , ,
50,69,Sn,1187.73,0.06,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1210, , , , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1249.71,0.05,1/2+, , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1304.4,0.1,GE7/2, , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1309,4, , , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1309.3,0.9,(15/2-), , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1354.8,0.5,5/2+, ,0.42,14,ps,0.00000000000042,0.00000000000014, , , , , , , , , , , , , , ,
50,69,Sn,1378.8,0.9,(13/2-), , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1390,10, , , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1510, , , , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1554.4,0.5,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1562,10,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1571.8,0.6,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1590, , , , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1617.1,0.8,(1/2+ 3/2 5/2), , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1633,4,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1718.4,1.5,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1731,6,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1774.8,0.3,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1789.7,2,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1810,8, , , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1905,5,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1929.6,2,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1938.9,0.5,1/2+ 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1950,10, , , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,1983,2, , , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,2003.1,1,1/2 3/2 5/2, , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,2041,2.5,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,2075,8, , , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,2100,15, , , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,2120,6, , , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,2127,1,(19/2+), ,9.6,12,us,0.0000096,0.0000012, , , , , , , , , , , , , , ,
50,69,Sn,2130.2,2,1/2+, , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,2155,8, , , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,2180,15,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,2230,15,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,2240, , , , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,2258,6,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,2280,15,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,2322,6,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
50,69,Sn,2350,8, , , , , , , , , , , , , , , , , , , , , ,
