Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
54,75,Xe,0, ,1/2+, ,STABLE, , , , , , , , , , , , , , ,-0.7779763, , , ,
54,75,Xe,39.5774,0.0019,3/2+, ,0.97,2,ns,0.00000000097,0.00000000002, , , , , , , , , , ,0.58, ,-0.393, ,
54,75,Xe,236.14,0.03,11/2-, ,8.88,2,d,767232,1728,IT,100, , , , , , , , ,-0.891223, ,0.63, ,
54,75,Xe,274.29,0.18,(9/2-), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,318.1787,0.0016,3/2+, ,67.5,20,ps,0.0000000000675,0.000000000002, , , , , , , , , , , , , , ,
54,75,Xe,321.711,0.004,5/2+, ,44.0,19,ps,0.000000000044,0.0000000000019, , , , , , , , , , , , , , ,
54,75,Xe,411.4959,0.0016,1/2+, ,81,26,ps,0.000000000081,0.000000000026, , , , , , , , , , , , , , ,
54,75,Xe,442.2,0.14,(5/2+), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,518.7,0.12,7/2+, , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,525.26,0.17,(5/2+), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,572.68,0.03,(5/2)+, ,2.0,2,ps,0.000000000002,0.0000000000002, , , , , , , , , , , , , , ,
54,75,Xe,588.533,0.003,3/2+,LE,65, ,ps,0.000000000065, , , , , , , , , , , , , , , ,
54,75,Xe,624.332,0.025, , , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,665.43,0.11,7/2+, , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,692.96,0.18,(1/2+:7/2+), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,771.17,0.15,(13/2-), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,822.16,0.1,9/2+, , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,823,0.17,(5/2+), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,823.29,0.16,(15/2-), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,868.06,0.13,7/2+, , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,904.318,0.008,3/2+, , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,908.63,0.2,(9/2 11/2 13/2-), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,946.028,0.004,1/2+ 3/2+, , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,985.7,0.4, , , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,995.7,0.3,(1/2 3/2), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1022.3,0.25,(7/2+), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1032.02,0.18,(13/2-), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1059.58,0.2,(9/2+), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1089.48,0.16,11/2+, , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1194.5,0.3, , , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1194.6,0.3,(9/2+), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1197.11,0.21,(5/2 7/2 9/2+), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1229.9,0.3,7/2+, , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1239,1,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1241.2,0.3,(1/2 3/2 5/2+), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1336.12,0.23,(11/2+), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1395.57,0.21,(15/2-), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1414.27,0.19,13/2(+), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1430.28,0.22,(13/2 15/2 17/2-), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1497.1,0.3,(11/2+), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1507.19,0.22,(17/2-), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1539.4,0.3,(15/2 17/2 19/2-), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1570,1,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1576,0.3,(19/2-), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1748.7,0.4,(9/2:13/2+), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1755.3,0.4,(7/2:11/2+), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1762.28,0.22,(15/2+), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1816.06,0.21,(17/2-), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1884,1,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1888.5,0.4,(9/2:13/2+), , , , , , , , , , , , , , , , , , , , ,
54,75,Xe,1972.3,0.3,(17/2-), , , , , , , , , , , , , , , , , , , , ,
