Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
55,76,Cs,0, ,5/2+, ,9.689,16,d,837129.6,1382.4,EC,100, , , , , , , , ,3.543, ,-0.575, ,
55,76,Cs,78.73,0.004,7/2+, ,9.4,2,ns,0.0000000094,0.0000000002, , , , , , , , , , , , , , ,
55,76,Cs,123.804,0.003,1/2+, ,3.75,5,ns,0.00000000375,0.00000000005, , , , , , , , , , , , , , ,
55,76,Cs,133.615,0.004,5/2+, ,8.6,3,ns,0.0000000086,0.0000000003, , , , , , , , , , ,1.86, ,0.022, ,
55,76,Cs,216.086,0.004,3/2+,LE,0.2, ,ns,0.0000000002, , , , , , , , , , , , , , , ,
55,76,Cs,274, , , , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,373.242,0.005,3/2+,LE,0.25, ,ns,0.00000000025, , , , , , , , , , , , , , , ,
55,76,Cs,496.11,0.06,9/2+, , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,585.043,0.01,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,596.35,0.05,(5/2+ 7/2+), , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,616.2,0.3,11/2+, , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,620.128,0.006,1/2+,LT,0.15, ,ns,0.00000000015, , , , , , , , , , , , , , , ,
55,76,Cs,657.62,0.06,7/2+, , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,696.487,0.009,3/2+, , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,750, ,(+), , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,764.13,0.14,(3/2+ 5/2)+, , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,775.28,0.06,11/2-, ,10.46,14,ns,0.00000001046,0.00000000014, , , , , , , , , , ,6.3, , , ,
55,76,Cs,919.58,0.04,(5/2+), , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,1043.99,0.06,7/2+, , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,1047.682,0.009,3/2+, , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,1147.32,0.19,13/2+, , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,1170.67,0.03,3/2+, , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,1212, , , , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,1257.82,0.07,(7/2+), , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,1288, , , , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,1309.06,0.18,15/2-, , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,1314, ,(7/2+), , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,1324.1,0.3,15/2+, , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,1341.96,0.05,3/2, , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,1355, ,(+), , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,1383, , , , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,1404.44,0.18,13/2-, , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,1458, , , , , , , , , , , , , , , , , , , , , , ,
55,76,Cs,1498, , , , , , , , , , , , , , , , , , , , , , ,
