Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
62,86,Sm,0, ,0+, ,7E+15,3,Y,2.20898481822144e23,9.4670777923776e22,A,100, , , , , , , , , , , , ,
62,86,Sm,550.255,0.008,2+, ,7.72,32,ps,0.00000000000772,0.00000000000032, , , , , , , , , , ,0.508, ,-0.98, ,
62,86,Sm,1161.529,0.012,3-, ,0.6,+4-2,ps,0.0000000000006, , , , , , , , , , , , , , , ,
62,86,Sm,1180.261,0.012,4+, ,2.39,24,ps,0.00000000000239,0.00000000000024, , , , , , , , , , , , , , ,
62,86,Sm,1424.46,0.04,0+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,1434,0.8, , , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,1454.115,0.013,2+, ,285,28,fs,0.000000000000285,0.000000000000028, , , , , , , , , , , , , , ,
62,86,Sm,1461.1, ,(1 2+), , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,1465.137,0.011,1-, ,92,8,fs,0.000000000000092,0.000000000000008, , , , , , , , , , , , , , ,
62,86,Sm,1594.247,0.012,5-, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,1659.4,0.8,(2 3 4+), , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,1664.278,0.022,2+, ,0.25,8,ps,0.00000000000025,0.00000000000008, , , , , , , , , , , , , , ,
62,86,Sm,1717.8,1, , , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,1733.465,0.012,4+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,1894.824,0.014,4+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,1903.773,0.018,3+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,1905.908,0.013,6+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,1920.97,0.06,0+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,1972.48,0.021,2+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2031.403,0.013,4-, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2041,8, , , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2057.96,0.022,2-, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2095.595,0.013,6+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2111.053,0.013,4+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2128.64,0.07,7-, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2142.5,2,(2 3 4), , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2146.35,0.03,2+,LT,64.1, ,fs,0.0000000000000641, , , , , , , , , , , , , , , ,
62,86,Sm,2147.499,0.013,5+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2194.061,0.014,6+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2204.99,0.15,0+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2208.85,0.07,(1 2+), , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2214.215,0.015,5+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2228.042,0.017,4+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2277,3,+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2284.406,0.021,(1 2+), ,46,5,fs,0.000000000000046,0.000000000000005, , , , , , , , , , , , , , ,
62,86,Sm,2313.57,0.08,2+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2318.5,0.5,+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2327.09,0.05,4+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2327.62,0.09,3+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2339.21,0.08,3-, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2344,3,3- 4-, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2358,4,0+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2374.447,0.016,5+ 6+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2381.67,0.1,2+, ,87,17,fs,0.000000000000087,0.000000000000017, , , , , , , , , , , , , , ,
62,86,Sm,2390.43,0.07,3+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2392.32,0.07,7+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2397.8,1, , , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2440.8,1, , , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2442.29,0.1,(2+), , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2467.38,0.08,3(-), , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2472.48,0.16,1, ,37,3,fs,0.000000000000037,0.000000000000003, , , , , , , , , , , , , , ,
62,86,Sm,2490.004,0.014,4+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2496,3,+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2513.5,0.18,1, ,99,5,fs,0.000000000000099,0.000000000000005, , , , , , , , , , , , , , ,
62,86,Sm,2524.101,0.016,4+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2532.39,0.04,4- 5-, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2539.82,0.17,3-, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2541.8,1, , , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2544.67,0.15,8+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2567.89,0.19,2+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2570.832,0.019,4(-), , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2583.862,0.016,4(-), , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2631.8,1, , , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2633.15,0.08,3-, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2641.222,0.017,5+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2645.5,0.15,4+ 5+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2673.07,0.04,4+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2675.2,0.14,(3+ 4 5-), , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2681.8,1, , , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2683.467,0.012,4- 5-, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2692.8,1, , , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2697.77,0.12,3+ 4+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2698.539,0.016,5- 6-, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2701.92,0.04,4(-) (3-), , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2704.6,0.5,(1 2+), ,20.1,12,fs,0.0000000000000201,0.0000000000000012, , , , , , , , , , , , , , ,
62,86,Sm,2711.8,1, , , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2713.334,0.02,3+ 4+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2714.98,0.16,8+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2716.05,0.04,(4+ 5 6+), , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2719.8,0.5,(3- 4-), , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2723.506,0.023,4+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2727.31,0.06,5+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2734.44,0.19,(3), , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2738.79,0.2,(8+), , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2753.15,0.06,3+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2762.1,0.5,1+, ,7.5,4,fs,0.0000000000000075,4e-16, , , , , , , , , , , , , , ,
62,86,Sm,2801.752,0.013,5+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2806.73,0.1,3+ 4+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2807.35,0.16,9-, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2809,3, , , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2812.8,1, , , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2815.584,0.018,4-, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2822,2,+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2828.13,0.15, , , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2830.66,0.014,5+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2846.9,0.3,(3- 4-), , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2861.07,0.08,4- 5-, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2862.06,0.11,3+ 4+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2891.8,0.5, , , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2908.13,0.22,3- 4-, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2917.8,1, , , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2928.84,0.05,(4 5 6)+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2931.98,0.2, , , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2941.1,0.7,2+ 3-, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2942.82,0.18,8-, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2952.7,0.9, , , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2967.6,0.7,3+ 4+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2976.32,0.2,8-, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2980.5,0.19,3+ 4+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2991.78,0.16,3+ 4+, , , , , , , , , , , , , , , , , , , , ,
62,86,Sm,2993,3, , , , , , , , , , , , , , , , , , , , , ,
