Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
61,88,Pm,0, ,7/2+, ,53.08,5,h,191088,180,B-,100, , , , , , , , ,3.3, , , ,
61,88,Pm,114.312,0.005,5/2+, ,2.53,3,ns,0.00000000253,0.00000000003, , , , , , , , , , ,2.13, , , ,
61,88,Pm,188.631,0.006,3/2+, ,3.27,5,ns,0.00000000327,0.00000000005, , , , , , , , , , ,1.09, , , ,
61,88,Pm,211.307,0.005,5/2+, ,80,15,ps,0.00000000008,0.000000000015, , , , , , , , , , ,2.2, , , ,
61,88,Pm,240.214,0.007,11/2-, ,35,3,us,0.000035,0.000003, , , , , , , , , , , , , , ,
61,88,Pm,270.169,0.005,7/2-, ,2.59,2,ns,0.00000000259,0.00000000002, , , , , , , , , , ,2.19, , , ,
61,88,Pm,288.207,0.008,9/2+, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,360.045,0.009,7/2+, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,387.558,0.01,1/2+, ,0.6,1,ns,0.0000000006,0.0000000001, , , , , , , , , , , , , , ,
61,88,Pm,396.774,0.007,5/2+, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,415.449,0.009,3/2+, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,425.275,0.007,7/2+, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,462.194,0.01,3/2-, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,497.59,0.12,(11/2)+, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,510.08,0.22,(15/2)-,LT,3, ,ns,0.000000003, , , , , , , , , , , , , , , ,
61,88,Pm,515.645,0.009,(9/2)-, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,537.862,0.006,5/2-,LE,50, ,ps,0.00000000005, , , , , , , , , , , , , , , ,
61,88,Pm,547.132,0.013,(5/2 7/2+), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,552,3,(11/2-), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,558.3,0.04,(9/2)+, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,636.5,2.8,1/2+, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,651.02,0.019,(5/2+), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,654.842,0.005,7/2-,LE,0.18, ,ns,0.00000000018, , , , , , , , , , , , , , , ,
61,88,Pm,666.55,0.12,(7/2- 9/2+), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,716.72,0.17,(3/2- 5/2 7/2+), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,721,0.02,7/2+, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,744.581,0.013,(3/2 5/2+), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,750.38,0.03,(7/2- 9/2+), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,751.5,1.9,3/2+, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,758.65,0.08,(5/2+ 7/2 9/2+), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,768.187,0.017,(5/2 7/2+), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,771.35,0.22,(13/2-), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,778.88,0.12,(13/2)+, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,786.72,0.04,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,791.01,0.2,11/2-, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,808.64,0.17,(11/2)+, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,872.96,0.08, , , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,884.89,0.07,(5/2+), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,885.8,0.5,(11/2 13/2+), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,907.1,2.5,1/2+, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,923.885,0.019,(5/2+ 7/2), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,942.924,0.022,(3/2+ 5/2 7/2+), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,955,5,(5/2+), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,956.9,0.4,(19/2-), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1006.63,0.22,(13/2)-, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1008,4,1/2+, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1008.5,0.21,(15/2)+, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1031.68,0.03,(7/2+), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1043.4,0.05,(3/2+ 5/2 7/2), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1050.18,0.03, , , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1141.527,0.019,5/2+, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1145.71,0.22,(15/2)-, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1156.037,0.024,(3/2+ 5/2 7/2+), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1162.9,0.4,(15/2+), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1181,3,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1190.26,0.016,(5/2), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1211.1,0.4,(17/2-), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1213,4, , , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1229.53,0.24,(17/2)+, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1234.1,0.009,(7/2), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1239.625,0.021,(5/2+ 7/2), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1264.16,0.05,(5/2 7/2), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1290.078,0.025,(3/2+ 5/2 7/2), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1312.107,0.016,(5/2), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1329,4,3/2+, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1367,4, , , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1394.3,1,3/2+, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1405,3,9/2- 11/2-, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1406.99,0.25,(17/2)-, , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1412.26,0.03,(5/2 7/2), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1448.24,0.07,(3/2+ 5/2 7/2+), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1462,3,(7/2+ 9/2 11/2-), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1477,0.4,(19/2+), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1495.84,0.05,(5/2 7/2+), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1504.7,0.4,(23/2-), , , , , , , , , , , , , , , , , , , , ,
61,88,Pm,1531,3,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
