Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
64,88,Gd,0, ,0+, ,1.08E14,8,Y,3.408148005255936e21,2.52455407796736e20,A,100, , , , , , , , , , , , ,
64,88,Gd,344.279,0.0012,2+, ,32.0,27,ps,0.000000000032,0.0000000000027, , , , , , , , , , ,0.93, , , ,
64,88,Gd,615.386,0.014,0+, ,37,8,ps,0.000000000037,0.000000000008, , , , , , , , , , , , , , ,
64,88,Gd,755.3961,0.0017,4+, ,7.3,4,ps,0.0000000000073,0.0000000000004, , , , , , , , , , ,2, , , ,
64,88,Gd,930.545,0.003,2+, ,7.3,6,ps,0.0000000000073,0.0000000000006, , , , , , , , , , , , , , ,
64,88,Gd,1047.8,0.03,0+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1109.202,0.015,2+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1123.1857,0.0021,3-, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1227.37,0.07,6+, ,2.5,5,ps,0.0000000000025,0.0000000000005, , , , , , , , , , ,4.4, , , ,
64,88,Gd,1274.27,0.07,1 2+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1282.246,0.024,4+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1314.613,0.008,1-, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1318.414,0.015,2+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1434.02,0.004,3+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1460.53,0.12,(1 2+), , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1470.43,0.17,5-, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1470.63,0.05,2+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1533.92,0.09, , , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1550.16,0.04,4+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1605.609,0.022,2+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1643.418,0.008,2-, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1668.13,0.09,6+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1680.74,0.05,0+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1692.42,0.03,2+ 3+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1734.44,0.12, , , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1746.78,0.11,8+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1755.97,0.04,1-, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1771.57,0.04,2+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1785.21,0.1,2+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1807.52,0.07, , , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1808.96,0.07, , , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1839.71,0.03,2+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1861.58,0.09,5+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1861.9,0.03,2+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1862.05,0.05,2+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1880.2,0.3,7-, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1915.17,0.06,(4)+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1915.77,0.05,2+ 3 4+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1941.177,0.016,2+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1961.9,0.5,(0+), , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1975.72,0.05,1+ 2+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,1997.85,0.17,6+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2011.67,0.04,1+ 2+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2069.4,1, , , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2121.05,0.07,2+ 3- 4+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2133.38,0.14,1+ 2+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2138.79,0.25,8+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2169.64,0.05,2+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2173.41,0.18,6-, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2190, ,(2+), , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2201.71,0.05,2+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2234, , , , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2246.81,0.03,2+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2258.17,0.06,2+ 3 4+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2264.86,0.07,1- 2 3-, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2265.3,0.08,1+ 2+ 3+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2267.71,0.09, , , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2299.5,0.6,10+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2299.66,0.03,2 3-, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2301.82,0.13,7+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2325.69,0.07, , , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2330, , , , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2330.72,0.09,2+ 3 4+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2331.1,0.5,9-, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2363.2,0.6,0+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2386.95,0.07,(2)+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2394.19,0.1,7+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2395, , , , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2401.52,0.05,1+ 2 3-, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2414, , , , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2421.5,0.7,0+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2437.43,0.05,2+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2448.02,0.09,+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2460.6,0.8,8+, , , , , , , , , , , , , , , , , , , , ,
64,88,Gd,2491.9,0.7,(0+), , , , , , , , , , , , , , , , , , , , ,
