Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
66,97,Dy,0, ,5/2-, ,STABLE, , , , , , , , , , , , , , ,0.6726, ,2.648, ,
66,97,Dy,73.4448,0.0004,7/2-, ,1.51,5,ns,0.00000000151,0.00000000005, , , , , , , , , , , , , , ,
66,97,Dy,167.3451,0.0012,9/2-, ,0.34,6,ns,0.00000000034,0.00000000006, , , , , , , , , , , , , , ,
66,97,Dy,250.8896,0.0012,5/2+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,281.5716,0.0021,11/2-, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,285.5954,0.0009,7/2+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,336.5439,0.0024,9/2+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,351.1493,0.001,(1/2)-, ,0.26,5,ns,0.00000000026,0.00000000005, , , , , , , , , , , , , , ,
66,97,Dy,389.7532,0.0011,3/2-, ,0.12,4,ns,0.00000000012,0.00000000004, , , , , , , , , , , , , , ,
66,97,Dy,412.382,0.005,11/2+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,415.34,0.05,13/2-, ,46,18,ps,0.000000000046,0.000000000018, , , , , , , , , , , , , , ,
66,97,Dy,421.8439,0.0011,(3/2)-, ,0.18,6,ns,0.00000000018,0.00000000006, , , , , , , , , , , , , , ,
66,97,Dy,427.6796,0.0009,(5/2)-, ,0.15,7,ns,0.00000000015,0.00000000007, , , , , , , , , , , , , , ,
66,97,Dy,450, ,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,475.388,0.001,(5/2)-, ,0.10,10,ns,0.0000000001,0.0000000001, , , , , , , , , , , , , , ,
66,97,Dy,497.02,0.05,13/2+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,514.5519,0.0012,7/2-, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,553.0196,0.0014,7/2-, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,566,0.4, , , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,568.79,0.07,15/2-, ,17,4,ps,0.000000000017,0.000000000004, , , , , , , , , , , , , , ,
66,97,Dy,587.929,0.0025,(9/2)-, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,612,2,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,624.22,0.06,15/2+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,646.249,0.004,9/2-, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,660,0.5, , , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,705,8, , , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,711.4721,0.0021,5/2-, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,712,5,5/2+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,718.23,0.04,(11/2-), , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,727.6,0.5, , , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,734.91,0.07,17/2+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,737.6584,0.0015,1/2+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,739.97,0.08,17/2-, ,11.1,14,ps,0.0000000000111,0.0000000000014, , , , , , , , , , , , , , ,
66,97,Dy,766.2071,0.0018,(3/2)+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,781.1002,0.0015,5/2+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,793.3942,0.002,(1/2)-, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,801.311,0.007,(7/2)-, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,820.7954,0.0018,(3/2)-, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,826.8,0.3,(1/2+ TO 9/2+), , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,851.124,0.003,(7/2+), , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,851.5,0.2,11/2-, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,859.287,0.003,(3/2)+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,883.0136,0.002,(5/2)-, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,884.2943,0.0017,1/2+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,893,2,(1/2+), , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,915.2,0.3,(9/2)-, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,915.6577,0.0024,5/2+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,924.22,0.08,19/2+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,930.93,0.09,19/2-, ,6.2,7,ps,0.0000000000062,0.0000000000007, , , , , , , , , , , , , , ,
66,97,Dy,935.134,0.004,(3/2)+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,946.003,0.004,(7/2)-, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,949.3369,0.0023,(5/2)+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,953.5,0.3, , , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,966.4,0.3,1/2+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,981.6,0.5, , , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,991.2,0.3,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,999.5,0.6, , , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,1009.5,0.5, , , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,1022.4,0.3, , , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,1030.5,0.4, , , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,1047.48,0.08,21/2+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,1049.073,0.0016,3/2-, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,1055.7574,0.0023,(1/2)-, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,1058.4671,0.0018,1/2+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,1073.2,0.6,+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,1080.6,0.4, , , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,1084.349,0.003,(3/2)+, , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,1086.5,0.4, , , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,1093.1,0.3, , , , , , , , , , , , , , , , , , , , , ,
66,97,Dy,1109,2, , , , , , , , , , , , , , , , , , , , , ,
