Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
68,95,Er,0, ,5/2-, ,75.0,4,m,4500,24,EC+B+,100, , , , , , , , ,0.557, ,2.55, ,
68,95,Er,69.23,0.01,5/2+, ,8.3,5,ns,0.0000000083,0.0000000005, , , , , , , , , , , , , , ,
68,95,Er,83.96,0.01,7/2-, ,0.92,8,ns,0.00000000092,0.00000000008, , , , , , , , , , , , , , ,
68,95,Er,91.55,0.01,7/2+, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,104.32,0.01,3/2-, ,0.52,5,ns,0.00000000052,0.00000000005, , , , , , , , , , , , , , ,
68,95,Er,120.35,0.02,9/2+, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,164.42,0.01,5/2-, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,189.7,0.2,9/2-, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,199.3,0.2,11/2+, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,247,0.2,(13/2+), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,249.53,0.01,7/2-, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,319.7,0.2,(11/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,345.62,0.01,1/2-, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,359.8,0.3,(9/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,404,0.01,3/2-, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,411.9,0.2,(15/2+), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,439.54,0.01,5/2-, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,445.5,0.6,(11/2-), ,0.58,10,us,0.00000058,0.0000001, , , , , , , , , , , , , , ,
68,95,Er,462.48,0.02,3/2+, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,464,0.2,(17/2+), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,466.1,0.2,13/2-, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,496.2,0.3,11/2-, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,526.33,0.04,5/2+, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,531.07,0.03,3/2+, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,540.56,0.03,1/2+, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,553,3, , , , , , , , , , , , , , , , , , , , , ,
68,95,Er,573,3,7/2-, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,574.08,0.03,3/2+, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,610,3,(5/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,616.5,0.5,(13/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,619.36,0.02,3/2+, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,636,3,9/2-, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,639.6,0.2,(15/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,655.3,0.3,(13/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,664.86,0.03,5/2+, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,683.75,0.02,(1/2)-, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,698,3,(7/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,717.39,0.03,3/2-, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,735,0.2,(19/2+), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,735.38,0.02,1/2+ 3/2+, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,759,3, , , , , , , , , , , , , , , , , , , , , ,
68,95,Er,777.1,0.2,(21/2+), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,779.63,0.04,5/2-, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,805, ,(9/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,809.7,0.5,(15/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,820.6,0.2,(17/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,827,3, , , , , , , , , , , , , , , , , , , , , ,
68,95,Er,840.5,0.3,(15/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,842,3, , , , , , , , , , , , , , , , , , , , , ,
68,95,Er,856.22,0.04,(3/2)-, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,877,3,(5/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,963.29,0.08,(3/2)+, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,973,3,(7/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,985.67,0.08,5/2-, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1023.9,0.5,(17/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1029,5, , , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1032.3,0.2,(19/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1040.6,0.3,(17/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1059.75,0.04,3/2-, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1075,5,(1/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1077.3,0.3,(17/2+), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1098,5,3/2-, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1163.1,0.2,(23/2+), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1164,5, , , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1183,5,5/2-, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1184.8,0.2,(25/2+), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1204,5, , , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1214.3,0.3,(17/2+), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1242.8,0.2,(21/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1245,5,7/2-, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1258.3,0.5,(19/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1270.6,0.3,(19/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1281.16,0.05,1/2+ 3/2+, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1298,0.5,(15/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1316,5, , , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1344,5, , , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1352.8,0.5,(19/2+), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1369.46,0.03,3/2+, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1395,5,9/2-, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1433,5, , , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1473.9,0.3,(21/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1476.3,0.2,(21/2+), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1479.8,0.2,(23/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1485,5, , , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1510.3,0.5,(17/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1511.2,0.5,(21/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1514.61,0.03,3/2+, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1529,5, , , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1529.6,0.3,(21/2+), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1538.79,0.03,3/2+, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1562,5, , , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1569.8,0.02,3/2+, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1593.03,0.04,3/2+, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1607.5,0.3,(21/2+), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1635,5, , , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1653.15,0.06,3/2+, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1671,5, , , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1681.1,0.2,(29/2+), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1685.7,0.2,(27/2+), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1686,5, , , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1717.2,0.4,(23/2+), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1719.2,0.2,(25/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1722.39,0.05,3/2+, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1759,5, , , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1776,0.3,(23/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1781.4,0.5,(23/2-), , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1784,5, , , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1801.56,0.04,3/2+, , , , , , , , , , , , , , , , , , , , ,
68,95,Er,1817,5, , , , , , , , , , , , , , , , , , , , , ,
