Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
67,98,Ho,0, ,7/2-, ,STABLE, , , , , , , , , , , , , , ,4.177, ,3.58, ,
67,98,Ho,94.7,0.003,9/2-, ,22.3,10,ps,0.0000000000223,0.000000000001, , , , , , , , , , ,4.14, ,3.43, ,
67,98,Ho,209.804,0.011,11/2-, ,12.7,7,ps,0.0000000000127,0.0000000000007, , , , , , , , , , , , , , ,
67,98,Ho,344.9,0.6,13/2-, ,7.0,6,ps,0.000000000007,0.0000000000006, , , , , , , , , , , , , , ,
67,98,Ho,361.675,0.011,3/2+, ,1.512,4,us,0.000001512,0.000000004, , , , , , , , , , , , , , ,
67,98,Ho,419.544,0.011,5/2+, , , , , , , , , , , , , , , , , , , , ,
67,98,Ho,429.388,0.011,1/2+, , , , , , , , , , , , , , , , , , , , ,
67,98,Ho,449.259,0.011,3/2+, , , , , , , , , , , , , , , , , , , , ,
67,98,Ho,491.047,0.014,7/2+, , , , , , , , , , , , , , , , , , , , ,
67,98,Ho,499.4,0.7,15/2-, ,5.4,10,ps,0.0000000000054,0.000000000001, , , , , , , , , , , , , , ,
67,98,Ho,515.476,0.011,3/2-, ,10.5,10,ps,0.0000000000105,0.000000000001, , , , , , , , , , , , , , ,
67,98,Ho,539.011,0.013,5/2+, , , , , , , , , , , , , , , , , , , , ,
67,98,Ho,566.8,0.3,(5/2)-, ,34,8,ps,0.000000000034,0.000000000008, , , , , , , , , , , , , , ,
67,98,Ho,589.8,0.05,7/2+, , , , , , , , , , , , , , , , , , , , ,
67,98,Ho,601.6,0.9,9/2+, , , , , , , , , , , , , , , , , , , , ,
67,98,Ho,638.5,0.6,(7/2)-, , , , , , , , , , , , , , , , , , , , ,
67,98,Ho,673,0.7,17/2-, ,2.7,6,ps,0.0000000000027,0.0000000000006, , , , , , , , , , , , , , ,
67,98,Ho,681.2, ,(1/2)-, , , , , , , , , , , , , , , , , , , , ,
67,98,Ho,688.8,0.7,(11/2-), ,4.6,3,ps,0.0000000000046,0.0000000000003, , , , , , , , , , , , , , ,
67,98,Ho,702,1,5/2-, , , , , , , , , , , , , , , , , , , , ,
67,98,Ho,703.8,0.8,11/2+, , , , , , , , , , , , , , , , , , , , ,
