Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
72,101,Hf,0, ,1/2-, ,23.6,1,h,84960,360,EC+B+,100, , , , , , , , , , , , ,
72,101,Hf,69.73,0.04,3/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,81.49,0.05,5/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,107.16,0.05,5/2-, ,180,8,ns,0.00000018,0.000000008, , , , , , , , , , , , , , ,
72,101,Hf,197.23,0.1,7/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,197.47,0.1,7/2+, ,160,40,ns,0.00000016,0.00000004, , , , , , , , , , , , , , ,
72,101,Hf,241.9,0.07,7/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,255.51,0.11,9/2+, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,262.14,0.08,9/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,312.27,0.11,9/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,336,0.3,11/2+, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,435.4,0.3,13/2+, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,451.5,0.2,11/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,508.6,0.2,11/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,536,0.3,13/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,567.4,0.3,15/2+, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,613.7,0.2,13/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,635.8,0.2,5/2+ 7/2 9/2+, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,704.2,0.3,17/2+, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,775.2,0.2,5/2- 7/2, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,785.3,0.2,7/2- 9/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,797.5,0.3,(15/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,811.7,0.1,5/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,862.2,0.3,15/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,895,0.4,17/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,896,0.3,19/2+, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,927.5,0.1,3/2- 5/2 7/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,942.8,0.1,7/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,958.3,0.1,3/2 5/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1002.6,0.3,(17/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1020.1,0.1,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1060,0.3,21/2+, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1078.3,0.4,(13/2+), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1111.4,0.1,7/2+, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1126.9,0.1,5/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1192.6,0.2,3/2- 5/2 7/2, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1208.4,0.3,(15/2+), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1225.8,0.3,(19/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1248.5,0.1,7/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1294.4,0.4,19/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1317.5,0.4,23/2+, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1330.5,0.4,21/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1355.2,0.3,(17/2+), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1450.2,0.1,9/2+, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1467.2,0.3,(21/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1473.2,0.4,(17/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1498.1,0.4,25/2+, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1521,1,(19/2+), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1574.1,0.2,3/2- 5/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1655.5,0.2,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1667.3,0.2,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1694.5,0.2,5/2- 7/2, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1700.5,0.3,19/2+,LE,5, ,ns,0.000000005, , , , , , , , , , , , , , , ,
72,101,Hf,1722.3,0.4,(23/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1796.4,0.5,(23/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1812.9,0.4,(21/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1817.3,0.4,21/2+, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1822.4,0.4,27/2+, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1832.5,0.4,(25/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,1982.1,0.5,(23/2)-, ,19.5,6,ns,0.0000000195,0.0000000006, , , , , , , , , , ,6.63, , , ,
72,101,Hf,1989.5,0.4,(25/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,2006.5,0.5,(23/2+), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,2014.3,0.4,29/2+, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,2145.3,0.6,(25/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,2191,0.4,(25/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,2223.1,0.5,(25/2+), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,2263.6,0.5,(27/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,2263.6,0.3,5/2- 7/2, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,2354.2,0.6,(27/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,2357.9,0.6,(27/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,2392.7,0.5,(29/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,2397.8,0.5,31/2+, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,2464.8,0.5,(27/2+), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,2539.4,0.4,(29/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,2596.2,0.6,(29/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,2601.6,0.5,33/2+, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,2617.6,0.5,(29/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,2729.3,0.5,(29/2+), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,2814.7,0.7,(29/2-),LE,3.5, ,ns,0.0000000035, , , , , , , , , , , , , , , ,
72,101,Hf,2818.3,0.6,(31/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,2865.5,0.6,(31/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,2969.6,0.7,(31/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,3001.5,0.5,(33/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,3015,0.6,(31/2+), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,3028.2,0.5,35/2+, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,3070.5,0.7,(31/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,3094.7,0.5,(33/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,3105.2,0.4,(33/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,3159.4,0.6,(33/2-), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,3251.5,0.6,37/2+, , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,3320,0.6,(33/2+), , , , , , , , , , , , , , , , , , , , ,
72,101,Hf,3346.9,0.7,(33/2-), , , , , , , , , , , , , , , , , , , , ,
