Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
70,107,Yb,0, ,9/2+, ,1.911,3,h,6879.6,10.8,B-,100, , , , , , , , ,-0.695, ,4.03, ,
70,107,Yb,104.51,0.19,7/2-, ,4.48,8,ns,0.00000000448,0.00000000008, , , , , , , , , , , , , , ,
70,107,Yb,121.7,0.4,11/2+, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,150, , , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,220.6,0.4,9/2-, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,265.4,0.4,13/2+, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,331.5,0.3,1/2-, ,6.41,2,s,6.41,0.02,IT,100, , , , , , , , ,0.151, , , ,
70,107,Yb,361.6,0.7,11/2-, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,375.3,0.7,(3/2)-, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,423.4,0.4,(5/2)-, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,430.9,0.5,15/2+, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,432.9,1.1, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,526.4,1.1,(7/2)-, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,527.6,0.8,13/2-, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,612.9,1.2,(9/2-), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,618.1,0.5,17/2+, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,622,0.4, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,703.7,0.8,(3/2)-, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,715.4,1.5, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,719.6,1,15/2-, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,770.6,1.1,(5/2)-, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,827.5,0.6,19/2+, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,831.9,1.4,(1/2 3/2), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,865,1.5,(7/2)-, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,866.7,0.7,(1/2 3/2), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,935.6,1.1,17/2-, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,939.4,0.8,(1/2 3/2), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,961.3,2, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,975.3,1.2,(9/2-), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,997.6,0.8,(1/2- 3/2), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1048.6,1.8, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1057.5,0.6,21/2+, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1108.9,1.6,(11/2-), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1125.5,1.4, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1169,1.9, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1175.8,0.5,(15/2+), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1208.7,0.9,(3/2- 5/2+), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1221.3,1.1,(7/2)-, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1283.9,0.8,(1/2- 3/2), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1310.1,0.7,23/2+, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1319.3,0.8,(1/2- 3/2), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1358.5,0.9,(3/2)-, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1377.8,1,(17/2+), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1416.6,1.1,(1/2 3/2 5/2+), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1443.6,1.2,(5/2)-, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1493.6,1.2,(3/2 5/2)+, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1562.3,1.4,(7/2-), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1591.8,1.3,(1/2 3/2 5/2+), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1600.8,1,(19/2+), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1625.9,1.7, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1643.1,1.1, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1657.4,0.9,(1/2 3/2 5/2+), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1690.4,1.2, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1700.7,0.9,(1/2 3/2), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1725.3,1.2,(9/2-), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1734, , , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1750.3,1.4, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1826, ,(1/2 3/2 5/2+), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1844.8,1.1,(21/2+), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1849.9,1.3, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1863.3,1.2, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1876, , , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1899,2.1,(11/2-), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1920.2,1.7,(1/2- 3/2-), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1936.3,1.2, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1957.3,1.2, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1985.9,1.2, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,1999.4,1.2,(3/2 5/2)+, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2020.8,1.5,(1/2 3/2 5/2+), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2031.4,2.1,(1/2- 3/2 5/2+), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2060.6,1.4, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2067.1,1.3,(1/2 3/2 5/2+), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2082.8,1.6, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2115.6,1.2, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2136.7,2.1,(1/2 3/2), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2144.9,1.6,(13/2-), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2161.9,1.4,(3/2 5/2)+, , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2174.5,2.7, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2178.9,1.3,(1/2 3/2 5/2+), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2194,1.6, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2210.9,1.6, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2227.2,1.4, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2242.5,1.5,(1/2 3/2 5/2+), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2274.6,1.4, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2291.7,1.4, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2308.1,1.3, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2325.3,1.4, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2340.6,2, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2371.6,3.2, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2376.8,1.5,(1/2 3/2 5/2+), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2384.6,1.6, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2394.9,1.5,(1/2 3/2 5/2+), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2423.5,2.7, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2441.7,3.3, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2460.7,1.7, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2476.2,1.5, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2479.4,1,(1/2 3/2 5/2+), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2487,3, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2508.7,2.2, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2525.3,1.5, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2533,3, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2546.6,2, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2560.9,1.9, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2568,3, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2584.8,1.2, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2601.8,1.6, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2622.6,1.7, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2635.1,1.7, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2653.1,1.7, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2667.4,1.9, , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2703, , , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2741.3,1,(1/2 3/2 5/2+), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2777, , , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2806, , , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2835, , , , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2854.6,1.5,(1/2 3/2 5/2+), , , , , , , , , , , , , , , , , , , , ,
70,107,Yb,2889, , , , , , , , , , , , , , , , , , , , , , ,
