Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
74,107,W,0, ,9/2+, ,121.2,2,d,10471680,17280,EC,100, , , , , , , , , , , , ,
74,107,W,113.4,0.14,11/2+, , , , , , , , , , , , , , , , , , , , ,
74,107,W,250.72,0.22,13/2+, , , , , , , , , , , , , , , , , , , , ,
74,107,W,365.55,0.13,5/2-, ,14.59,15,us,0.00001459,0.00000015, , , , , , , , , , , , , , ,
74,107,W,385.19,0.15,1/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,409.23,0.16,7/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,414.3,0.4,15/2+, , , , , , , , , , , , , , , , , , , , ,
74,107,W,450.12,0.16,3/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,457.84,0.18,1/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,475.6,0.14,7/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,488.43,0.17,5/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,528.6,0.5,9/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,529.42,0.16,3/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,560.43,0.15,5/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,599.4,0.4,17/2+, , , , , , , , , , , , , , , , , , , , ,
74,107,W,609.2,0.4,9/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,643.03,0.16,7/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,661.67,0.16,7/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,675.2,0.5,11/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,715, ,(7/2-), , , , , , , , , , , , , , , , , , , , ,
74,107,W,726.27,0.16,3/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,761.7,0.4,(11/2-), , , , , , , , , , , , , , , , , , , , ,
74,107,W,784,5, , , , , , , , , , , , , , , , , , , , , ,
74,107,W,805.3,0.4,(9/2-), , , , , , , , , , , , , , , , , , , , ,
74,107,W,807.51,0.16,5/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,814.2,0.5,19/2+, , , , , , , , , , , , , , , , , , , , ,
74,107,W,848.2,0.5,13/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,937,6,(7/2-), , , , , , , , , , , , , , , , , , , , ,
74,107,W,953.45,0.15,7/2+, , , , , , , , , , , , , , , , , , , , ,
74,107,W,975.3,0.6,(11/2-), , , , , , , , , , , , , , , , , , , , ,
74,107,W,993.5,0.3,(9/2)+, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1009.32,0.17,(5/2 7/2)+, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1039,0.6,21/2+, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1046.3,0.6,15/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1084, , , , , , , , , , , , , , , , , , , , , , ,
74,107,W,1086.79,0.21,(7/2)+, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1124, ,(13/2+), , , , , , , , , , , , , , , , , , , , ,
74,107,W,1188.33,0.18,3/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1193,5,(5/2 7/2)-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1248.85,0.18,5/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1262,5, , , , , , , , , , , , , , , , , , , , , ,
74,107,W,1268.2,0.6,17/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1271.98,0.18,5/2+, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1274, ,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1310.2,0.6,23/2+, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1318, , , , , , , , , , , , , , , , , , , , , , ,
74,107,W,1329.89,0.25,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1355.3,0.3,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1365.6,0.15,3/2+, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1369, ,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1377.75,0.22,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1422.8,0.3,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1440.55,0.19,5/2+ 7/2+, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1469.11,0.19,(5/2)+, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1498.14,0.2,7/2+, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1502, , , , , , , , , , , , , , , , , , , , , , ,
74,107,W,1512.9,0.8,19/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1518,5, , , , , , , , , , , , , , , , , , , , , ,
74,107,W,1538,0.5,(7/2+), , , , , , , , , , , , , , , , , , , , ,
74,107,W,1560.3,0.6,25/2+, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1652, , , , , , , , , , , , , , , , , , , , , , ,
74,107,W,1653.1,0.6,21/2+, ,140,20,ns,0.00000014,0.00000002, , , , , , , , , , , , , , ,
74,107,W,1667,5, , , , , , , , , , , , , , , , , , , , , ,
74,107,W,1712,5, , , , , , , , , , , , , , , , , , , , , ,
74,107,W,1744.9,0.8,(23/2-),AP,50, ,ns,0.00000005, , , , , , , , , , , , , , , ,
74,107,W,1777.2,0.8,21/2-, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1864,5,1/2+, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1892,5, , , , , , , , , , , , , , , , , , , , , ,
74,107,W,1899.3,0.7,27/2+, , , , , , , , , , , , , , , , , , , , ,
74,107,W,1945,5, , , , , , , , , , , , , , , , , , , , , ,
74,107,W,1994.9,1.1,(25/2-), , , , , , , , , , , , , , , , , , , , ,
74,107,W,2015,5, , , , , , , , , , , , , , , , , , , , , ,
74,107,W,2034,5, , , , , , , , , , , , , , , , , , , , , ,
74,107,W,2061.6,0.9, , , , , , , , , , , , , , , , , , , , , ,
