Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
76,110,Os,0, ,0+, ,2.0E+15,11,Y,6.3113851949184e22,3.47126185720512e22,A,100, , , , , , , , , , , , ,
76,110,Os,137.159,0.008,2+, ,875,15,ps,0.000000000875,0.000000000015, , , , , , , , , , ,0.562, ,-1.63, ,
76,110,Os,434.087,0.023,4+, ,26.5,12,ps,0.0000000000265,0.0000000000012, , , , , , , , , , , , , , ,
76,110,Os,767.478,0.018,2+, ,1.77,+4-14,ps,0.00000000000177, , , , , , , , , , , , , , , ,
76,110,Os,868.94,0.04,6+, ,3.03,+7-13,ps,0.00000000000303, , , , , , , , , , , , , , , ,
76,110,Os,910.471,0.022,3+, , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1061,1,0+, , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1070.48,0.03,4+, ,1.75,+10-14,ps,0.00000000000175, , , , , , , , , , , , , , , ,
76,110,Os,1208.44,0.2,2+, , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1275.61,0.03,5+, , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1351.93,0.07,4+, ,3.2,+10-7,ps,0.0000000000032, , , , , , , , , , , , , , , ,
76,110,Os,1420.94,0.06,8+, ,0.99,5,ps,0.00000000000099,0.00000000000005, , , , , , , , , , , , , , ,
76,110,Os,1452.9,0.4,(3+), , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1456,2,0+, , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1460.92,0.17,4+, , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1480.07,0.08,(3)-, , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1491.29,0.04,6+, ,1.74,+10-14,ps,0.00000000000174, , , , , , , , , , , , , , , ,
76,110,Os,1559.83,0.19,(5)+, , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1571,2, , , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1623.2,0.4, , , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1628.54,0.11,5-,LT,1, ,ns,0.000000001, , , , , , , , , , , , , , , ,
76,110,Os,1640.81,0.11, , , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1653.58,0.11,2+ 3 4+, , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1704.6,0.6,(4+), , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1750.8,0.7,(7+), , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1754.5,0.07,2(+), , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1771.9,0.6,(6-), , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1774.65,0.21,(7-), ,8.36,24,ns,0.00000000836,0.00000000024, , , , , , , , , , ,-0.27, , , ,
76,110,Os,1775.8,0.4,4+ 5+, , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1812.62,0.19,(6)+, , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1848.42,0.08,2+ 3, , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1916.1,0.6,4+ 5 6+, , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1937,2, , , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1939,0.6,(7-), , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1953,2,(0+), , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1968.3,0.3,(8-), , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1976,1, , , , , , , , , , , , , , , , , , , , , ,
76,110,Os,1990,2,0+, , , , , , , , , , , , , , , , , , , , ,
76,110,Os,2015.5,0.7,(8+), ,2.3,+4-5,ps,0.0000000000023, , , , , , , , , , , , , , , ,
76,110,Os,2031.3,0.4,4+, , , , , , , , , , , , , , , , , , , , ,
76,110,Os,2056.64,0.23,5+ 6+, , , , , , , , , , , , , , , , , , , , ,
76,110,Os,2067.95,0.12,10+, ,0.41,+8-16,ps,0.00000000000041, , , , , , , , , , , , , , , ,
76,110,Os,2081.55,0.2,4+, , , , , , , , , , , , , , , , , , , , ,
76,110,Os,2119.9,1, , , , , , , , , , , , , , , , , , , , , ,
76,110,Os,2133.7,0.8,(8-), , , , , , , , , , , , , , , , , , , , ,
76,110,Os,2135.1,0.7,3+ 4+ 5+, , , , , , , , , , , , , , , , , , , , ,
76,110,Os,2165.5,0.3,(9-), ,5.7,4,ns,0.0000000057,0.0000000004, , , , , , , , , , , , , , ,
76,110,Os,2188,0.4,(9-), , , , , , , , , , , , , , , , , , , , ,
76,110,Os,2222.8,0.7,4+, , , , , , , , , , , , , , , , , , , , ,
76,110,Os,2234,3, , , , , , , , , , , , , , , , , , , , , ,
76,110,Os,2257.9,1.1,(8+), , , , , , , , , , , , , , , , , , , , ,
76,110,Os,2302.9,1, , , , , , , , , , , , , , , , , , , , , ,
76,110,Os,2317.4,1.3,(9+), , , , , , , , , , , , , , , , , , , , ,
76,110,Os,2350,0.9,(9-), , , , , , , , , , , , , , , , , , , , ,
76,110,Os,2377.1,0.6,5+ 6+, , , , , , , , , , , , , , , , , , , , ,
76,110,Os,2431.1,0.3,(10-), , , , , , , , , , , , , , , , , , , , ,
