Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
77,112,Ir,0, ,3/2+, ,13.2,1,d,1140480,8640,EC,100, , , , , , , , ,0.147, ,0.82, ,
77,112,Ir,94.34,0.03,1/2+, ,11.4,3,ns,0.0000000114,0.0000000003, , , , , , , , , , , , , , ,
77,112,Ir,113.831,0.023,5/2+, ,76,18,ps,0.000000000076,0.000000000018, , , , , , , , , , , , , , ,
77,112,Ir,176.53,0.03,3/2+, ,22,10,ps,0.000000000022,0.00000000001, , , , , , , , , , , , , , ,
77,112,Ir,300.5,0.04,7/2+,LT,20, ,ps,0.00000000002, , , , , , , , , , , , , , , ,
77,112,Ir,317.68,0.03,5/2+, , , , , , , , , , , , , , , , , , , , ,
77,112,Ir,372.17,0.04,11/2-, ,13.3,3,ms,0.0133,0.0003,IT,100, , , , , , , , , , , , ,
77,112,Ir,453.95,0.09,9/2+, , , , , , , , , , , , , , , , , , , , ,
77,112,Ir,464.76,0.13,7/2+, , , , , , , , , , , , , , , , , , , , ,
77,112,Ir,539.85,0.09, , , , , , , , , , , , , , , , , , , , , ,
77,112,Ir,563.74,0.1,(9/2)-, ,0.54,10,ns,0.00000000054,0.0000000001, , , , , , , , , , , , , , ,
77,112,Ir,607.5,0.04,5/2-, , , , , , , , , , , , , , , , , , , , ,
77,112,Ir,615.58,0.05,7/2-, ,0.18,2,ns,0.00000000018,0.00000000002, , , , , , , , , , , , , , ,
77,112,Ir,644.29,0.06,(3/2 5/2)+, , , , , , , , , , , , , , , , , , , , ,
77,112,Ir,719.09,0.17,9/2+, , , , , , , , , , , , , , , , , , , , ,
77,112,Ir,721.41,0.03,3/2+, , , , , , , , , , , , , , , , , , , , ,
77,112,Ir,736.87,0.1,13/2-, , , , , , , , , , , , , , , , , , , , ,
77,112,Ir,741.64,0.15,(13/2)-, , , , , , , , , , , , , , , , , , , , ,
77,112,Ir,745.89,0.09,11/2+, , , , , , , , , , , , , , , , , , , , ,
77,112,Ir,753,3,(1/2:7/2)(+), , , , , , , , , , , , , , , , , , , , ,
