Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
78,115,Pt,0, ,1/2-, ,50,6,Y,1577846298.7296,189341555.847552,EC,100, , , , , , , , ,0.603, , , ,
78,115,Pt,1.642,0.002,3/2-, ,9.7,3,ns,0.0000000097,0.0000000003, , , , , , , , , , , , , , ,
78,115,Pt,14.276,0.008,5/2-, ,2.52,5,ns,0.00000000252,0.00000000005, , , , , , , , , , , , , , ,
78,115,Pt,114.158,0.008,3/2-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,121.29,0.03,1/2- 3/2- 5/2-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,149.78,0.04,13/2+, ,4.33,3,d,374112,2592,IT,100, , , , , , , , ,-0.753, , , ,
78,115,Pt,187.81,0.02,3/2-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,199,0.2,(11/2+), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,232.16,0.02,(5/2)-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,269.83,0.02,3/2-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,308,3, , , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,331,10, , , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,340,3, , , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,415,3,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,425,3,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,434,3,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,439.05,0.03,(3/2)-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,459,3,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,491,0.2,(17/2+), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,491.24,0.02,(5/2)-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,519.6,0.1,(15/2+), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,522.53,0.08,(3/2- 5/2-), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,530,3,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,544,3,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,563,3,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,599,3,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,603.3,0.1,(15/2+), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,622,4, , , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,630,5,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,642,4, , , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,665,3,11/2+ 13/2+, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,692,3,(11/2+ 13/2+), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,700, ,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,701,5,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,718,4,(1/2+), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,728,5,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,755,5,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,828,4,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,846,5,3/2-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,907.4,0.2,(17/2+), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,923,5,3/2-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,969,10, , , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,980.5,0.2,(19/2+), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,984,4, , , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1003.4,0.4,(21/2+), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1014,5, , , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1021,10, , , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1042,5,11/2+ 13/2+, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1053,8, , , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1069,10,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1099,5,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1103.5,0.4,(+), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1130,10,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1159.9,0.2,(19/2+), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1168,10,(1/2- 3/2-), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1182,8,(3/2)-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1188,5, , , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1219,10, , , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1222,5,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1245,5,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1259,10, , , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1320,5,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1320,5,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1320.9,0.2,(21/2-), , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1333,8, , , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1359,4,11/2+ 13/2+, , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1364,8, , , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1425,8, , , , , , , , , , , , , , , , , , , , , ,
78,115,Pt,1442,10, , , , , , , , , , , , , , , , , , , , , ,
