Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
80,119,Hg,0, ,1/2-, ,STABLE, , , , , , , , , , , , , , ,0.5058855, , , ,
80,119,Hg,158.37859,0.0001,5/2-, ,2.45,3,ns,0.00000000245,0.00000000003, , , , , , , , , , ,0.88, ,0.95, ,
80,119,Hg,208.20494,0.0001,3/2-, ,69,3,ps,0.000000000069,0.000000000003, , , , , , , , , , ,-0.56, ,0.5, ,
80,119,Hg,403.51,0.03,3/2-, ,5.8,12,ps,0.0000000000058,0.0000000000012, , , , , , , , , , , , , , ,
80,119,Hg,413.84,0.05,5/2-, ,115,23,ps,0.000000000115,0.000000000023, , , , , , , , , , ,0.8, , , ,
80,119,Hg,455.462,0.017,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,492.297,0.018,3/2-, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,532.48,0.1,13/2+, ,42.67,9,m,2560.2,5.4,IT,100, , , , , , , , ,-1.014703, ,1.2, ,
80,119,Hg,638,3, , , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,667,3,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,667.4,0.9,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,695,3, , , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,699,3,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,711.4,2.5, , , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,736,5,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,750.4,0.03,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,759,3, , , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,822,4, , , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,823.88,0.23,(17/2+), , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,969,4,7/2- 5/2-, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1004.1,0.7, , , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1036,3,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1104,4, , , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1221.17,0.04,1/2(-) 3/2(-), , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1267.7,0.8,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1274.1,0.4,(15/2+), , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1317.7,1.5,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1327.8,0.9,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1357.2,0.3,(21/2+), , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1358.9,0.9,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1439.5,1.6,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1456,6,(7/2- 5/2-), , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1517.8,2.5,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1561,6, , , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1572.8,1.2,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1595.3,0.5,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1614.4,0.9, , , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1653.2,0.8,1/2(-) 3/2(-), , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1686,7, , , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1731.8,0.7,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1744.2,0.5,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1769.3,0.3,(19/2+), , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1780.9,0.5,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1800.1,1.2,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1822.2,1.6,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1853,7, , , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1927.3,1.5, , , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1953,8, , , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1971.4,0.5,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,1988.3,2,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,2038,8, , , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,2067,3,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,2094,1.2,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,2107.3,0.4,(25/2+), , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,2144.3,1.6,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,2175,9, , , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,2218,9, , , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,2228.4,1.1,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,2241,4,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,2265,3,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,2279,9, , , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,2290.6,1,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,2332,0.4,(21/2-), , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,2345.3,1.2,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,2399,3,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,2412,3,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,2425.6,0.4,(23/2-), , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,2451.4,1.5,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,2462.1,2.5,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
80,119,Hg,2487.8,0.4,(25/2-), , , , , , , , , , , , , , , , , , , , ,
