Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
82,123,Pb,0, ,5/2-, ,1.73E+7,7,Y,545934819360441.6,22089848182214.4,EC,100, , , , , , , , , , , , ,
82,123,Pb,2.329,0.007,1/2-, ,24.2,4,us,0.0000242,0.0000004, , , , , , , , , , , , , , ,
82,123,Pb,262.833,0.025,3/2-, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,576.19,0.03,3/2-, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,703.427,0.021,7/2-, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,761.43,0.04,5/2-, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,803.38,0.06,(1/2 3/2)-, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,987.63,0.03,9/2-, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,996.48,0.18,(1/2 3/2)-, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1013.85,0.03,13/2+, ,5.55,2,ms,0.00555,0.00002,IT,100, , , , , , , , , , , , ,
82,123,Pb,1043.741,0.025,7/2-, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1264.73,0.03,5/2-, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1374.17,0.08,(1/2 3/2)-, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1499.14,0.04,9/2-, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1541,2, , , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1575.34,0.05,9/2-, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1593.56,0.03,9/2+, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1614.32,0.03,7/2-, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1618,0.4,(1/2- 3/2-), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1697.45,0.21,17/2+,LT,0.4, ,ns,0.0000000004, , , , , , , , , , , , , , , ,
82,123,Pb,1704.98,0.04,(7/2 9/2)-, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1748.4,0.4,(1/2- 3/2-), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1756.4,0.3, , , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1758.63,0.04,9/2+, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1764.37,0.04,7/2-, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1775.8,0.04,7/2-, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1812.05,0.08,(1/2- 3/2-), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1817.99,0.18, , , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1831,2, , , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1838,2, , , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1842.06,0.05,(13/2)+, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1919.5,0.3, , , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1920.1,0.3,(1/2- 3/2-), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,1966,0.07,(5/2- 7/2 9/2-), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2019,3, , , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2020.7,0.3,19/2+,LT,0.4, ,ns,0.0000000004, , , , , , , , , , , , , , , ,
82,123,Pb,2087.2,0.4,(1/2- 3/2-), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2116.96,0.23,(1/2- 3/2-), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2203.88,0.05,7/2+ 9/2+ 11/2+, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2252.29,0.04,(7/2)+, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2291,3, , , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2352.8,0.5,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2361,0.5, , , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2420,3,(11/2- 13/2-), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2484.3,0.4,(1/2- 3/2-), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2488.08,0.04,(7/2+ 9/2+), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2521.46,0.13,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2555.7,0.4,(21/2+),LT,0.7, ,ns,0.0000000007, , , , , , , , , , , , , , , ,
82,123,Pb,2555.9,0.4,(1/2- 3/2-), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2565.12,0.03,9/2+, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2565.5,0.3,(1/2- 3/2-), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2597,5,(7/2+ 9/2+), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2606.88,0.04,9/2+, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2633,3,(1/2- 3/2-), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2634,3,(9/2+ 7/2+), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2657,3,(9/2+ 7/2+), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2667,5,(9/2+ 7/2+), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2686,5,(9/2+ 7/2+), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2692,3,9/2-, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2702,5,(9/2+ 7/2+), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2706,5,(9/2+ 7/2+), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2707.14,0.1,(9/2)+, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2745,5,(9/2+ 7/2+), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2779,3, , , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2795,3,1/2+, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2798,2,(9/2+ 7/2+), , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2862,2, , , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2903,3,9/2-, , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2931,2, , , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,2993,3, , , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,3010,2, , , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,3043,2, , , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,3074,4, , , , , , , , , , , , , , , , , , , , , ,
82,123,Pb,3091,4, , , , , , , , , , , , , , , , , , , , , ,
