Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
83,125,Bi,0, ,5+, ,3.68E+5,4,Y,11612948758649.855,126227703898.368,EC+B+,100, , , , , , , , ,4.578, ,-0.51, ,
83,125,Bi,63.02,0.04,4+, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,510.28,0.07,6+, ,118,14,ps,0.000000000118,0.000000000014, , , , , , , , , , , , , , ,
83,125,Bi,601.46,0.04,4+, ,5.5,21,ps,0.0000000000055,0.0000000000021, , , , , , , , , , , , , , ,
83,125,Bi,628.33,0.06,5+, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,633.14,0.05,3+, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,650.57,0.1,7+,GT,1.0, ,ns,0.000000001, , , , , , , , , , , , , , , ,
83,125,Bi,886.36,0.08,5+, ,0.18,+8-6,ps,0.00000000000018, , , , , , , , , , , , , , , ,
83,125,Bi,924.85,0.06,2+, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,936.27,0.06,3+,GT,1.7, ,ps,0.0000000000017, , , , , , , , , , , , , , , ,
83,125,Bi,958.99,0.07,4+, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,1033.26,0.06,4+, ,0.72,+26-17,ps,0.00000000000072, , , , , , , , , , , , , , , ,
83,125,Bi,1069.11,0.06,3+, ,0.44,+21-12,ps,0.00000000000044, , , , , , , , , , , , , , , ,
83,125,Bi,1095.06,0.14,6+, ,0.13,+5-4,ps,0.00000000000013, , , , , , , , , , , , , , , ,
83,125,Bi,1469.47,0.11,4+ 5+ 6+, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,1529.4,0.07,3+ 4+, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,1539.39,0.07,2+ 3+,GT,1.2, ,ps,0.0000000000012, , , , , , , , , , , , , , , ,
83,125,Bi,1563.45,0.09,3+ 4+, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,1571.1,0.4,10-, ,2.58,4,ms,0.00258,0.00004,IT,100, , , , , , , , ,2.672, , , ,
83,125,Bi,1603,5, , , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,1624.68,0.11,6-, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,1657.47,0.22,8-, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,1666.58,0.16,7-, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,1703.35,0.07,5-, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,1715.66,0.19,6- 7-, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,1716.17,0.25,6- 7-, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,1731,5, , , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,1786.1,1.5,9-, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,1802.09,0.08,1+, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,1824.45,0.16, , , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,1836,4,(5+ 6+ 7+), , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,1839.03,0.09,4-, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,1870.77,0.1,3+ 4+, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,1882.14,0.11,2+ 3 4 5+, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,1919.97,0.07,3-, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,2077.66,0.08,0- 1- 2-, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,2126.9,0.08,2+ 3 4+, , , , , , , , , , , , , , , , , , , , ,
83,125,Bi,2132,7, , , , , , , , , , , , , , , , , , , , , ,
