Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
88,135,Ra,0, ,3/2+, ,11.43,5,d,987552,4320,A,100, ,14C,0.000000089,0.000000004,14C,0.000000077, , ,0.2705, ,1.254, ,
88,135,Ra,29.858,0.008,5/2+, , , , , , , , , , , , , , , , , , , , ,
88,135,Ra,50.128,0.009,3/2-, ,0.63,7,ns,0.00000000063,0.00000000007, , , , , , , , , , ,0.43, , , ,
88,135,Ra,61.424,0.01,(7/2)+,AP,0.6, ,ns,0.0000000006, , , , , , , , , , , , , , , ,
88,135,Ra,79.708,0.013,(5/2)-, ,0.24,8,ns,0.00000000024,0.00000000008, , , , , , , , , , , , , , ,
88,135,Ra,104.6,0.13, , , , , , , , , , , , , , , , , , , , , ,
88,135,Ra,123.793,0.018,7/2-, ,0.45,+10-6,ns,0.00000000045, , , , , , , , , , , , , , , ,
88,135,Ra,130.141,0.018,9/2+,GT,0.3, ,ns,0.0000000003, , , , , , , , , , , , , , , ,
88,135,Ra,174.569,0.024,9/2-, ,0.20,6,ns,0.0000000002,0.00000000006, , , , , , , , , , , , , , ,
88,135,Ra,174.58,0.04,11/2+, ,0.14,5,ns,0.00000000014,0.00000000005, , , , , , , , , , , , , , ,
88,135,Ra,234.858,0.019,5/2+, , , , , , , , , , , , , , , , , , , , ,
88,135,Ra,247.39,0.04,11/2-, ,0.15,5,ns,0.00000000015,0.00000000005, , , , , , , , , , , , , , ,
88,135,Ra,280.182,0.022,(7/2)+, ,0.075,25,ns,0.000000000075,0.000000000025, , , , , , , , , , , , , , ,
88,135,Ra,286.087,0.014,1/2+, ,0.77,7,ns,0.00000000077,0.00000000007, , , , , , , , , , , , , , ,
88,135,Ra,315.99,0.06,(13/2-), , , , , , , , , , , , , , , , , , , , ,
88,135,Ra,329.856,0.014,3/2-, ,0.42,4,ns,0.00000000042,0.00000000004, , , , , , , , , , , , , , ,
88,135,Ra,334.37,0.012,5/2+, ,0.28,4,ns,0.00000000028,0.00000000004, , , , , , , , , , , , , , ,
88,135,Ra,342.59,0.019,3/2+,LT,0.050, ,ns,0.00000000005, , , , , , , , , , , , , , , ,
88,135,Ra,342.654,0.021,(9/2)+,LT,0.10, ,ns,0.0000000001, , , , , , , , , , , , , , , ,
88,135,Ra,350.53,0.06,(1/2)-, , , , , , , , , , , , , , , , , , , , ,
88,135,Ra,369.36,0.04,(5/2)-, ,0.20,5,ns,0.0000000002,0.00000000005, , , , , , , , , , , , , , ,
88,135,Ra,376.296,0.011,7/2-,LT,0.03, ,ns,0.00000000003, , , , , , , , , , , , , , , ,
