Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
89,138,Ac,0, ,3/2-, ,21.772,3,Y,687057392.318817,94670.777923776,B-,98.62,0.0036,A,1.38,0.0036, , , , ,1.1, ,1.7, ,
89,138,Ac,27.369,0.011,3/2+, ,38.3,3,ns,0.0000000383,0.0000000003, , , , , , , , , , , , , , ,
89,138,Ac,29.978,0.011,5/2-, , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,46.354,0.013,5/2+, , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,74.149,0.017,7/2-, , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,84.544,0.014,7/2+, , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,109.992,0.021,9/2+, , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,126.848,0.022,9/2-, , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,148,5, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,160,2, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,187.34,0.03,11/2+, , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,198.69,0.06,11/2-, , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,210.84,0.07,13/2+, , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,227,2, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,249,2, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,271.32,0.07,(13/2-), , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,273.19,0.04,(5/2)-, , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,304.73,0.06,(5/2+), , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,317,2,(7/2-), , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,330.04,0.01,3/2-,LT,70, ,ps,0.00000000007, , , , , , , , , , , , , , , ,
89,138,Ac,342,5,(7/2+), , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,354.5,0.04,1/2-, , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,372,2,(9/2-), , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,387.202,0.015,7/2-, , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,403,5,(9/2+), , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,425.59,0.05,5/2+, , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,428.4,0.2, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,435.19,0.04,1/2+, , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,437.94,0.05,(5/2-), , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,469.27,0.09,9/2+, , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,501.29,0.08,(3/2- 5/2-), , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,514.36,0.09,(3/2 5/2)+, , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,527,3,(13/2+), , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,537.02,0.1,(3/2+), , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,549,3, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,562.78,0.14,(3/2+ 5/2), , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,577, ,(9/2-), , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,592,2,(13/2)+, , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,639.09,0.15,1/2+, , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,656.4,0.4,(7/2+), , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,669,3, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,698.56,0.15,(3/2)+, , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,725,4, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,790.13,0.17,(1/2- 3/2 5/2), , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,816,4, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,863.64,0.22,(1/2 3/2 5/2), , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,874.68,0.18,(1/2+ 3/2 5/2), , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,895,2,(3/2)+, , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,920,2, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,950,4, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,992,3, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,1070,3, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,1091,2, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,1117,2, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,1148,2, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,1183,3, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,1215,3, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,1274,4, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,1311,2, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,1385,2, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,1438,2, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,1483,2, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,1550,2, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,1591,2, , , , , , , , , , , , , , , , , , , , , ,
89,138,Ac,1629,4, , , , , , , , , , , , , , , , , , , , , ,

