Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
92,140,U,0, ,0+, ,68.9,4,Y,2174272199.649389,12622770.3898368,A,100, ,{+24}Ne,0.00000000089,0.00000000007,SF,0.0000000000027,0.0000000000006, , , , , ,
92,140,U,47.573,0.008,2+, ,245,20,ps,0.000000000245,0.00000000002, , , , , , , , , , , , , , ,
92,140,U,156.566,0.01,4+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,322.69,0.07,6+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,541.1,0.1,8+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,563.194,0.007,1-, , , , , , , , , , , , , , , , , , , , ,
92,140,U,628.965,0.008,3-, , , , , , , , , , , , , , , , , , , , ,
92,140,U,691.42,0.09,0+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,734.57,0.05,2+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,746.8,0.1,(5-), , , , , , , , , , , , , , , , , , , , ,
92,140,U,805.88,0.16,10+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,833.07,0.2,4+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,866.79,0.008,2+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,911.49,0.04,(3)+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,915.2,0.4,(7-), , , , , , , , , , , , , , , , , , , , ,
92,140,U,927.3,0.1,(0+), , , , , , , , , , , , , , , , , , , , ,
92,140,U,967.6,0.1,(2)+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,970.71,0.07,(4+), , , , , , , , , , , , , , , , , , , , ,
92,140,U,984.9,0.2,6+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,1016.85,0.008,2-,LT,50, ,ps,0.00000000005, , , , , , , , , , , , , , , ,
92,140,U,1050.9,0.01,3-,LT,50, ,ps,0.00000000005, , , , , , , , , , , , , , , ,
92,140,U,1098.2,0.4,(4-), , , , , , , , , , , , , , , , , , , , ,
92,140,U,1111.6,0.2,12+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,1131.1,0.6,(9-), , , , , , , , , , , , , , , , , , , , ,
92,140,U,1132.97,0.1,(2+), , , , , , , , , , , , , , , , , , , , ,
92,140,U,1173.06,0.17,(2)-, , , , , , , , , , , , , , , , , , , , ,
92,140,U,1186.6,0.4,8+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,1194,0.2,(3+ 4+), , , , , , , , , , , , , , , , , , , , ,
92,140,U,1211.3,0.3,3-, , , , , , , , , , , , , , , , , , , , ,
92,140,U,1227, , , , , , , , , , , , , , , , , , , , , , ,
92,140,U,1277.2,0.4,0+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,1301, , , , , , , , , , , , , , , , , , , , , , ,
92,140,U,1349, , , , , , , , , , , , , , , , , , , , , , ,
92,140,U,1390.9,0.6,11-, , , , , , , , , , , , , , , , , , , , ,
92,140,U,1434.3,0.5,10+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,1438, , , , , , , , , , , , , , , , , , , , , , ,
92,140,U,1453.8,0.3,14+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,1482,0.4,0+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,1489, , , , , , , , , , , , , , , , , , , , , , ,
92,140,U,1520, , , , , , , , , , , , , , , , , , , , , , ,
92,140,U,1569,0.4,0+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,1600, , , , , , , , , , , , , , , , , , , , , , ,
92,140,U,1646,5, , , , , , , , , , , , , , , , , , , , , ,
92,140,U,1746, , , , , , , , , , , , , , , , , , , , , , ,
92,140,U,1772, , , , , , , , , , , , , , , , , , , , , , ,
92,140,U,1797,0.4,0+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,1822.1,0.4,0+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,1828.2,0.4,16+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,1861.5,0.4,0+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,1872, , , , , , , , , , , , , , , , , , , , , , ,
92,140,U,1931.8,0.4,0+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,1972, , , , , , , , , , , , , , , , , , , , , , ,
92,140,U,1979, , , , , , , , , , , , , , , , , , , , , , ,
92,140,U,1998, , , , , , , , , , , , , , , , , , , , , , ,
92,140,U,2023.2,0.1,(15-), , , , , , , , , , , , , , , , , , , , ,
92,140,U,2043, , , , , , , , , , , , , , , , , , , , , , ,
92,140,U,2061, , , , , , , , , , , , , , , , , , , , , , ,
92,140,U,2072, , , , , , , , , , , , , , , , , , , , , , ,
92,140,U,2147, , , , , , , , , , , , , , , , , , , , , , ,
92,140,U,2172, , , , , , , , , , , , , , , , , , , , , , ,
92,140,U,2204, , , , , , , , , , , , , , , , , , , , , , ,
92,140,U,2231.6,0.6,18+, , , , , , , , , , , , , , , , , , , , ,
92,140,U,2284, , , , , , , , , , , , , , , , , , , , , , ,
92,140,U,2333, , , , , , , , , , , , , , , , , , , , , , ,
92,140,U,2659.8,0.9,(20+), , , , , , , , , , , , , , , , , , , , ,

