Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
96,149,Cm,0, ,7/2+, ,8423,74,Y,265803987483.9884,2335212522.119808,A,100, ,SF,0.00000061,0.00000009, , , , ,0.4, , , ,
96,149,Cm,54.789,0.013,9/2+,LE,0.10, ,ns,0.0000000001, , , , , , , , , , , , , , , ,
96,149,Cm,121.584,0.018,11/2+, , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,197.4,2,13/2+, , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,252.84,0.017,5/2+, , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,295.708,0.014,7/2+, , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,350.66,0.03,9/2+, , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,355.92,0.1,1/2+, ,0.29,2,us,0.00000029,0.00000002, , , , , , , , , , , , , , ,
96,149,Cm,361.4,0.4,(3/2+), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,388.181,0.013,9/2-, ,0.450,20,ns,0.00000000045,0.00000000002, , , , , , , , , , , , , , ,
96,149,Cm,416.61,0.04,11/2+, , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,418.7,0.4,(5/2+), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,431,2,(7/2+), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,442.918,0.021,11/2-, , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,497.6,1,13/2+, , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,508.87,0.03,13/2-, , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,532,2,(9/2+), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,545,3, , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,554.7,0.3,(11/2+), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,587.9,1,(15/2-), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,597.6,1.5,(15/2+), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,633.64,0.11,(3/2)-, , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,638, , , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,643.64,0.02,(7/2-), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,660,5, , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,661.53,0.08,5/2-, , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,672,3,(17/2-), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,701.817,0.021,(9/2-), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,722,3,(7/2+), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,736.3,0.5, , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,740.97,0.12,(1/2)+, , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,769.2,0.4,(3/2+), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,771.86,0.04,(11/2-), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,774.3,0.7,(11/2-), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,785.23,0.09,(9/2+), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,791,4,(5/2+), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,841.1,0.5, , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,849.2,0.3, , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,852.59,0.1,(11/2+), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,856,3,(7/2+), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,866, ,(13/2-), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,890.61,0.09,(9/2+), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,900.1,0.5, , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,906.6,0.6, , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,913,3,(1/2-), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,936, , , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,942,3, , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,956,2,(3/2- 5/2-), , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,971.38,0.02, , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,980,5, , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,995,5, , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,1009, , , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,1017,4, , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,1042,5, , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,1050,5, , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,1054.7,0.8, , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,1083,3, , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,1102.3,0.5, , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,1259,5, , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,1271,2, , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,1473,3, , , , , , , , , , , , , , , , , , , , , ,
96,149,Cm,2100,300, , ,13.2,18,ns,0.0000000132,0.0000000018,SF,100, , , , , , , , , , , , ,

