Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
11,13,Na,0, ,0, , ,4+,1,14.997, ,12,h,53989.2,43.2,B-,100, , , , , , , , ,1.6903, , , ,2021-06-10
11,13,Na,1, ,472.2074,0.0008, ,1+,1,20.18, ,10,ms,0.02018,0.0001,IT,99.95, ,B-,0.05, , , , , ,-1.931, , , ,2021-06-10
11,13,Na,2, ,563.1988,0.0015, ,2+,1,36, ,6,ps,0.000000000036,0.000000000006, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,3, ,1341.458,0.007, ,2+,2,66, ,21,fs,0.000000000000066,0.000000000000021, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,4, ,1344.633,0.007, ,(3)+,1,27, ,7,fs,0.000000000000027,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,5, ,1346.621,0.005, ,1+,2,6.4, ,5,ps,0.0000000000064,0.0000000000005, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,6, ,1512.4,0.2, ,5+,1,28, ,6,fs,0.000000000000028,0.000000000000006, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,7, ,1846.012,0.005, ,2+,3,180, ,35,fs,0.00000000000018,0.000000000000035, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,8, ,1885.493,0.005, ,3+,1,26, ,5,fs,0.000000000000026,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,9, ,1960.87,0.03, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,10, ,1977.07,0.06, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,11, ,2513.358,0.02, ,3+,2,10, ,5,fs,0.00000000000001,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,12, ,2562.37,0.17, ,4+,2,17,LT, ,fs,0.000000000000017, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,13, ,2904.008,0.022, ,3+,3,35, ,8,fs,0.000000000000035,0.000000000000008, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,14, ,2977.783,0.013, ,(2+ 3+),1,17,LT, ,fs,0.000000000000017, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,15, ,3216.7,0.2, ,(4+ 2+),1,15, ,6,fs,0.000000000000015,0.000000000000006, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,16, ,3371.74,0.03, ,2-,1,13, ,3,fs,0.000000000000013,0.000000000000003, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,17, ,3413.199,0.016, ,1+,3,14,LT, ,fs,0.000000000000014, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,18, ,3589.326,0.025, ,1+,4,6,LT, ,fs,0.000000000000006, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,19, ,3628.36,0.05, ,3+,4,14,LT, ,fs,0.000000000000014, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,20, ,3655.91,0.03, ,(2+ 1+),1,14,LT, ,fs,0.000000000000014, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,21, ,3681.83,0.03, ,0+,1,14,LT, ,fs,0.000000000000014, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,22, ,3737.62, , , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,23, ,3745.062,0.016, ,3-,1,17,LT, ,fs,0.000000000000017, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,24, ,3865.62,0.07, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,25, ,3896,6, ,(1 2 3)-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,26, ,3936.3,0.6, , , ,17,LT, ,fs,0.000000000000017, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,27, ,3943.46,0.08, , , ,14,LT, ,fs,0.000000000000014, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,28, ,3977.326,0.017, ,(1- 2+),1,21,LT, ,fs,0.000000000000021, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,29, ,4048.46,0.09, ,0-,1,70, ,30,fs,0.00000000000007,0.00000000000003, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,30, ,4143.1,0.3, ,(4-),1,20,LT, ,fs,0.00000000000002, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,31, ,4186.8,0.6, ,2+,4,14,LT, ,fs,0.000000000000014, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,32, ,4196.41,0.05, ,1+ 2 3+,1,10,LT, ,fs,0.00000000000001, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,33, ,4207.099,0.012, ,2+,5,23, ,6,fs,0.000000000000023,0.000000000000006, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,34, ,4220,3, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,35, ,4441.643,0.013, ,2-,2,35,LT, ,fs,0.000000000000035, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,36, ,4459,8, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,37, ,4526,8, ,3-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,38, ,4561.987,0.022, ,1-,1,10,LT, ,fs,0.00000000000001, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,39, ,4621.58,0.07, ,1+ 2 3+,2,10,LT, ,fs,0.00000000000001, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,40, ,4690.39,0.07, , , ,25,LT, ,fs,0.000000000000025, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,41, ,4750.987,0.012, ,2-,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,42, ,4772,7, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,43, ,4891.27,0.05, , , ,50,LT, ,fs,0.00000000000005, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,44, ,4908.28,0.16, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,45, ,4939.52,0.04, ,(1 3)-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,46, ,4980,7, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,47, ,5031.05,0.04, ,2+ 3 4+,1,20,LT, ,fs,0.00000000000002, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,48, ,5045.028,0.018, ,(1 2 3)-,2,30,LT, ,fs,0.00000000000003, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,49, ,5059.631,0.021, ,3-,3,50,LT, ,fs,0.00000000000005, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,50, ,5117.28,0.03, ,1-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,51, ,5160,8, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,52, ,5180.55,0.13, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,53, ,5192.35,0.06, ,3-,4,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,54, ,5252.26,0.09, ,3-,5,50,LT, ,fs,0.00000000000005, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,55, ,5308.1,0.19, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,56, ,5339.02,0.03, ,2-,4,14,LT, ,fs,0.000000000000014, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,57, ,5397.009,0.019, ,(1 3)-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,58, ,5408.29,0.24, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,59, ,5432,8, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,60, ,5454.61,0.05, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,61, ,5479.05,0.04, ,1-,3,50,LT, ,fs,0.00000000000005, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,62, ,5571.57,0.19, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,63, ,5585,8, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,64, ,5628.4,1.5, ,2-,5,14,LT, ,fs,0.000000000000014, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,65, ,5660,20, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,66, ,5720,20, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,67, ,5774,5, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,68, ,5789.4,0.9, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,69, ,5809.479,0.016, ,1+ 2,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,70, ,5850.65,0.16, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,71, ,5862.97,0.12, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,72, ,5896.69,0.09, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,73, ,5918.222,0.019, ,1- 2 3+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,74, ,5953.31,0.04, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,75, ,5967.37,0.13, ,0+,2,7,LT, ,fs,0.000000000000007, , , , , , , , , , ,2, , , , ,2021-06-10
11,13,Na,76, ,6072.721,0.013, ,1+,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,77, ,6088.2,0.5, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,78, ,6176.1,0.3, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,79, ,6183.1,0.7, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,80, ,6222.33,0.07, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,81, ,6247.513,0.012, ,2+,6,10,LT, ,fs,0.00000000000001, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,82, ,6251.27,0.05, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,83, ,6257,0.3, ,1- 2-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,84, ,6305.9,0.5, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,85, ,6578,4, , , ,14,LT, ,fs,0.000000000000014, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,86, ,6640, , , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,87, ,6715, , , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,88, ,6787, , , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,89, ,6846, , , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,90, ,6905, , , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,91, ,6962.21,0.08, ,1+,6,411, ,13,eV,1.1100674332637e-18,3.50952088516451e-17, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,92, ,6966.78,0.08, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,93, ,6993.37,0.1, ,3-,6,1.3, ,2,eV,3.509520885164505e-16,0.0000000000000022811885753569286, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,94, ,7010.29,0.11, , , ,1.2, ,2,keV,3.801980958928214e-19,2.2811885753569284e-18, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,95, ,7068.5,0.19, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,96, ,7072,0.2, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,97, ,7085.8,0.2, ,0-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,98, ,7096.6,0.2, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,99, ,7141.6,0.3, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,100, ,7151.3,0.3, ,1,1,5.5, ,5,keV,8.2952311831161e-20,9.124754301427715e-19, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,101, ,7163.1,0.3, ,0-,3,16, ,4,keV,2.85148571919616e-20,1.140594287678464e-19, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,102, ,7186.2,0.4, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,103, ,7187,0.4, ,2-,6,5.5, ,10,keV,8.2952311831161e-20,4.562377150713857e-19, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,104, ,7192.3,0.4, ,0-,4,1.8, ,3,keV,2.534653972618809e-19,1.5207923835712856e-18, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,105, ,7245.6,0.3, ,2+,7,2.0, ,8,keV,2.281188575356929e-19,5.702971438392321e-19, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,106, ,7246.1,0.5, ,1-,4,0.30, ,10,keV,1.5207923835712856e-18,4.562377150713857e-18, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,107, ,7251.8,0.5, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,108, ,7324.4,0.6, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,109, ,7327.6,0.6, ,1-,5,2.6, , ,keV,1.754760442582253e-19, , , , , , , , , , , , , , , ,2021-06-10
11,13,Na,110, ,7336.7,1, ,1-,6,26, ,3,keV,1.75476044258225e-20,1.520792383571286e-19, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,111, ,7372.7,0.6, ,0-,5,7.8, ,7,keV,5.84920147527418e-20,6.517681643876939e-19, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,112, ,7386.3,0.6, ,2+,8,9, ,3,keV,5.06930794523762e-20,1.520792383571286e-19, , , , , , , , , , , , , , ,2021-06-10
11,13,Na,113, ,7425.5,0.7, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
