Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
14,17,Si,0, ,0, , ,3/2+,1,157.36, ,26,m,9441.6,15.6,B-,100, , , , , , , , , , , , ,2021-06-10
14,17,Si,1, ,752.23,0.03, ,1/2+,1,0.53, ,12,ps,0.00000000000053,0.00000000000012, , , , , , , , , , , , , , ,2021-06-10
14,17,Si,2, ,1694.91,0.04, ,5/2+,1,0.57, ,15,ps,0.00000000000057,0.00000000000015, , , , , , , , , , , , , , ,2021-06-10
14,17,Si,3, ,2316.93,0.1, ,3/2+,2,38, ,15,fs,0.000000000000038,0.000000000000015, , , , , , , , , , , , , , ,2021-06-10
14,17,Si,4, ,2788.03,0.07, ,(5/2+),1,14, ,14,fs,0.000000000000014,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
14,17,Si,5, ,3133.5,1, ,7/2-,1,0.37, ,8,ps,0.00000000000037,0.00000000000008, , , , , , , , , , , , , , ,2021-06-10
14,17,Si,6, ,3532.92,0.03, ,3/2-,1,6.9,LT, ,fs,0.0000000000000069, , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,7, ,3873.6,1, ,(7/2+ 9/2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,8, ,4261.6,0.5, ,3/2+ 5/2+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,9, ,4382.37,0.04, ,(3/2)-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,10, ,4690.5,1.6, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,11, ,4719.1,0.3, ,1/2+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,12, ,4933,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,13, ,4966,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,14, ,4992,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,15, ,5281.37,0.04, ,(1/2)-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,16, ,5311,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,17, ,5441.9,0.4, ,5/2- 7/2-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,18, ,5594,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,19, ,5604,3, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,20, ,5655,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,21, ,5680,4, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,22, ,5730,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,23, ,5819,8, ,(1/2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,24, ,5873.15,0.07, ,1/2- 3/2-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,25, ,5957.92,0.19, ,(1/2- 3/2 5/2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,26, ,5985,5, ,(3/2+ 5/2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,27, ,6071,2, ,3/2+ 5/2+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,28, ,6106,1, ,5/2- 7/2-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,29, ,6241,5, ,3/2+ 5/2+,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,30, ,6285,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,31, ,6351,4, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,32, ,6417,4, ,(5/2- 7/2-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,33, ,6450,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,34, ,6461,1, ,(3/2+ 5/2+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,35, ,6577.08,0.04, ,1/2+,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,36, ,6583,1, ,5/2- 7/2-,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,37, ,6587.4,0.04, ,1/2+,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,38, ,6592.22,0.03, ,1/2-,1,1.90, ,7,eV,2.401251131954662e-16,0.0000000000000065176816438769385, , , , , , , , , , , , , , ,2021-06-10
14,17,Si,39, ,6602.06,0.04, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,40, ,6661,8, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,41, ,6765.1,0.8, ,1/2+,5,11.0, ,3,keV,4.14761559155805e-20,1.5207923835712856e-18, , , , , , , , , , , , , , ,2021-06-10
14,17,Si,42, ,6771.8,0.4, ,(3/2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
