Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
21,23,Sc,0, ,0, , ,2+,1,3.97, ,4,h,14292,144,EC+B+,100, , , , , , , , ,2.499, ,0.16, ,2021-06-10
21,23,Sc,1, ,67.8679,0.0014, ,1-,1,154.8, ,8,ns,0.0000001548,0.0000000008, , , , , , , , , , ,0.342, ,0.21, ,2021-06-10
21,23,Sc,2, ,146.1914,0.002, ,0-,1,51.0, ,3,us,0.000051,0.0000003, , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,3, ,234.74,0.12, ,2-,1,6.12, ,23,ns,0.00000000612,0.00000000023, , , , , , , , , , ,0.68, , , ,2021-06-10
21,23,Sc,4, ,271.24,0.01, ,6+,1,58.61, ,10,h,210996,360,IT,98.8,0.07,EC+B+,1.2,0.07, , , , ,3.833, ,-0.21, ,2021-06-10
21,23,Sc,5, ,349.85,0.09, ,4+,1,3.12, ,19,ns,0.00000000312,0.00000000019, , , , , , , , , , ,3.6, , , ,2021-06-10
21,23,Sc,6, ,424.81,0.08, ,3-,1,378, ,42,ps,0.000000000378,0.000000000042, , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,7, ,531.28,0.12, ,3,1,4,GT, ,ps,0.000000000004, , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,8, ,631.04,0.1, ,4-,1,404, ,30,ps,0.000000000404,0.00000000003, , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,9, ,667,0.8, ,1+,1,50, ,12,fs,0.00000000000005,0.000000000000012, , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,10, ,725,15, ,(1 2)+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,11, ,762,0.7, ,3+,1,217, ,14,fs,0.000000000000217,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,12, ,829,2, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,13, ,968.32,0.14, ,7+,1,3.5,LT, ,ps,0.0000000000035, , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,14, ,985.5,0.9, ,3+,2,1.4, ,+6-4,ps,0.0000000000014, , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,15, ,1006.4,0.5, ,4-,2,6,GT, ,ps,0.000000000006, , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,16, ,1046.89,0.22, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,17, ,1051.6,0.7, ,3+,3,170, ,+55-42,fs,0.00000000000017, , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,18, ,1142,5, ,1+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,19, ,1185.4,0.7, ,3+,4,38, ,10,fs,0.000000000000038,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,20, ,1197.48,0.09, ,5-,1,2,GT, ,ps,0.000000000002, , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,21, ,1303,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,22, ,1325.9,0.7, ,3+,5,125, ,14,fs,0.000000000000125,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,23, ,1425.9,0.5, ,2-,2,42, ,20,fs,0.000000000000042,0.00000000000002, , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,24, ,1506.6,0.9, ,(4 5)+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,25, ,1531.3,1, ,5+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,26, ,1567.2,0.9, ,3-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,27, ,1592.4,2, ,(3 4)+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,28, ,1648.3,0.5, ,(0 TO 3-),1,122, ,19,fs,0.000000000000122,0.000000000000019, , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,29, ,1651.6,0.5, ,(0+ TO 4+),1,107, ,24,fs,0.000000000000107,0.000000000000024, , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,30, ,1680.4,0.5, ,(0 TO 3-),2,97, ,23,fs,0.000000000000097,0.000000000000023, , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,31, ,1683.2,0.6, ,5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,32, ,1685,5, ,(4 6)-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,33, ,1728,0.5, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,34, ,1755.23,0.09, ,6-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,35, ,1767.4,0.5, ,2+,2,55, ,12,fs,0.000000000000055,0.000000000000012, , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,36, ,1769,3, ,(2- 4-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,37, ,1811,2, ,(1 3)+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,38, ,1866,2, ,(3 5)+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,39, ,1903,2, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,40, ,1957,5, ,(2 TO 5)+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,41, ,1986,5, ,(3 4)-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,42, ,2032,2, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,43, ,2105,2, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,44, ,2115,2, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,45, ,2178,2, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,46, ,2210.5,0.5, ,6-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,47, ,2212,5, ,4-,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,48, ,2241,5, ,2+,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,49, ,2291,2, ,(2 TO 5)+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,50, ,2333,2, ,(1 TO 6)-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,51, ,2382,5, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,52, ,2424,2, ,(2 TO 5)+,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,53, ,2474,10, ,(2 TO 5)+,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,54, ,2489,5, ,4-,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,55, ,2524,3, ,(1 TO 6)-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,56, ,2556,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,23,Sc,57, ,2584,3, ,(3 4)-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
