Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
20,25,Ca,0, ,0, , ,7/2-,1,162.61, ,9,d,14049504,7776,B-,100, , , , , , , , ,-1.3274, ,0.046, ,2021-06-10
20,25,Ca,1, ,174.25,0.04, ,5/2-,1,0.40, ,4,ns,0.0000000004,0.00000000004, , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,2, ,1434.77,0.06, ,3/2-,1,1.10, ,+22-16,ps,0.0000000000011, , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,3, ,1554.37,0.08, ,(11/2-),1,2.1,GT, ,ps,0.0000000000021, , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,4, ,1558,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,5, ,1584,6, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,6, ,1879.89,0.16, ,3/2+,1,0.05, ,3,ps,0.00000000000005,0.00000000000003, , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,7, ,1884.4,0.4, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,8, ,1899.92,0.06, ,3/2-,2,1.12, ,+11-9,ps,0.00000000000112, , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,9, ,1940.19,0.07, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,10, ,1973,6, ,5/2- 7/2-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,11, ,2249.1,0.07, ,1/2-,1,0.43, ,+7-6,ps,0.00000000000043, , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,12, ,2353.81,0.16, ,1/2+ 3/2+ 5/2+,1,4.7, ,11,ns,0.0000000047,0.0000000011, , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,13, ,2392.29,0.14, ,1/2+,1,0.19, ,4,ps,0.00000000000019,0.00000000000004, , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,14, ,2523.1,0.4, ,(3/2 5/2 7/2),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,15, ,2599,6, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,16, ,2675.1,1, ,(3/2 5/2),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,17, ,2771.1,0.15, ,1/2+ 3/2+ 5/2+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,18, ,2786,12, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,19, ,2842.05,0.16, ,3/2-,3,22, ,6,fs,0.000000000000022,0.000000000000006, , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,20, ,2877.99,0.12, ,(15/2-),1,2.1,GT, ,ps,0.0000000000021, , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,21, ,2953,6, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,22, ,2976.8,0.5, ,5/2-,2,42, ,19,fs,0.000000000000042,0.000000000000019, , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,23, ,3023.6,0.4, ,1/2 3/2 5/2,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,24, ,3035,6, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,25, ,3151,6, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,26, ,3241.27,0.24, ,3/2-,4,36, ,12,fs,0.000000000000036,0.000000000000012, , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,27, ,3278,6, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,28, ,3294.5,0.3, ,(3/2+ 5/2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,29, ,3322,6, ,5/2- 7/2-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,30, ,3348,12, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,31, ,3418.46,0.14, ,1/2-,2,35, ,7,fs,0.000000000000035,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,32, ,3442,10, ,1/2- 3/2-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,33, ,3463,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,34, ,3490.7,0.5, ,3/2- 5/2+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,35, ,3556.01,0.1, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,36, ,3560,10, ,(1/2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,37, ,3654,0.5, ,1/2 3/2 5/2,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,38, ,3675,12, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,39, ,3705,0.6, ,1/2 3/2 5/2,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,40, ,3753,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,41, ,3783.22,0.22, ,1/2- 3/2-,2,26,LT, ,fs,0.000000000000026, , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,42, ,3838,0.2, ,(1/2)-,1,15,LT, ,fs,0.000000000000015, , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,43, ,3941.83,0.14, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,44, ,3993,10, ,5/2- 7/2-,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,45, ,4048,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,46, ,4115,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,47, ,4177,10, ,5/2- 7/2-,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,48, ,4258,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,49, ,4286,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,50, ,4312,10, ,(1/2- 3/2-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,51, ,4388,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,52, ,4421,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,53, ,4467.7,1, ,1/2- 3/2-,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,54, ,4511,10, ,(1/2- 3/2-),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,55, ,4559,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,56, ,4615.72,0.15, ,1/2-,3,12,LT, ,fs,0.000000000000012, , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,57, ,4695,10, ,(5/2- 7/2 9/2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,58, ,4750,10, ,3/2+ 5/2+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,59, ,4762,10, ,1/2+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,60, ,4810,10, ,1/2- 3/2-,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,61, ,4837,10, ,3/2+ 5/2+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,62, ,4885,10, ,(5/2- 7/2-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,63, ,4919,10, ,1/2+,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,64, ,4981,10, ,1/2+,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,65, ,4999.74,0.19, ,(1/2)-,2,9.7,LT, ,fs,0.0000000000000097, , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,66, ,5047,10, ,1/2+,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,67, ,5079,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,68, ,5128,10, ,(1/2+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,69, ,5164,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,70, ,5201,10, ,1/2+,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,71, ,5237,3, ,1/2- 3/2-,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,72, ,5285,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,73, ,5309,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,74, ,5324,10, ,3/2+ 5/2+,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,75, ,5352,10, ,1/2+,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,76, ,5373,10, ,1/2- 3/2-,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,77, ,5390,10, ,7/2+ 9/2+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,78, ,5417,10, ,3/2+ 5/2+,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,79, ,5440,10, ,1/2- 3/2-,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,80, ,5479,10, ,1/2+,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,81, ,5521,10, ,7/2+ 9/2+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,82, ,5551,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,83, ,5569,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,84, ,5598,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,85, ,5629,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,86, ,5687,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,87, ,5716,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,88, ,5742,10, ,(3/2+ 5/2+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,89, ,5764,10, ,5/2- 7/2-,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,90, ,5792,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,91, ,5818,10, ,1/2+,9, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,92, ,5846,10, ,1/2- 3/2-,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,93, ,5892,10, ,3/2+ 5/2+,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,94, ,5915,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,95, ,5948,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,96, ,5967,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,97, ,5990,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,98, ,6018,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,99, ,6051,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,100, ,6077,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,101, ,6106,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,102, ,6234,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,25,Ca,103, ,6301,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10

