Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
22,26,Ti,0, ,0, , ,0+,1,STABLE, , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,1, ,983.539,0.0024, ,2+,1,4.04, ,10,ps,0.00000000000404,0.0000000000001, , , , , , , , , , ,0.78, ,-0.177, ,2021-06-10
22,26,Ti,2, ,2295.654,0.005, ,4+,1,0.762, ,70,ps,0.000000000000762,0.00000000000007, , , , , , , , , , ,2.2, , , ,2021-06-10
22,26,Ti,3, ,2421.059,0.011, ,2+,2,27.1, ,27,fs,0.0000000000000271,0.0000000000000027, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,4, ,2465,5, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,5, ,2997.22,0.16, ,0+,2,78, ,9,fs,0.000000000000078,0.000000000000009, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,6, ,3062,5, ,2+,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,7, ,3223.985,0.006, ,3+,1,29, ,6,fs,0.000000000000029,0.000000000000006, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,8, ,3239.785,0.009, ,4+,2,46, ,7,fs,0.000000000000046,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,9, ,3333.196,0.013, ,6+,1,8.9,LE,8,ps,0.0000000000089,0.0000000000008, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,10, ,3358.829,0.015, ,3-,1,184, ,21,fs,0.000000000000184,0.000000000000021, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,11, ,3370.867,0.024, ,2+,4,11.0, ,8,fs,0.000000000000011,8e-16, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,12, ,3508.556,0.012, ,6+,2,2.4,LT, ,ps,0.0000000000024, , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,13, ,3616.82,0.018, ,2+,5,42, ,11,fs,0.000000000000042,0.000000000000011, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,14, ,3633,2, ,(2+),1,?, , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,15, ,3699.49,0.08, ,1-,1,24.3,LE,21,fs,0.0000000000000243,0.0000000000000021, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,16, ,3711,5, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,17, ,3738.57,0.11, ,1+,1,2.65, ,4,fs,0.00000000000000265,4e-17, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,18, ,3782.462,0.016, ,3- 4-,1,1.2, ,+11-6,ps,0.0000000000012, , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,19, ,3802.8,0.09, ,2-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
