Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
24,28,Cr,0, ,0, , ,0+,1,STABLE, , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,1, ,1434.091,0.014, ,2+,1,0.783, ,21,ps,0.000000000000783,0.000000000000021, , , , , , , , , , ,2.41, ,-0.082, ,2021-06-10
24,28,Cr,2, ,2369.63,0.018, ,4+,1,6.7, ,+35-17,ps,0.0000000000067, , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,3, ,2646.9,0.6, ,0+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,4, ,2767.767,0.021, ,4+,2,1.9, ,5,ps,0.0000000000019,0.0000000000005, , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,5, ,2964.786,0.017, ,2+,2,0.42, ,8,ps,0.00000000000042,0.00000000000008, , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,6, ,3113.858,0.021, ,6+,1,41.4, ,14,ps,0.0000000000414,0.0000000000014, , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,7, ,3161.74,0.06, ,2+,3,0.035, ,7,ps,0.000000000000035,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,8, ,3415.32,0.03, ,4+,3,0.26, ,7,ps,0.00000000000026,0.00000000000007, , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,9, ,3472.25,0.15, ,3+,1,7.2, ,8,ps,0.0000000000072,0.0000000000008, , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,10, ,3615.924,0.022, ,5+,1,2.6, ,12,ps,0.0000000000026,0.0000000000012, , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,11, ,3739.6, , ,1+ 1- 2+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,12, ,3771.72,0.14, ,2+,4,9, ,2,fs,0.000000000000009,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,13, ,3947.5,0.6, ,2+,5,0.014, ,7,ps,0.000000000000014,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,14, ,3951.2,1, ,2+,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,15, ,4015.51,0.03, ,5+,2,0.61, ,+27-19,ps,0.00000000000061, , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,16, ,4039.1,1.1, ,4+,4,26, ,4,fs,0.000000000000026,0.000000000000004, , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,17, ,4100,100, ,3-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,18, ,4470, , ,3-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,19, ,4563,0.8, ,3-,3,40, ,6,fs,0.00000000000004,0.000000000000006, , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,20, ,4584,0.7, ,(6+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,21, ,4611, , ,(3 4)+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,22, ,4627.32,0.19, ,4+,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,23, ,4702,5, ,2+,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,24, ,4730, , ,4+,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,25, ,4742.3,1.1, ,0+,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,26, ,4750.31,0.2, ,8+,1,0.08, ,10,ps,0.00000000000008,0.0000000000001, , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,27, ,4800.1, , ,1+ 1- 2+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,28, ,4805.96,0.24, ,6+,2,0.49, ,+28-14,ps,0.00000000000049, , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,29, ,4815.69,0.09, ,1+ 2+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,30, ,4841.3,1.1, ,1+ 1- 2+,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,31, ,4951,4, ,4+,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,32, ,5054.3,1.1, ,4+,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,33, ,5095,5, ,4+,9, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,34, ,5098.6,0.4, ,1,1,0.045, ,10,eV,0.000000000000010138615890475238,0.00000000000004562377150713857, , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,35, ,5139,5, ,(6+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,36, ,5213.7,0.5, ,1,2,0.013, ,3,eV,0.00000000000003509520885164505,0.00000000000015207923835712856, , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,37, ,5285,5, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,38, ,5346,4, ,4+ 6+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,39, ,5396.9,0.3, ,7+,1,0.14, ,+12-9,ps,0.00000000000014, , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,40, ,5410,4, ,(2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,41, ,5425,5, ,4+,10, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,42, ,5432,6, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,43, ,5446.4,0.5, ,4+,11, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,44, ,5490.8, , ,1+ 1- 2+,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,45, ,5500, , ,3-,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,46, ,5526,0.5, ,1,3,0.016, ,3,eV,0.00000000000002851485719196161,0.00000000000015207923835712856, , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,47, ,5541,5, ,4+,12, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,48, ,5544.7,1, ,(1+),1,0.112, ,7,eV,0.000000000000004073551027423086,0.00000000000006517681643876938, , , , , , , , , , , , , , ,2021-06-10
24,28,Cr,49, ,5563.5,0.8, ,+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
