Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
29,35,Cu,0, ,0, , ,1+,1,12.701, ,2,h,45723.6,7.2,EC+B+,61.5,0.3,B-,38.5,0.3, , , , ,-0.217, , , ,2021-06-10
29,35,Cu,1, ,159.282,0.003, ,2+,1,21, ,4,ps,0.000000000021,0.000000000004, , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,2, ,278.257,0.008, ,2+,2,9,LT, ,ps,0.000000000009, , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,3, ,343.898,0.009, ,1+,2,4,LT, ,ps,0.000000000004, , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,4, ,362.231,0.006, ,3+,1,4,LT, ,ps,0.000000000004, , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,5, ,574.629,0.012, ,(4)+,1,17,LT, ,ps,0.000000000017, , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,6, ,608.784,0.009, ,2+,3,9,LT, ,ps,0.000000000009, , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,7, ,663,0.03, ,1+,3,8,LT, ,ps,0.000000000008, , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,8, ,739.051,0.009, ,2+,4,11,LT, ,ps,0.000000000011, , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,9, ,746.245,0.011, ,(3)+,1,13,LT, ,ps,0.000000000013, , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,10, ,878.277,0.019, ,(0)+,1,15,LT, ,ps,0.000000000015, , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,11, ,895.714,0.02, ,(3)+,2,20,LT, ,ps,0.00000000002, , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,12, ,927.079,0.01, ,1+,4,11,LT, ,ps,0.000000000011, , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,13, ,1241.091,0.013, ,1(+) 2(+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,14, ,1242.65,0.07, ,(LE 3),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,15, ,1287.15,0.05, ,(1+ 2 3-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,16, ,1288.6,0.3, ,(LE 3),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,17, ,1290.6,0.5, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,18, ,1298.123,0.014, ,(1)+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,19, ,1320.329,0.02, ,(1+ 2+ 3+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,20, ,1354.25,0.03, ,(3)+,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,21, ,1363.21,0.11, ,(LE 4),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,22, ,1438.69,0.03, ,(1)+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,23, ,1461.35,0.13, ,(2-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,24, ,1499.18,0.03, ,(2)-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,25, ,1521.147,0.019, ,(2)+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,26, ,1550.54,0.12, ,(2+ 3+ 4+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,27, ,1594.23,0.03, ,6-,1,20.4, ,6,ns,0.0000000204,0.0000000006, , , , , , , , , , ,1.06, , , ,2021-06-10
29,35,Cu,28, ,1594.38,0.03, ,(1+ 2),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,29, ,1607.31,0.05, ,(2+ 3 4-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,30, ,1615.7,0.5, ,(4+ 5+ 6+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,31, ,1630,10, ,(1:5)(+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,32, ,1648,10, ,(1- 2-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,33, ,1683.12,0.03, ,(LE 3),3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,34, ,1700.65,0.05, ,(1 2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,35, ,1706.8,0.5, ,(1 TO 5),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,36, ,1739.85,0.06, ,(3+ 4+ 5+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,37, ,1742.59,0.05, ,(1+ 2 3+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,38, ,1749.2,0.3, ,(LE 4),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,39, ,1768.99,0.07, ,(3+ 4+ 5+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,40, ,1779.54,0.04, ,(1+ 2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,41, ,1852.65,0.03, ,(1+ 2+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,42, ,1884,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,43, ,1900.28,0.05, ,(1+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,44, ,1905.093,0.015, ,(1+ 2),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,45, ,1918,1, ,(LE 4),3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,46, ,1940,2, ,(1)+,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,47, ,1970,2, ,(LE 3),4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,48, ,1976.33,0.18, ,(2 TO 6),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,49, ,1979.3,1, ,(3+ 4+ 5+),3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,50, ,2021.2,0.5, ,(1+ 2+ 3+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,51, ,2041.9,0.5, ,(LE 3),5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,52, ,2050,0.09, ,(1+ 2 3-),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,53, ,2053.3,1, ,(LE 4),4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,54, ,2060,2, ,(LE 3),6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,55, ,2065,2, ,(LE 4),5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,56, ,2073.2,0.5, ,(5 6 7),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,57, ,2075.12,0.11, ,(2- 3- 4-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,58, ,2080.1,1.5, ,(LE 3),7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,59, ,2092.3,0.2, ,(1+ 2+ 3+),3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,60, ,2115,10, ,(LE 3+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,61, ,2139.7,0.7, ,(LE 3),8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,62, ,2144.53,0.06, ,(2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,63, ,2184.2,0.5, ,(3+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,64, ,2212,9, ,(1+ TO 5+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,65, ,2221,2, ,(3+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,66, ,2244,2, ,(1+ 2+ 3+),4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,67, ,2251.6,1, ,(4 5 6+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,68, ,2254.06,0.12, ,(LE 3),9, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,69, ,2267.01,0.06, ,(2- 3- 4-),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,70, ,2274.27,0.08, ,(LE 3),10, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,71, ,2279.75,0.06, ,(LE 3),11, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,72, ,2301.09,0.06, ,(LE 3),12, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,73, ,2309.4,1, ,(3+),3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,74, ,2316.49,0.07, ,(1- 2-),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,75, ,2323.2,0.7, ,(5:8),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,76, ,2324.75,0.19, ,(1+ 2+ 3+),5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,77, ,2354.62,0.07, ,(LE 3),13, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,78, ,2360.47,0.11, ,(LE 4),6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,79, ,2376.41,0.09, ,(1+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,35,Cu,80, ,2378.4,0.5, ,(7-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
