Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
28,36,Ni,0, ,0, , ,0+,1,STABLE, , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,1, ,1345.75,0.05, ,2+,1,1.088, ,35,ps,0.000000000001088,0.000000000000035, , , , , , , , , , ,0.37, ,0.35, ,2021-06-10
28,36,Ni,2, ,2276.56,0.05, ,(2)+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,3, ,2485,6, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,4, ,2610.1,0.1, ,4+,1,1.73, ,28,ps,0.00000000000173,0.00000000000028, , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,5, ,2867.3,0.4, ,(0)+,1,0.04, ,2,ps,0.00000000000004,0.00000000000002, , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,6, ,2972.08,0.05, ,(1 2+),1,0.13, ,+13-5,ps,0.00000000000013, , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,7, ,3025.83,0.05, ,(0+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,8, ,3166.1,0.5, ,4+,2,0.13, ,+17-5,ps,0.00000000000013, , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,9, ,3275.98,0.05, ,2+,2,0.21, ,2,ps,0.00000000000021,0.00000000000002, , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,10, ,3395.7,0.3, ,(4)+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,11, ,3463.61,0.05, ,(0+ 1 2 3-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,12, ,3482,5, ,(2+ 3 4+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,13, ,3560.4,0.4, ,3-,1,3.3,AP, ,ps,0.0000000000033, , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,14, ,3647.98,0.06, ,1+ 2+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,15, ,3749,0.06, ,(1 2+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,16, ,3749.4,0.4, ,(4+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
