Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
31,38,Ga,0, ,3/2-, ,STABLE, , , , , , , , , , , , , , ,2.01659, ,0.171, ,
31,38,Ga,318.706,0.021,1/2-,LT,70, ,ps,0.00000000007, , , , , , , , , , , , , , , ,
31,38,Ga,574.22,0.022,5/2-, ,1.7,7,ps,0.0000000000017,0.0000000000007, , , , , , , , , , , , , , ,
31,38,Ga,872.147,0.022,3/2-, ,0.250,21,ps,0.00000000000025,0.000000000000021, , , , , , , , , , , , , , ,
31,38,Ga,1028.59,0.04,1/2-, ,1.2,10,ps,0.0000000000012,0.000000000001, , , , , , , , , , , , , , ,
31,38,Ga,1107.04,0.04,5/2-, ,0.222,21,ps,0.000000000000222,0.000000000000021, , , , , , , , , , , , , , ,
31,38,Ga,1134,15, , , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,1336.69,0.03,7/2-, ,1.18,6,ps,0.00000000000118,0.00000000000006, , , , , , , , , , , , , , ,
31,38,Ga,1488.07,0.04,7/2-, ,1.9,+10-5,ps,0.0000000000019, , , , , , , , , , , , , , , ,
31,38,Ga,1525.76,0.04,3/2-,GE,0.55, ,ps,0.00000000000055, , , , , , , , , , , , , , , ,
31,38,Ga,1723.71,0.04,5/2-, ,0.15,+12-6,ps,0.00000000000015, , , , , , , , , , , , , , , ,
31,38,Ga,1764.78,0.04,9/2-, ,0.83,14,ps,0.00000000000083,0.00000000000014, , , , , , , , , , , , , , ,
31,38,Ga,1891.64,0.06,3/2-, ,22,3,fs,0.000000000000022,0.000000000000003, , , , , , , , , , , , , , ,
31,38,Ga,1924.25,0.04,7/2-,GE,0.62, ,ps,0.00000000000062, , , , , , , , , , , , , , , ,
31,38,Ga,1972.37,0.05,9/2(+),GE,2.8, ,ps,0.0000000000028, , , , , , , , , , , , , , , ,
31,38,Ga,1973.08,0.06,(1/2)-, ,97,28,fs,0.000000000000097,0.000000000000028, , , , , , , , , , , , , , ,
31,38,Ga,2007.66,0.05,3/2(-) 5/2(-), ,0.35,+21-10,ps,0.00000000000035, , , , , , , , , , , , , , , ,
31,38,Ga,2023.91,0.09,5/2-, ,0.175,19,ps,0.000000000000175,0.000000000000019, , , , , , , , , , , , , , ,
31,38,Ga,2045.24,0.08,5/2-, ,111,14,fs,0.000000000000111,0.000000000000014, , , , , , , , , , , , , , ,
31,38,Ga,2197,4, , , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,2219.29,0.19, ,GE,0.21, ,ps,0.00000000000021, , , , , , , , , , , , , , , ,
31,38,Ga,2250.99,0.1,(1/2 3/2)-, ,0.10,+5-3,ps,0.0000000000001, , , , , , , , , , , , , , , ,
31,38,Ga,2319.55,0.2,(5/2+ 7/2+), ,1.04,21,ps,0.00000000000104,0.00000000000021, , , , , , , , , , , , , , ,
31,38,Ga,2353.3,0.24,5/2,GE,0.17, ,ps,0.00000000000017, , , , , , , , , , , , , , , ,
31,38,Ga,2423.29,0.07, , , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,2428.68,0.21,5/2- 7/2-,GE,1.7, ,ps,0.0000000000017, , , , , , , , , , , , , , , ,
31,38,Ga,2458.84,0.11,7/2(-), ,0.15,+19-6,ps,0.00000000000015, , , , , , , , , , , , , , , ,
31,38,Ga,2485.7,0.1,5/2+, ,70,+50-30,fs,0.00000000000007, , , , , , , , , , , , , , , ,
31,38,Ga,2529.81,0.09,(3/2)-, ,76,21,fs,0.000000000000076,0.000000000000021, , , , , , , , , , , , , , ,
31,38,Ga,2560,3,(7/2)-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,2564.3,0.8, , , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,2572.54,0.21,9/2+, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,2573,5,3/2-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,2600,5,-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,2614,5,-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,2660.3,1.8,3/2-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,2668.28,0.06,11/2,GE,1.7, ,ps,0.0000000000017, , , , , , , , , , , , , , , ,
31,38,Ga,2680,3,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,2717.99,0.05,13/2(+),GE,1.4, ,ps,0.0000000000014, , , , , , , , , , , , , , , ,
31,38,Ga,2749,5,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,2766,3, , , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,2789,30,1/2-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,2795,0.5,(7/2)-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,2847,3,+, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,2860,5, , , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,2932,15,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,2965,3,-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,2978.8,2.2,-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,2995,5, , , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3052,3,3/2 7/2, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3077,4,5/2+, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3098,5,-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3118.39,0.17,11/2-, ,0.24,5,ps,0.00000000000024,0.00000000000005, , , , , , , , , , , , , , ,
31,38,Ga,3135,5, , , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3192,5,(-), , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3203,4,(3/2-), , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3211,5, , , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3240,5,-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3242.44,0.07,13/2-, ,0.5,3,ps,0.0000000000005,0.0000000000003, , , , , , , , , , , , , , ,
31,38,Ga,3283,6,3/2-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3299,5,-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3319,6,7/2, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3328,5,-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3358,30,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3371,5,3/2-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3389.33,0.1,(15/2+), ,1.9,10,ps,0.0000000000019,0.000000000001, , , , , , , , , , , , , , ,
31,38,Ga,3490,5,-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3542.76,0.1,11/2(+), ,0.42,7,ps,0.00000000000042,0.00000000000007, , , , , , , , , , , , , , ,
31,38,Ga,3578,5,-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3633.95,0.07,17/2(+), ,1.4,7,ps,0.0000000000014,0.0000000000007, , , , , , , , , , , , , , ,
31,38,Ga,3655,5,-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3693,5, , , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3722.3,0.08,(11/2 13/2), ,1.6,3,ps,0.0000000000016,0.0000000000003, , , , , , , , , , , , , , ,
31,38,Ga,3757,5,3/2-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3786.07,0.12,(15/2), ,1.04,21,ps,0.00000000000104,0.00000000000021, , , , , , , , , , , , , , ,
31,38,Ga,3795,5,(-), , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3803,30,1/2+, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3881,5,-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3928,5,(-), , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3950,5, , , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3966,5, , , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,3993,5, , , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,4032,5,-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,4078.2,0.1,(15/2)-, ,0.55,10,ps,0.00000000000055,0.0000000000001, , , , , , , , , , , , , , ,
31,38,Ga,4106,5, , , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,4115,30,1/2+, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,4152,30,1/2+, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,4160,5, , , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,4190,30,1/2+, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,4191,5, , , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,4251,5,3/2-, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,4253,30,(1/2+), , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,4291,5, , , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,4321,30,(1/2+), , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,4430,30, , , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,4528.1,0.14,(17/2 19/2),GE,2.8, ,ps,0.0000000000028, , , , , , , , , , , , , , , ,
31,38,Ga,4533,30,(1/2+), , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,4830,30,1/2+, , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,6874.2,1.6,1/2,LT,10, ,fs,0.00000000000001, , , , , , , , , , , , , , , ,
31,38,Ga,7306.9,0.7,5/2+, ,4.3,+11-7,fs,0.0000000000000043, , , , , , , , , , , , , , , ,
31,38,Ga,9813.6,0.6, , ,1.5E-2,5,as,1.5e-20,5e-21, , , , , , , , , , , , , , ,
31,38,Ga,10247.8,0.7, , , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,10251.7,0.8, , , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,10256.8,0.7, , , , , , , , , , , , , , , , , , , , , ,
31,38,Ga,10586, ,(3/2-), ,9.1E-1, ,as,9.1e-19, , , , , , , , , , , , , , , ,
31,38,Ga,10597, , , ,1.8E-1, ,as,1.8e-19, , , , , , , , , , , , , , , ,
31,38,Ga,10621, ,3/2-, ,1.5E-2, ,as,1.5e-20, , , , , , , , , , , , , , , ,
31,38,Ga,10655, ,(5/2+), ,1.5E-2, ,as,1.5e-20, , , , , , , , , , , , , , , ,
31,38,Ga,10686, ,(5/2+), ,1.8E-1, ,as,1.8e-19, , , , , , , , , , , , , , , ,
31,38,Ga,10698, ,(5/2+), ,1.8E-1, ,as,1.8e-19, , , , , , , , , , , , , , , ,
31,38,Ga,10717, ,(5/2+), ,1.8E-1, ,as,1.8e-19, , , , , , , , , , , , , , , ,
31,38,Ga,11404, ,5/2+, ,1.5E-2, ,as,1.5e-20, , , , , , , , , , , , , , , ,
31,38,Ga,11483, ,1/2+, ,7.6E-3, ,as,7.6e-21, , , , , , , , , , , , , , , ,
31,38,Ga,11601, ,(1/2-), ,1.5E-2, ,as,1.5e-20, , , , , , , , , , , , , , , ,
31,38,Ga,12028, ,1/2+, ,1.1E-2, ,as,1.1e-20, , , , , , , , , , , , , , , ,
31,38,Ga,12178, ,5/2+, ,1.5E-2, ,as,1.5e-20, , , , , , , , , , , , , , , ,
31,38,Ga,12331, ,5/2+, ,1.5E-2, ,as,1.5e-20, , , , , , , , , , , , , , , ,
31,38,Ga,12434, ,1/2+, ,9.1E-2, ,as,9.1e-20, , , , , , , , , , , , , , , ,

