Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
34,41,Se,0, ,5/2+, ,119.78,5,d,10348992,4320,EC,100, , , , , , , , ,0.683, ,1.1, ,
34,41,Se,112.3876,0.0012,7/2+, ,0.69,12,ns,0.00000000069,0.00000000012, , , , , , , , , , , , , , ,
34,41,Se,133.04,0.003,9/2+, ,5.3,6,ns,0.0000000053,0.0000000006, , , , , , , , , , , , , , ,
34,41,Se,286.5714,0.0021,3/2-, ,1.29,15,ns,0.00000000129,0.00000000015, , , , , , , , , , , , , , ,
34,41,Se,293.106,0.003,1/2-, ,30.0,4,ns,0.00000003,0.0000000004, , , , , , , , , , , , , , ,
34,41,Se,427.8853,0.0021,5/2-, , , , , , , , , , , , , , , , , , , , ,
34,41,Se,585.951,0.0023,3/2-, , , , , , , , , , , , , , , , , , , , ,
34,41,Se,610.716,0.003,1/2+, , , , , , , , , , , , , , , , , , , , ,
34,41,Se,628.431,0.0022,5/2+, , , , , , , , , , , , , , , , , , , , ,
34,41,Se,663.9569,0.0023,5/2-, , , , , , , , , , , , , , , , , , , , ,
34,41,Se,747.6502,0.0025,7/2-, , , , , , , , , , , , , , , , , , , , ,
34,41,Se,761.14,0.2, , , , , , , , , , , , , , , , , , , , , ,
34,41,Se,777.3231,0.0025,5/2-, , , , , , , , , , , , , , , , , , , , ,
34,41,Se,789.989,0.006,7/2(+), , , , , , , , , , , , , , , , , , , , ,
34,41,Se,814.32,0.11,11/2+, , , , , , , , , , , , , , , , , , , , ,
34,41,Se,839.893,0.003,3/2+, , , , , , , , , , , , , , , , , , , , ,
34,41,Se,859.537,0.003,3/2-, , , , , , , , , , , , , , , , , , , , ,
34,41,Se,895.274,0.003,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
34,41,Se,934.1,0.09,13/2+, , , , , , , , , , , , , , , , , , , , ,
34,41,Se,953.297,0.01,5/2+ 7/2, , , , , , , , , , , , , , , , , , , , ,
34,41,Se,962.644,0.003,3/2-, , , , , , , , , , , , , , , , , , , , ,
34,41,Se,1003.846,0.006,5/2+, ,0.054,+29-18,ps,0.000000000000054, , , , , , , , , , , , , , , ,
34,41,Se,1020.47,0.009,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
34,41,Se,1047.187,0.008,5/2- 7/2-, ,0.11,+10-3,ps,0.00000000000011, , , , , , , , , , , , , , , ,
34,41,Se,1066.39,0.2, , , , , , , , , , , , , , , , , , , , , ,
34,41,Se,1073.825,0.003,5/2-, ,0.073,+45-24,ps,0.000000000000073, , , , , , , , , , , , , , , ,
34,41,Se,1078.67,0.07,9/2-, , , , , , , , , , , , , , , , , , , , ,
34,41,Se,1087.12,0.17, , , , , , , , , , , , , , , , , , , , , ,
34,41,Se,1088.15,0.22,(7/2), ,0.2,+10-1,ps,0.0000000000002, , , , , , , , , , , , , , , ,
34,41,Se,1144.46,0.018,3/2+ 5/2+, ,0.09,+6-3,ps,0.00000000000009, , , , , , , , , , , , , , , ,
34,41,Se,1162.3,0.3,(7/2+ 9/2+), , , , , , , , , , , , , , , , , , , , ,
34,41,Se,1181.86,0.18,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
34,41,Se,1184.189,0.005,1/2 3/2 5/2, , , , , , , , , , , , , , , , , , , , ,
34,41,Se,1189.2,0.3, , , , , , , , , , , , , , , , , , , , , ,
34,41,Se,1198.535,0.004,5/2+, ,0.13,+17-6,ps,0.00000000000013, , , , , , , , , , , , , , , ,
34,41,Se,1245.245,0.007,3/2-, ,0.25,+69-10,ps,0.00000000000025, , , , , , , , , , , , , , , ,
34,41,Se,1259.94,0.24, , ,0.044,+18-12,ps,0.000000000000044, , , , , , , , , , , , , , , ,
34,41,Se,1301.707,0.017,5/2 7/2, ,0.14,+10-5,ps,0.00000000000014, , , , , , , , , , , , , , , ,
34,41,Se,1369,15,(7/2+ 9/2+), , , , , , , , , , , , , , , , , , , , ,
34,41,Se,1374.513,0.018,1/2 3/2 5/2, , , , , , , , , , , , , , , , , , , , ,
34,41,Se,1380.36,0.21, , , , , , , , , , , , , , , , , , , , , ,
