Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
37,46,Rb,0, ,5/2-, ,86.2,1,d,7447680,8640,EC,100, , , , , , , , ,1.4249, ,0.196, ,
37,46,Rb,5.2357,0.0008,3/2-, ,71.5,8,ns,0.0000000715,0.0000000008, , , , , , , , , , , , , , ,
37,46,Rb,42.078,0.002,9/2+,GT,0.3, ,ms,0.0003, , , , , , , , , , , , , , , ,
37,46,Rb,99.36,0.07,3/2-, , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,389.42,0.06,3/2-, ,8,3,ps,0.000000000008,0.000000000003, , , , , , , , , , , , , , ,
37,46,Rb,423.612,0.016,5/2+, ,74,+21-14,ps,0.000000000074, , , , , , , , , , , , , , , ,
37,46,Rb,440, ,(3/2-), , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,466.7,0.4, , , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,564.59,0.05,(3/2- 5/2 7/2-), ,1.0,+8-4,ps,0.000000000001, , , , , , , , , , , , , , , ,
37,46,Rb,737.14,0.03,7/2-, ,10.4,69,ps,0.0000000000104,0.0000000000069, , , , , , , , , , , , , , ,
37,46,Rb,793.63,0.08,13/2+, ,4.2,7,ps,0.0000000000042,0.0000000000007, , , , , , , , , , , , , , ,
37,46,Rb,804.77,0.03,(7/2)+, ,0.76,14,ps,0.00000000000076,0.00000000000014, , , , , , , , , , , , , , ,
37,46,Rb,821.62,0.15,(3/2)-, , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,853.98,0.11,(3/2- 5/2 7/2-), , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,908,0.11,(3/2 5/2 7/2-), , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,1010.34,0.14,(3/2- 5/2 7/2-), , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,1035.14,0.1,(3/2- 5/2 7/2-), , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,1037.92,0.12,11/2+, ,0.55,21,ps,0.00000000000055,0.00000000000021, , , , , , , , , , , , , , ,
37,46,Rb,1083.19,0.08, , , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,1096.53,0.08,(7/2+ 9/2+), ,2.1,7,ps,0.0000000000021,0.0000000000007, , , , , , , , , , , , , , ,
37,46,Rb,1102.66,0.13,9/2-, ,0.83,21,ps,0.00000000000083,0.00000000000021, , , , , , , , , , , , , , ,
37,46,Rb,1202.04,0.06,(5/2 7/2 9/2)+, , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,1242.9,0.04,(5/2)+, , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,1277.5,0.4,(3/2- 5/2 7/2-), , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,1296.07,0.1,(5/2 7/2-), , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,1343, ,(3/2 5/2)-, , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,1366.1,0.4,(7/2+ 9/2), , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,1374.6,0.6, , , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,1424.6,0.3, , , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,1586.9,0.7,(9/2 13/2), ,1.9,6,ps,0.0000000000019,0.0000000000006, , , , , , , , , , , , , , ,
37,46,Rb,1597.68,0.1,(5/2 7/2-), , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,1606.2,0.5,(3/2 5/2 7/2-), , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,1614.8,0.4,(5/2+ 7/2 9/2+), , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,1629, ,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,1649.4,0.5,(3/2- 5/2 7/2-), , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,1695.45,0.13,(7/2 9/2)+, , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,1749.33,0.08,(5/2+ 7/2), , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,1753.64,0.16,11/2-, ,0.69,14,ps,0.00000000000069,0.00000000000014, , , , , , , , , , , , , , ,
37,46,Rb,1780.4,0.7, , ,1.7,6,ps,0.0000000000017,0.0000000000006, , , , , , , , , , , , , , ,
37,46,Rb,1798.56,0.08,(5/2)+, , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,1889.21,0.12,17/2+, ,1.05,12,ps,0.00000000000105,0.00000000000012, , , , , , , , , , , , , , ,
37,46,Rb,1916.41,0.19,(5/2 7/2-), , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,1942.66,0.12,15/2+, ,1.25,42,ps,0.00000000000125,0.00000000000042, , , , , , , , , , , , , , ,
37,46,Rb,1952.04,0.06,5/2+, , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,2036.5,0.5,(5/2 7/2-), , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,2057.23,0.1,(7/2+ 9/2), , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,2062, ,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,2067.3,0.3,11/2-, , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,2073.5,0.4,13/2-, ,0.55,14,ps,0.00000000000055,0.00000000000014, , , , , , , , , , , , , , ,
37,46,Rb,2089.9,0.08,(5/2+ 7/2+), , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,2095,0.6,(5/2+ 7/2 9/2), , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,2101.72,0.14,13/2-, ,1.18,28,ps,0.00000000000118,0.00000000000028, , , , , , , , , , , , , , ,
37,46,Rb,2134.86,0.11,(5/2+ 7/2), , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,2189.72,0.14,9/2+, , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,2206.24,0.23,(13/2), , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,2310,1, , , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,2313.54,0.13,13/2-, ,0.69,21,ps,0.00000000000069,0.00000000000021, , , , , , , , , , , , , , ,
37,46,Rb,2318.17,0.19,(17/2+), ,1.4,7,ps,0.0000000000014,0.0000000000007, , , , , , , , , , , , , , ,
37,46,Rb,2334, ,1/2+ 3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,2413.75,0.12,15/2-, ,4.2,21,ns,0.0000000042,0.0000000021, , , , , , , , , , , , , , ,
37,46,Rb,2442, , , , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,2568, , , , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,2576.44,0.21,15/2-, ,0.62,14,ps,0.00000000000062,0.00000000000014, , , , , , , , , , , , , , ,
37,46,Rb,2584, ,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,2595.89,0.13,17/2-, ,70,35,ps,0.00000000007,0.000000000035, , , , , , , , , , , , , , ,
37,46,Rb,2691, ,1/2+, , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,2699.5,0.13,17/2-, , , , , , , , , , , , , , , , , , , , ,
37,46,Rb,2772.42,0.2,17/2-, , , , , , , , , , , , , , , , , , , , ,
