Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
42,55,Mo,0, ,5/2+, ,STABLE, , , , , , , , , , , , , , ,-0.9335, ,0.255, ,
42,55,Mo,275,1, , , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,320,1,1/2:9/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,373,8,1/2:9/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,480.91,0.06,3/2+, ,12.9,19,ps,0.0000000000129,0.0000000000019, , , , , , , , , , , , , , ,
42,55,Mo,528,5,5/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,576,4,1/2:11/2-, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,658.13,0.05,7/2+, ,2.0,5,ps,0.000000000002,0.0000000000005, , , , , , , , , , , , , , ,
42,55,Mo,679.59,0.07,1/2+, ,28.9,19,ps,0.0000000000289,0.0000000000019, , , , , , , , , , , , , , ,
42,55,Mo,719.2,0.07,5/2+, ,10,5,ps,0.00000000001,0.000000000005, , , , , , , , , , , , , , ,
42,55,Mo,720.92,0.14,3/2+, ,4,+5-3,ps,0.000000000004, , , , , , , , , , , , , , , ,
42,55,Mo,753,5,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,787,5,1/2:11/2-, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,795,5,(1/2+), , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,824,4,5/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,888,0.1,1/2+, ,2.7,9,ps,0.0000000000027,0.0000000000009, , , , , , , , , , , , , , ,
42,55,Mo,993,5,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1004,1,1/2:9/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1024.45,0.08,7/2+, ,0.55,12,ps,0.00000000000055,0.00000000000012, , , , , , , , , , , , , , ,
42,55,Mo,1025,2,5/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1092.63,0.14,3/2+, ,1.3,+16-7,ps,0.0000000000013, , , , , , , , , , , , , , , ,
42,55,Mo,1116,5,11/2-, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1116.74,0.08,9/2+, ,1.20,8,ps,0.0000000000012,0.00000000000008, , , , , , , , , , , , , , ,
42,55,Mo,1120,10,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1134,3,7/2+ 9/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1222,3,5/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1264.9,0.4,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1268,5,3/2:7/2-, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1268.63,0.08,7/2+, ,0.53,20,ps,0.00000000000053,0.0000000000002, , , , , , , , , , , , , , ,
42,55,Mo,1270.7,0.3,5/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1284.63,0.12,3/2+ 5/2+, ,0.7,+5-6,ps,0.0000000000007, , , , , , , , , , , , , , , ,
42,55,Mo,1321.5,0.9,3/2,LT,7, ,ns,0.000000007, , , , , , , , , , , , , , , ,
42,55,Mo,1341,6,1/2:9/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1409.47,0.11,11/2+,LT,7, ,ns,0.000000007, , , , , , , , , , , , , , , ,
42,55,Mo,1436.91,0.15,11/2-, ,2.5,3,ns,0.0000000025,0.0000000003, , , , , , , , , , , , , , ,
42,55,Mo,1515.72,0.09,9/2+, ,1.48,23,ps,0.00000000000148,0.00000000000023, , , , , , , , , , , , , , ,
42,55,Mo,1516,0.4,3/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1544.89,0.21,(7/2+ 9/2+ 11/2+),LT,7, ,ns,0.000000007, , , , , , , , , , , , , , , ,
42,55,Mo,1547.6,0.5,1/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1550,8,5/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1556.6,0.7,7/2-, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1563,4,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1565.6,0.3,(7/2),LT,7, ,ns,0.000000007, , , , , , , , , , , , , , , ,
42,55,Mo,1621,2,1/2:9/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1629.91,0.16,7/2+,LT,7, ,ns,0.000000007, , , , , , , , , , , , , , , ,
42,55,Mo,1697.9,0.5,(9/2+), , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1700.7,0.9,(1/2+), , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1724.1,0.5,3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1727.54,0.2,(7/2+), , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1758.3,1,(1/2 3/2 5/2+), , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1762.5,0.6,9/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1782.95,0.13,(11/2+),LT,7, ,ns,0.000000007, , , , , , , , , , , , , , , ,
42,55,Mo,1786.5,0.5,7/2+ 9/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1790.3,0.5,(1/2 3/2), , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1847.8,0.4,(5/2 7/2), , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1848,5, , , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1871,8,1/2:9/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1921,0.3,13/2+,LT,7, ,ns,0.000000007, , , , , , , , , , , , , , , ,
42,55,Mo,1930.2,0.3,(3/2 5/2), , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1939.93,0.14,(5/2+),LT,7, ,ns,0.000000007, , , , , , , , , , , , , , , ,
42,55,Mo,1955,3,5/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1961.6,0.4,7/2+, , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1986.1,0.8,(3/2 5/2 7/2), , , , , , , , , , , , , , , , , , , , ,
42,55,Mo,1989.8,0.4,(3/2 5/2), , , , , , , , , , , , , , , , , , , , ,
