,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,45,58,Rh,0, ,0.5, ,STABLE, , , , , , , , , , , , , , ,-0.0884, , , 
2,2,45,58,Rh,39.753,0.006,3.5, ,56.114,9,m,3366.84,0.54,IT,100, , , , , , , , ,4.54, , , 
3,3,45,58,Rh,93.036,0.009,4.5, ,1.11,3,ns,0.00000000111,0.00000000003, , , , , , , , , , ,4.9, , , 
4,4,45,58,Rh,294.965,0.008,1.5, ,6.61,18,ps,0.00000000000661,0.00000000000018, , , , , , , , , , ,0.81, ,-0.3, 
5,5,45,58,Rh,357.396,0.017,2.5, ,73,2,ps,0.000000000073,0.000000000002, , , , , , , , , , ,1.09, ,-0.4, 
6,6,45,58,Rh,536.84,0.007,2.5, ,39,12,ps,0.000000000039,0.000000000012, , , , , , , , , , , , , , 
7,7,45,58,Rh,607.409,0.014,4.5, , , , , , , , , , , , , , , , , , , , 
8,8,45,58,Rh,650.064,0.018,2.5,LE,0.1, ,ns,0.0000000001, , , , , , , , , , , , , , , 
9,9,45,58,Rh,651.716,0.014,1.5, , , , , , , , , , , , , , , , , , , , 
10,10,45,58,Rh,657.76,0.15,5.5, , , , , , , , , , , , , , , , , , , , 
11,11,45,58,Rh,781.15,0.22,4.5, , , , , , , , , , , , , , , , , , , , 
12,12,45,58,Rh,803.16,0.09,0.5, ,0.120,19,ps,0.00000000000012,0.000000000000019, , , , , , , , , , , , , , 
13,13,45,58,Rh,821.45,0.15,6.5, , , , , , , , , , , , , , , , , , , , 
14,14,45,58,Rh,847.59,0.08,3.5, ,1.9,2,ps,0.0000000000019,0.0000000000002, , , , , , , , , , ,2, , , 
15,15,45,58,Rh,880.46,0.06,2.5, ,2.2,3,ps,0.0000000000022,0.0000000000003, , , , , , , , , , , , , , 
16,16,45,58,Rh,903.2,0.6,5.5, , , , , , , , , , , , , , , , , , , , 
17,17,45,58,Rh,920.09,0.07,4.5, ,5.6,3,ps,0.0000000000056,0.0000000000003, , , , , , , , , , ,2.8, , , 
18,18,45,58,Rh,1078.31,0.2,3.5, , , , , , , , , , , , , , , , , , , , 
19,19,45,58,Rh,1106.86,0.13,2.5, , , , , , , , , , , , , , , , , , , , 
20,20,45,58,Rh,1135.8,0.4,2.5, , , , , , , , , , , , , , , , , , , , 
21,21,45,58,Rh,1252.1,0.3,0.5, , , , , , , , , , , , , , , , , , , , 
22,22,45,58,Rh,1256.5,0.3,0.5, , , , , , , , , , , , , , , , , , , , 
23,23,45,58,Rh,1277.17,0.09,1.5, ,0.53,36,ps,0.00000000000053,0.00000000000036, , , , , , , , , , , , , , 
24,24,45,58,Rh,1293.99,0.24,2.5, , , , , , , , , , , , , , , , , , , , 
25,25,45,58,Rh,1327,0.5,0.5, , , , , , , , , , , , , , , , , , , , 
26,26,45,58,Rh,1344.7,0.5,4.5, , , , , , , , , , , , , , , , , , , , 
27,27,45,58,Rh,1349.5,0.5,6.5, , , , , , , , , , , , , , , , , , , , 
28,28,45,58,Rh,1404,7,0.5, , , , , , , , , , , , , , , , , , , , 
29,29,45,58,Rh,1410.93,0.13,2.5, , , , , , , , , , , , , , , , , , , , 
30,30,45,58,Rh,1411.06,0.16,2.5, , , , , , , , , , , , , , , , , , , , 
31,31,45,58,Rh,1420.5,1,0.5, , , , , , , , , , , , , , , , , , , , 
32,32,45,58,Rh,1428.7,0.6,0.5, , , , , , , , , , , , , , , , , , , , 
33,33,45,58,Rh,1438.4,0.4,0.5, , , , , , , , , , , , , , , , , , , , 
34,34,45,58,Rh,1443.63,0.24,0.5, , , , , , , , , , , , , , , , , , , , 
35,35,45,58,Rh,1466.4,0.4,0.5, , , , , , , , , , , , , , , , , , , , 
36,36,45,58,Rh,1470, ,0.5, , , , , , , , , , , , , , , , , , , , 
37,37,45,58,Rh,1480.1,0.7,0.5, , , , , , , , , , , , , , , , , , , , 
38,38,45,58,Rh,1482.36,0.14,0.5, , , , , , , , , , , , , , , , , , , , 
39,39,45,58,Rh,1491.6,0.4,0.5, , , , , , , , , , , , , , , , , , , , 
40,40,45,58,Rh,1515.6,0.7,0.5, , , , , , , , , , , , , , , , , , , , 
41,41,45,58,Rh,1524.7,0.3,7.5, , , , , , , , , , , , , , , , , , , , 
