,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,46,59,Pd,0, ,2.5, ,STABLE, , , , , , , , , , , , , , ,-0.642, ,0.66, 
2,2,46,59,Pd,280.51,0.22,1.5, ,67,14,ps,0.000000000067,0.000000000014, , , , , , , , , , ,-0.074, , , 
3,3,46,59,Pd,306.25,0.03,3.5,GT,69, ,ps,0.000000000069, , , , , , , , , , , , , , , 
4,4,46,59,Pd,319.216,0.024,2.5, ,39,2,ps,0.000000000039,0.000000000002, , , , , , , , , , ,0.95, , , 
5,5,46,59,Pd,344.512,0.018,0.5, ,0.88,5,ns,0.00000000088,0.00000000005, , , , , , , , , , , , , , 
6,6,46,59,Pd,442.38,0.04,3.5, ,3.71,9,ps,0.00000000000371,0.00000000000009, , , , , , , , , , , , , , 
7,7,46,59,Pd,447, ,2.5, , , , , , , , , , , , , , , , , , , , 
8,8,46,59,Pd,489.14,0.04,5.5, ,36.1,4,us,0.0000361,0.0000004, , , , , , , , , , , , , , 
9,9,46,59,Pd,535, ,0.5, , , , , , , , , , , , , , , , , , , , 
10,10,46,59,Pd,560.75,0.03,1.5, ,1.9,5,ps,0.0000000000019,0.0000000000005, , , , , , , , , , , , , , 
11,11,46,59,Pd,644.53,0.04,3.5, ,126,2,ps,0.000000000126,0.000000000002, , , , , , , , , , ,-1.49, , , 
12,12,46,59,Pd,650.7,0.03,1.5, , , , , , , , , , , , , , , , , , , , 
13,13,46,59,Pd,673.17,0.03,0.5,GT,2, ,ps,0.000000000002, , , , , , , , , , , , , , , 
14,14,46,59,Pd,696.66,0.15,3.5, , , , , , , , , , , , , , , , , , , , 
15,15,46,59,Pd,727.22,0.04,2.5, , , , , , , , , , , , , , , , , , , , 
16,16,46,59,Pd,781.94,0.04,4.5, ,1.4,1,ps,0.0000000000014,0.0000000000001, , , , , , , , , , , , , , 
17,17,46,59,Pd,787,8,0.5, , , , , , , , , , , , , , , , , , , , 
18,18,46,59,Pd,808, ,0.5, , , , , , , , , , , , , , , , , , , , 
19,19,46,59,Pd,901.98,0.12,4.5, , , , , , , , , , , , , , , , , , , , 
20,20,46,59,Pd,921,0.09,0.5, , , , , , , , , , , , , , , , , , , , 
21,21,46,59,Pd,929.13,0.08,2.5, , , , , , , , , , , , , , , , , , , , 
22,22,46,59,Pd,939,8,0.5, , , , , , , , , , , , , , , , , , , , 
23,23,46,59,Pd,961.4,0.4,0.5, , , , , , , , , , , , , , , , , , , , 
24,24,46,59,Pd,962.38,0.04,1.5, , , , , , , , , , , , , , , , , , , , 
25,25,46,59,Pd,970.15,0.07,7.5, , , , , , , , , , , , , , , , , , , , 
26,26,46,59,Pd,972, ,0.5, , , , , , , , , , , , , , , , , , , , 
27,27,46,59,Pd,1011.55,0.21,5.5, , , , , , , , , , , , , , , , , , , , 
28,28,46,59,Pd,1011.71,0.06,5.5, , , , , , , , , , , , , , , , , , , , 
29,29,46,59,Pd,1072.2,0.5,4.5, , , , , , , , , , , , , , , , , , , , 
30,30,46,59,Pd,1074.4,0.4,0.5, , , , , , , , , , , , , , , , , , , , 
31,31,46,59,Pd,1075,8,0.5, , , , , , , , , , , , , , , , , , , , 
32,32,46,59,Pd,1087.96,0.04,1.5, , , , , , , , , , , , , , , , , , , , 
33,33,46,59,Pd,1098.42,0.2,4.5, , , , , , , , , , , , , , , , , , , , 
34,34,46,59,Pd,1102.1,0.4,2.5, , , , , , , , , , , , , , , , , , , , 
35,35,46,59,Pd,1125.33,0.11,0.5, , , , , , , , , , , , , , , , , , , , 
36,36,46,59,Pd,1140.81,0.14,0.5, , , , , , , , , , , , , , , , , , , , 
37,37,46,59,Pd,1142.35,0.14,0.5, , , , , , , , , , , , , , , , , , , , 
38,38,46,59,Pd,1177.7,0.3,0.5, , , , , , , , , , , , , , , , , , , , 
