,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,47,62,Ag,0, ,0.5, ,STABLE, , , , , , , , , , , , , , ,-0.1306906, , , 
2,2,47,62,Ag,88.0337,0.001,3.5, ,39.79,21,s,39.79,0.21,IT,100, , , , , , , , ,4.4, ,1.02, 
3,3,47,62,Ag,132.762,0.008,4.5, ,2.60,12,ns,0.0000000026,0.00000000012, , , , , , , , , , , , , , 
4,4,47,62,Ag,311.378,0.006,1.5, ,5.9,4,ps,0.0000000000059,0.0000000000004, , , , , , , , , , ,1.1, , , 
5,5,47,62,Ag,415.193,0.008,2.5, ,33.4,13,ps,0.0000000000334,0.0000000000013, , , , , , , , , , ,0.85, , , 
6,6,47,62,Ag,420,10,4.5, , , , , , , , , , , , , , , , , , , , 
7,7,47,62,Ag,697.38,0.14,0.5, , , , , , , , , , , , , , , , , , , , 
8,8,47,62,Ag,701.877,0.009,1.5, ,0.27,7,ps,0.00000000000027,0.00000000000007, , , , , , , , , , , , , , 
9,9,47,62,Ag,706,5,0.5, , , , , , , , , , , , , , , , , , , , 
10,10,47,62,Ag,706.971,0.01,2.5, , , , , , , , , , , , , , , , , , , , 
11,11,47,62,Ag,724.381,0.006,1.5, ,3.2,8,ns,0.0000000032,0.0000000008, , , , , , , , , , , , , , 
12,12,47,62,Ag,735.32,0.007,2.5, , , , , , , , , , , , , , , , , , , , 
13,13,47,62,Ag,773.42,0.12,5.5, , , , , , , , , , , , , , , , , , , , 
14,14,47,62,Ag,789,11,0.5, , , , , , , , , , , , , , , , , , , , 
15,15,47,62,Ag,811.74,0.19,0.5, , , , , , , , , , , , , , , , , , , , 
16,16,47,62,Ag,862.633,0.009,2.5, ,1.39,19,ps,0.00000000000139,0.00000000000019, , , , , , , , , , , , , , 
17,17,47,62,Ag,869.426,0.006,2.5, , , , , , , , , , , , , , , , , , , , 
18,18,47,62,Ag,890,10,4.5, , , , , , , , , , , , , , , , , , , , 
19,19,47,62,Ag,910.902,0.011,3.5, , , , , , , , , , , , , , , , , , , , 
20,20,47,62,Ag,912.205,0.025,3.5, , , , , , , , , , , , , , , , , , , , 
21,21,47,62,Ag,929,8,4.5, , , , , , , , , , , , , , , , , , , , 
22,22,47,62,Ag,930.75,0.1,6.5, , , , , , , , , , , , , , , , , , , , 
23,23,47,62,Ag,1070, ,0.5, , , , , , , , , , , , , , , , , , , , 
24,24,47,62,Ag,1090.7,0.5,4.5, ,1.9,3,ps,0.0000000000019,0.0000000000003, , , , , , , , , , , , , , 
25,25,47,62,Ag,1099.11,0.04,3.5, , , , , , , , , , , , , , , , , , , , 
26,26,47,62,Ag,1200,10,4.5, , , , , , , , , , , , , , , , , , , , 
27,27,47,62,Ag,1260,2,0.5, , , , , , , , , , , , , , , , , , , , 
28,28,47,62,Ag,1310,10,1.5, , , , , , , , , , , , , , , , , , , , 
29,29,47,62,Ag,1324.2,0.7,1.5, ,0.31,9,ps,0.00000000000031,0.00000000000009, , , , , , , , , , , , , , 
30,30,47,62,Ag,1430,10,0.5, , , , , , , , , , , , , , , , , , , , 
31,31,47,62,Ag,1490, ,2.5, , , , , , , , , , , , , , , , , , , , 
32,32,47,62,Ag,1500,5,1.5, , , , , , , , , , , , , , , , , , , , 
33,33,47,62,Ag,1524,5,2.5, , , , , , , , , , , , , , , , , , , , 
34,34,47,62,Ag,1599,5,0.5, , , , , , , , , , , , , , , , , , , , 
35,35,47,62,Ag,1613,5,0.5, , , , , , , , , , , , , , , , , , , , 
36,36,47,62,Ag,1658,10,0.5, , , , , , , , , , , , , , , , , , , , 
37,37,47,62,Ag,1675,10,0.5, , , , , , , , , , , , , , , , , , , , 
38,38,47,62,Ag,1702.9,0.3,7.5, , , , , , , , , , , , , , , , , , , , 
39,39,47,62,Ag,1736,5,2.5, , , , , , , , , , , , , , , , , , , , 
40,40,47,62,Ag,1792,5,4.5, , , , , , , , , , , , , , , , , , , , 
41,41,47,62,Ag,1815,5,2.5, , , , , , , , , , , , , , , , , , , , 
42,42,47,62,Ag,1839,5,2.5, , , , , , , , , , , , , , , , , , , , 
43,43,47,62,Ag,1841,10,2.5, , , , , , , , , , , , , , , , , , , , 
44,44,47,62,Ag,1860,10,4.5, , , , , , , , , , , , , , , , , , , , 
45,45,47,62,Ag,1891,5,4.5, , , , , , , , , , , , , , , , , , , , 
46,46,47,62,Ag,1894.28,0.14,8.5, ,0.57,5,ps,0.00000000000057,0.00000000000005, , , , , , , , , , , , , , 
47,47,47,62,Ag,1950,5,4.5, , , , , , , , , , , , , , , , , , , , 
48,48,47,62,Ag,1970,10,2.5, , , , , , , , , , , , , , , , , , , , 
49,49,47,62,Ag,1993,5,2.5, , , , , , , , , , , , , , , , , , , , 
50,50,47,62,Ag,2043,11,4.5, , , , , , , , , , , , , , , , , , , , 
51,51,47,62,Ag,2062,10,4.5, , , , , , , , , , , , , , , , , , , , 
52,52,47,62,Ag,2093,10,2.5, , , , , , , , , , , , , , , , , , , , 
53,53,47,62,Ag,2124,10,3.5, , , , , , , , , , , , , , , , , , , , 
54,54,47,62,Ag,2185,10,4.5, , , , , , , , , , , , , , , , , , , , 
55,55,47,62,Ag,2199,10,4.5, , , , , , , , , , , , , , , , , , , , 
56,56,47,62,Ag,2206.46,0.22,7.5, , , , , , , , , , , , , , , , , , , , 
57,57,47,62,Ag,2222,10,4.5, , , , , , , , , , , , , , , , , , , , 
58,58,47,62,Ag,2230,5,3.5, , , , , , , , , , , , , , , , , , , , 
59,59,47,62,Ag,2256,10,5.5, , , , , , , , , , , , , , , , , , , , 
60,60,47,62,Ag,2267,10,3.5, , , , , , , , , , , , , , , , , , , , 
61,61,47,62,Ag,2314,10,2.5, , , , , , , , , , , , , , , , , , , , 
62,62,47,62,Ag,2320,5,0.5, , , , , , , , , , , , , , , , , , , , 
63,63,47,62,Ag,2364,10,5.5, , , , , , , , , , , , , , , , , , , , 
64,64,47,62,Ag,2419.96,0.25,8.5, , , , , , , , , , , , , , , , , , , , 
65,65,47,62,Ag,2434,10,4.5, , , , , , , , , , , , , , , , , , , , 
66,66,47,62,Ag,2466,10,4.5, , , , , , , , , , , , , , , , , , , , 
67,67,47,62,Ag,2471,6,0.5, , , , , , , , , , , , , , , , , , , , 
68,68,47,62,Ag,2479.9,0.4,8.5, , , , , , , , , , , , , , , , , , , , 
69,69,47,62,Ag,2537,10,5.5, , , , , , , , , , , , , , , , , , , , 
70,70,47,62,Ag,2567.39,0.18,9.5, ,0.39,4,ps,0.00000000000039,0.00000000000004, , , , , , , , , , , , , , 
71,71,47,62,Ag,2568.4,0.3,9.5, , , , , , , , , , , , , , , , , , , , 
72,72,47,62,Ag,2569,10,5.5, , , , , , , , , , , , , , , , , , , , 
73,73,47,62,Ag,2614,10,0.5, , , , , , , , , , , , , , , , , , , , 
74,74,47,62,Ag,2659,10,0.5, , , , , , , , , , , , , , , , , , , , 
75,75,47,62,Ag,2660.5,0.4,9.5, , , , , , , , , , , , , , , , , , , , 
76,76,47,62,Ag,2740.6,0.3,10.5, , , , , , , , , , , , , , , , , , , , 
77,77,47,62,Ag,2840.79,0.16,10.5, ,0.82,8,ps,0.00000000000082,0.00000000000008, , , , , , , , , , , , , , 
78,78,47,62,Ag,2940.2,0.4,10.5, , , , , , , , , , , , , , , , , , , , 
79,79,47,62,Ag,2988.7,0.3,11.5, , , , , , , , , , , , , , , , , , , , 
80,80,47,62,Ag,3090.19,0.19,11.5, ,1.53,16,ps,0.00000000000153,0.00000000000016, , , , , , , , , , , , , , 
81,81,47,62,Ag,3203.5,0.5,11.5, , , , , , , , , , , , , , , , , , , , 
82,82,47,62,Ag,3275,10,2.5, , , , , , , , , , , , , , , , , , , , 
83,83,47,62,Ag,3276.39,0.22,12.5, ,1.87,21,ps,0.00000000000187,0.00000000000021, , , , , , , , , , , , , , 
84,84,47,62,Ag,3316.7,0.4,12.5, , , , , , , , , , , , , , , , , , , , 
85,85,47,62,Ag,3575.19,0.24,13.5, ,0.71,8,ps,0.00000000000071,0.00000000000008, , , , , , , , , , , , , , 
86,86,47,62,Ag,3968.7,0.3,14.5, ,0.37,4,ps,0.00000000000037,0.00000000000004, , , , , , , , , , , , , , 
