,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,48,61,Cd,0, ,2.5, ,461.9,4,d,39908160,34560,EC,100, , , , , , , , ,-0.8278461, ,0.604, 
2,2,48,61,Cd,59.6,0.07,0.5, ,11.8,16,us,0.0000118,0.0000016,IT,100, , , , , , , , , , , , 
3,3,48,61,Cd,203.4,0.05,3.5, ,36,+6-1,ps,0.000000000036, , , , , , , , , , , , , , , 
4,4,48,61,Cd,347.51,0.06,2.5, , , , , , , , , , , , , , , , , , , , 
5,5,48,61,Cd,426.42,0.06,2.5, , , , , , , , , , , , , , , , , , , , 
6,6,48,61,Cd,463.1,0.11,5.5, ,10.6,4,us,0.0000106,0.0000004,IT,100, , , , , , , , ,-1.096, ,-0.92, 
7,7,48,61,Cd,623.88,0.07,3.5, ,41,+25-15,fs,0.000000000000041, , , , , , , , , , , , , , , 
8,8,48,61,Cd,673.41,0.08,1.5, ,55,+15-12,fs,0.000000000000055, , , , , , , , , , , , , , , 
9,9,48,61,Cd,721.67,0.07,2.5, ,76,+21-13,fs,0.000000000000076, , , , , , , , , , , , , , , 
10,10,48,61,Cd,818,5,2.5, , , , , , , , , , , , , , , , , , , , 
11,11,48,61,Cd,822.04,0.07,4.5, ,90,+49-28,fs,0.00000000000009, , , , , , , , , , , , , , , 
12,12,48,61,Cd,891.25,0.07,2.5, ,36,+8-6,fs,0.000000000000036, , , , , , , , , , , , , , , 
13,13,48,61,Cd,929.38,0.08,2.5, , , , , , , , , , , , , , , , , , , , 
14,14,48,61,Cd,985.51,0.15,7.5, ,10.0,4,ps,0.00000000001,0.0000000000004, , , , , , , , , , , , , , 
15,15,48,61,Cd,997.5,0.08,3.5, ,64,+20-12,fs,0.000000000000064, , , , , , , , , , , , , , , 
16,16,48,61,Cd,1066.09,0.11,5.5, , , , , , , , , , , , , , , , , , , , 
17,17,48,61,Cd,1105,5,2.5, , , , , , , , , , , , , , , , , , , , 
18,18,48,61,Cd,1105.83,0.09,4.5, ,73,+38-24,fs,0.000000000000073, , , , , , , , , , , , , , , 
19,19,48,61,Cd,1121.21,0.08,2.5, , , , , , , , , , , , , , , , , , , , 
20,20,48,61,Cd,1132.91,0.21,3.5, ,61,+32-18,fs,0.000000000000061, , , , , , , , , , , , , , , 
21,21,48,61,Cd,1173.48,0.14,2.5, , , , , , , , , , , , , , , , , , , , 
22,22,48,61,Cd,1219.01,0.18,0.5, , , , , , , , , , , , , , , , , , , , 
23,23,48,61,Cd,1318.1,0.12,2.5, , , , , , , , , , , , , , , , , , , , 
24,24,48,61,Cd,1352.15,0.07,3.5, , , , , , , , , , , , , , , , , , , , 
25,25,48,61,Cd,1388.56,0.13,4.5, , , , , , , , , , , , , , , , , , , , 
26,26,48,61,Cd,1417.96,0.18,0.5, , , , , , , , , , , , , , , , , , , , 
27,27,48,61,Cd,1425.2,0.3,6.5, , , , , , , , , , , , , , , , , , , , 
28,28,48,61,Cd,1430.1,0.4,4.5, , , , , , , , , , , , , , , , , , , , 
29,29,48,61,Cd,1458.75,0.15,0.5, , , , , , , , , , , , , , , , , , , , 
30,30,48,61,Cd,1475.69,0.09,4.5, , , , , , , , , , , , , , , , , , , , 
31,31,48,61,Cd,1479.77,0.2,0.5, , , , , , , , , , , , , , , , , , , , 
32,32,48,61,Cd,1539.37,0.16,4.5, , , , , , , , , , , , , , , , , , , , 
33,33,48,61,Cd,1563.1,0.3,5.5, , , , , , , , , , , , , , , , , , , , 
34,34,48,61,Cd,1580.71,0.18,0.5, , , , , , , , , , , , , , , , , , , , 
35,35,48,61,Cd,1593.3,0.3,0.5, , , , , , , , , , , , , , , , , , , , 
36,36,48,61,Cd,1622.46,0.08,3.5, , , , , , , , , , , , , , , , , , , , 
37,37,48,61,Cd,1633.55,0.23,0.5, , , , , , , , , , , , , , , , , , , , 
38,38,48,61,Cd,1729.99,0.19,0.5, , , , , , , , , , , , , , , , , , , , 
39,39,48,61,Cd,1772.79,0.1,4.5, , , , , , , , , , , , , , , , , , , , 
40,40,48,61,Cd,1787.36,0.1,0.5, , , , , , , , , , , , , , , , , , , , 
41,41,48,61,Cd,1813.42,0.12,0.5, , , , , , , , , , , , , , , , , , , , 
42,42,48,61,Cd,1821.5,0.17,9.5, ,0.59,14,ps,0.00000000000059,0.00000000000014, , , , , , , , , , , , , , 
