,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,49,68,In,0, ,4.5, ,43.2,3,m,2592,18,B-,100, , , , , , , , ,5.519, ,0.829, 
2,2,49,68,In,315.303,0.011,0.5, ,116.2,3,m,6972,18,B-,52.9,1.5,IT,47.1,1.5, , , , ,-0.25174, , , 
3,3,49,68,In,588.653,0.015,1.5, ,0.192,16,ns,0.000000000192,0.000000000016, , , , , , , , , , ,0.84, , , 
4,4,49,68,In,659.765,0.013,1.5, ,53.6,7,ns,0.0000000536,0.0000000007, , , , , , , , , , ,0.938, ,-0.59, 
5,5,49,68,In,748.07,0.03,3.5, , , , , , , , , , , , , , , , , , , , 
6,6,49,68,In,749.488,0.014,0.5, ,4.73,12,ns,0.00000000473,0.00000000012, , , , , , , , , , , , , , 
7,7,49,68,In,880.72,0.013,2.5, , , , , , , , , , , , , , , , , , , , 
8,8,49,68,In,1028.04,0.03,2.5, , , , , , , , , , , , , , , , , , , , 
9,9,49,68,In,1030,13,2.5, , , , , , , , , , , , , , , , , , , , 
10,10,49,68,In,1051.709,0.019,2.5, , , , , , , , , , , , , , , , , , , , 
11,11,49,68,In,1065.984,0.019,5.5, , , , , , , , , , , , , , , , , , , , 
12,12,49,68,In,1209.03,0.04,5.5, , , , , , , , , , , , , , , , , , , , 
13,13,49,68,In,1234.606,0.021,6.5, , , , , , , , , , , , , , , , , , , , 
14,14,49,68,In,1360,15,2.5, , , , , , , , , , , , , , , , , , , , 
15,15,49,68,In,1365.524,0.022,4.5, , , , , , , , , , , , , , , , , , , , 
16,16,49,68,In,1376.28,0.06,1.5, , , , , , , , , , , , , , , , , , , , 
17,17,49,68,In,1432.921,0.017,4.5, , , , , , , , , , , , , , , , , , , , 
18,18,49,68,In,1439.38,0.08,0.5, , , , , , , , , , , , , , , , , , , , 
19,19,49,68,In,1468.67,0.13,4.5, , , , , , , , , , , , , , , , , , , , 
20,20,49,68,In,1554.48,0.19,1.5, , , , , , , , , , , , , , , , , , , , 
21,21,49,68,In,1609.39,0.03,3.5, , , , , , , , , , , , , , , , , , , , 
22,22,49,68,In,1612.1,0.04,2.5, , , , , , , , , , , , , , , , , , , , 
23,23,49,68,In,1653,15,2.5, , , , , , , , , , , , , , , , , , , , 
24,24,49,68,In,1712.547,0.024,1.5, , , , , , , , , , , , , , , , , , , , 
25,25,49,68,In,1784.97,0.05,1.5, , , , , , , , , , , , , , , , , , , , 
26,26,49,68,In,1855.63,0.1,4.5, , , , , , , , , , , , , , , , , , , , 
27,27,49,68,In,1891.929,0.019,0.5, ,0.42,6,ns,0.00000000042,0.00000000006, , , , , , , , , , , , , , 
28,28,49,68,In,1898,1,7.5, , , , , , , , , , , , , , , , , , , , 
29,29,49,68,In,1957.37,0.09,4.5, , , , , , , , , , , , , , , , , , , , 
30,30,49,68,In,1997.329,0.017,5.5, , , , , , , , , , , , , , , , , , , , 
31,31,49,68,In,1997.368,0.019,1.5, , , , , , , , , , , , , , , , , , , , 
32,32,49,68,In,2022.23,0.03,1.5, , , , , , , , , , , , , , , , , , , , 
33,33,49,68,In,2064.16,0.04,1.5, , , , , , , , , , , , , , , , , , , , 
34,34,49,68,In,2095.035,0.025,6.5, , , , , , , , , , , , , , , , , , , , 
35,35,49,68,In,2096.42,0.03,5.5, , , , , , , , , , , , , , , , , , , , 
36,36,49,68,In,2109.83,0.04,1.5, , , , , , , , , , , , , , , , , , , , 
37,37,49,68,In,2112.98,0.15,2.5, , , , , , , , , , , , , , , , , , , , 
38,38,49,68,In,2124,0.9,7.5, , , , , , , , , , , , , , , , , , , , 
39,39,49,68,In,2171.74,0.03,1.5, , , , , , , , , , , , , , , , , , , , 
40,40,49,68,In,2223,15,2.5, , , , , , , , , , , , , , , , , , , , 
41,41,49,68,In,2255,15,2.5, , , , , , , , , , , , , , , , , , , , 
42,42,49,68,In,2261.4,1.1,8.5, , , , , , , , , , , , , , , , , , , , 
43,43,49,68,In,2263.4,0.8,8.5, , , , , , , , , , , , , , , , , , , , 
44,44,49,68,In,2308,15,4.5, , , , , , , , , , , , , , , , , , , , 
45,45,49,68,In,2311.722,0.02,1.5, , , , , , , , , , , , , , , , , , , , 
46,46,49,68,In,2322.76,0.06,5.5, , , , , , , , , , , , , , , , , , , , 
47,47,49,68,In,2327.79,0.05,0.5, , , , , , , , , , , , , , , , , , , , 
48,48,49,68,In,2345.5,0.05,1.5, , , , , , , , , , , , , , , , , , , , 
49,49,49,68,In,2372,15,0.5, , , , , , , , , , , , , , , , , , , , 
50,50,49,68,In,2400.38,0.09,4.5, , , , , , , , , , , , , , , , , , , , 
51,51,49,68,In,2405.29,0.06,6.5, , , , , , , , , , , , , , , , , , , , 
52,52,49,68,In,2414.23,0.2,0.5, , , , , , , , , , , , , , , , , , , , 
53,53,49,68,In,2417.44,0.09,4.5, , , , , , , , , , , , , , , , , , , , 
54,54,49,68,In,2429.8,1.1,9.5, , , , , , , , , , , , , , , , , , , , 
55,55,49,68,In,2440.05,0.15,6.5, , , , , , , , , , , , , , , , , , , , 
56,56,49,68,In,2446.4,0.8,8.5, , , , , , , , , , , , , , , , , , , , 
57,57,49,68,In,2455.97,0.1,0.5, , , , , , , , , , , , , , , , , , , , 
58,58,49,68,In,2462.5,0.3,6.5, , , , , , , , , , , , , , , , , , , , 
59,59,49,68,In,2476.21,0.17,0.5, , , , , , , , , , , , , , , , , , , , 
60,60,49,68,In,2525,15,0.5, , , , , , , , , , , , , , , , , , , , 
61,61,49,68,In,2540.86,0.12,6.5, , , , , , , , , , , , , , , , , , , , 
62,62,49,68,In,2560,15,2.5, , , , , , , , , , , , , , , , , , , , 
