,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,50,67,Sn,0, ,0.5, ,STABLE, , , , , , , , , , , , , , ,-1.00104, , , 
2,2,50,67,Sn,158.562,0.012,1.5, ,0.279,9,ns,0.000000000279,0.000000000009, , , , , , , , , , ,0.66, , , 
3,3,50,67,Sn,314.58,0.04,5.5, ,14.00,5,d,1209600,4320,IT,100, , , , , , , , ,-1.39, ,-0.42, 
4,4,50,67,Sn,360,10,0.5, , , , , , , , , , , , , , , , , , , , 
5,5,50,67,Sn,678.5, ,0.5, , , , , , , , , , , , , , , , , , , , 
6,6,50,67,Sn,711.54,0.1,3.5, ,980,30,ps,0.00000000098,0.00000000003, , , , , , , , , , , , , , 
7,7,50,67,Sn,1004.53,0.14,1.5, ,1.32,6,ps,0.00000000000132,0.00000000000006, , , , , , , , , , , , , , 
8,8,50,67,Sn,1019.92,0.06,2.5, ,0.46,4,ps,0.00000000000046,0.00000000000004, , , , , , , , , , , , , , 
9,9,50,67,Sn,1179.7,0.5,2.5,LT,0.4, ,ps,0.0000000000004, , , , , , , , , , , , , , , 
10,10,50,67,Sn,1304.3,0.5,3.5, , , , , , , , , , , , , , , , , , , , 
11,11,50,67,Sn,1340, ,0.5, , , , , , , , , , , , , , , , , , , , 
12,12,50,67,Sn,1446.2,0.3,2.5, ,0.42,3,ps,0.00000000000042,0.00000000000003, , , , , , , , , , , , , , 
13,13,50,67,Sn,1468.6,0.3,2.5, , , , , , , , , , , , , , , , , , , , 
14,14,50,67,Sn,1496.8,1,1.5, , , , , , , , , , , , , , , , , , , , 
15,15,50,67,Sn,1510.1,0.3,0.5, ,0.0025,3,eV,0.00000000000018249508602855428,0.0000000000015207923835712857, , , , , , , , , , , , , , 
16,16,50,67,Sn,1530, ,2.5, , , , , , , , , , , , , , , , , , , , 
17,17,50,67,Sn,1578.25,0.24,1.5, , , , , , , , , , , , , , , , , , , , 
18,18,50,67,Sn,1588, ,5.5, , , , , , , , , , , , , , , , , , , , 
19,19,50,67,Sn,1589,10,2.5, , , , , , , , , , , , , , , , , , , , 
20,20,50,67,Sn,1593.1,0.3,7.5, , , , , , , , , , , , , , , , , , , , 
21,21,50,67,Sn,1625.4,0.3,6.5, , , , , , , , , , , , , , , , , , , , 
22,22,50,67,Sn,1628,5,4.5, , , , , , , , , , , , , , , , , , , , 
23,23,50,67,Sn,1668.2,1.5,1.5, , , , , , , , , , , , , , , , , , , , 
24,24,50,67,Sn,1710, ,2.5, , , , , , , , , , , , , , , , , , , , 
25,25,50,67,Sn,1770, ,2.5, , , , , , , , , , , , , , , , , , , , 
26,26,50,67,Sn,1810,10,0.5, , , , , , , , , , , , , , , , , , , , 
