,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,52,73,Te,0, ,0.5, ,STABLE, , , , , , , , , , , , , , ,-0.8885051, , , 
2,2,52,73,Te,35.4925,0.0005,1.5, ,1.482,8,ns,0.000000001482,0.000000000008, , , , , , , , , , ,0.605, ,-0.31, 
3,3,52,73,Te,144.775,0.008,5.5, ,57.40,15,d,4959360,12960,IT,100, , , , , , , , ,-0.985, ,-0.06, 
4,4,52,73,Te,321.09,0.008,4.5, ,0.673,13,ns,0.000000000673,0.000000000013, , , , , , , , , , ,-0.92, ,0.12, 
5,5,52,73,Te,402.09,0.04,3.5, , , , , , , , , , , , , , , , , , , , 
6,6,52,73,Te,443.562,0.005,1.5, ,19.1,6,ps,0.0000000000191,0.0000000000006, , , , , , , , , , ,0.65, , , 
7,7,52,73,Te,463.3668,0.0023,2.5, ,13.2,5,ps,0.0000000000132,0.0000000000005, , , , , , , , , , ,0.5, , , 
8,8,52,73,Te,525.228,0.007,3.5,LE,160, ,ps,0.00000000016, , , , , , , , , , , ,0, , , 
9,9,52,73,Te,537.851,0.016,0.5, , , , , , , , , , , , , , , , , , , , 
10,10,52,73,Te,636.0908,0.002,3.5, ,40,20,ps,0.00000000004,0.00000000002, , , , , , , , , , , , , , 
11,11,52,73,Te,642.206,0.003,3.5,LE,70, ,ps,0.00000000007, , , , , , , , , , , , , , , 
12,12,52,73,Te,652.9,0.05,2.5, , , , , , , , , , , , , , , , , , , , 
13,13,52,73,Te,671.4448,0.0024,2.5, ,1.26,6,ps,0.00000000000126,0.00000000000006, , , , , , , , , , ,-0.6, , , 
14,14,52,73,Te,729.229,0.012,1.5, , , , , , , , , , , , , , , , , , , , 
15,15,52,73,Te,786.577,0.023,3.5, , , , , , , , , , , , , , , , , , , , 
16,16,52,73,Te,804.6,0.4,7.5, , , , , , , , , , , , , , , , , , , , 
17,17,52,73,Te,840.91,0.1,7.5, , , , , , , , , , , , , , , , , , , , 
18,18,52,73,Te,1017.73,0.03,3.5, , , , , , , , , , , , , , , , , , , , 
19,19,52,73,Te,1029.4,1,4.5, , , , , , , , , , , , , , , , , , , , 
20,20,52,73,Te,1053.85,0.03,2.5, , , , , , , , , , , , , , , , , , , , 
21,21,52,73,Te,1066.31,0.03,2.5, , , , , , , , , , , , , , , , , , , , 
22,22,52,73,Te,1071.868,0.017,2.5, , , , , , , , , , , , , , , , , , , , 
23,23,52,73,Te,1091.4,0.09,2.5, , , , , , , , , , , , , , , , , , , , 
24,24,52,73,Te,1133.33,0.023,2.5, , , , , , , , , , , , , , , , , , , , 
25,25,52,73,Te,1148.7,0.6,4.5, , , , , , , , , , , , , , , , , , , , 
26,26,52,73,Te,1191.73,0.14,5.5, , , , , , , , , , , , , , , , , , , , 
27,27,52,73,Te,1209.61,0.03,4.5, , , , , , , , , , , , , , , , , , , , 
28,28,52,73,Te,1242.82,0.025,2.5, , , , , , , , , , , , , , , , , , , , 
29,29,52,73,Te,1245.62,0.05,0.5, , , , , , , , , , , , , , , , , , , , 
30,30,52,73,Te,1265.17,0.04,2.5, , , , , , , , , , , , , , , , , , , , 
31,31,52,73,Te,1310.51,0.16,7.5, , , , , , , , , , , , , , , , , , , , 
32,32,52,73,Te,1314.6,1,4.5, , , , , , , , , , , , , , , , , , , , 
33,33,52,73,Te,1319.538,0.021,1.5, , , , , , , , , , , , , , , , , , , , 
34,34,52,73,Te,1322.33,0.04,3.5, , , , , , , , , , , , , , , , , , , , 
35,35,52,73,Te,1358.19,0.07,4.5, , , , , , , , , , , , , , , , , , , , 
36,36,52,73,Te,1435.91,0.04,2.5, , , , , , , , , , , , , , , , , , , , 
37,37,52,73,Te,1500.66,0.17,9.5, , , , , , , , , , , , , , , , , , , , 
38,38,52,73,Te,1520.87,0.09,0.5, , , , , , , , , , , , , , , , , , , , 
39,39,52,73,Te,1529.514,0.022,2.5, , , , , , , , , , , , , , , , , , , , 
40,40,52,73,Te,1570.16,0.21,7.5, , , , , , , , , , , , , , , , , , , , 
41,41,52,73,Te,1580.85,0.11,0.5, , , , , , , , , , , , , , , , , , , , 
42,42,52,73,Te,1587.37,0.04,0.5, , , , , , , , , , , , , , , , , , , , 
43,43,52,73,Te,1652.64,0.03,2.5, , , , , , , , , , , , , , , , , , , , 
44,44,52,73,Te,1670.25,0.03,2.5, , , , , , , , , , , , , , , , , , , , 
45,45,52,73,Te,1699.88,0.04,1.5, , , , , , , , , , , , , , , , , , , , 
46,46,52,73,Te,1713.54,0.03,0.5, , , , , , , , , , , , , , , , , , , , 
47,47,52,73,Te,1732.5,1,4.5, , , , , , , , , , , , , , , , , , , , 
48,48,52,73,Te,1759.83,0.03,2.5, , , , , , , , , , , , , , , , , , , , 
49,49,52,73,Te,1766.36,0.05,3.5, , , , , , , , , , , , , , , , , , , , 
50,50,52,73,Te,1770.68,0.05,0.5, , , , , , , , , , , , , , , , , , , , 
51,51,52,73,Te,1775.04,0.06,2.5, , , , , , , , , , , , , , , , , , , , 
52,52,52,73,Te,1813.09,0.07,2.5, , , , , , , , , , , , , , , , , , , , 
53,53,52,73,Te,1820.2,0.7,3.5, , , , , , , , , , , , , , , , , , , , 
54,54,52,73,Te,1824,3,0.5, , , , , , , , , , , , , , , , , , , , 
55,55,52,73,Te,1832.46,0.04,4.5, , , , , , , , , , , , , , , , , , , , 
56,56,52,73,Te,1851.37,0.22,10.5, , , , , , , , , , , , , , , , , , , , 
57,57,52,73,Te,1851.37, ,0.5, , , , , , , , , , , , , , , , , , , , 
58,58,52,73,Te,1865.19,0.04,2.5, , , , , , , , , , , , , , , , , , , , 
59,59,52,73,Te,1888,3,0.5, , , , , , , , , , , , , , , , , , , , 
60,60,52,73,Te,1899.21,0.05,3.5, , , , , , , , , , , , , , , , , , , , 
61,61,52,73,Te,1905.17,0.03,2.5, , , , , , , , , , , , , , , , , , , , 
62,62,52,73,Te,1911.17,0.05,3.5, , , , , , , , , , , , , , , , , , , , 
63,63,52,73,Te,1918.59,0.04,2.5, , , , , , , , , , , , , , , , , , , , 
64,64,52,73,Te,1932.79,0.08,3.5, , , , , , , , , , , , , , , , , , , , 
