,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,55,76,Cs,0, ,2.5, ,9.689,16,d,837129.6,1382.4,EC,100, , , , , , , , ,3.543, ,-0.575, 
2,2,55,76,Cs,78.73,0.004,3.5, ,9.4,2,ns,0.0000000094,0.0000000002, , , , , , , , , , , , , , 
3,3,55,76,Cs,123.804,0.003,0.5, ,3.75,5,ns,0.00000000375,0.00000000005, , , , , , , , , , , , , , 
4,4,55,76,Cs,133.615,0.004,2.5, ,8.6,3,ns,0.0000000086,0.0000000003, , , , , , , , , , ,1.86, ,0.022, 
5,5,55,76,Cs,216.086,0.004,1.5,LE,0.2, ,ns,0.0000000002, , , , , , , , , , , , , , , 
6,6,55,76,Cs,274, ,0.5, , , , , , , , , , , , , , , , , , , , 
7,7,55,76,Cs,373.242,0.005,1.5,LE,0.25, ,ns,0.00000000025, , , , , , , , , , , , , , , 
8,8,55,76,Cs,496.11,0.06,4.5, , , , , , , , , , , , , , , , , , , , 
9,9,55,76,Cs,585.043,0.01,2.5, , , , , , , , , , , , , , , , , , , , 
10,10,55,76,Cs,596.35,0.05,3.5, , , , , , , , , , , , , , , , , , , , 
11,11,55,76,Cs,616.2,0.3,5.5, , , , , , , , , , , , , , , , , , , , 
12,12,55,76,Cs,620.128,0.006,0.5,LT,0.15, ,ns,0.00000000015, , , , , , , , , , , , , , , 
13,13,55,76,Cs,657.62,0.06,3.5, , , , , , , , , , , , , , , , , , , , 
14,14,55,76,Cs,696.487,0.009,1.5, , , , , , , , , , , , , , , , , , , , 
15,15,55,76,Cs,750, ,0.5, , , , , , , , , , , , , , , , , , , , 
16,16,55,76,Cs,764.13,0.14,2.5, , , , , , , , , , , , , , , , , , , , 
17,17,55,76,Cs,775.28,0.06,5.5, ,10.46,14,ns,0.00000001046,0.00000000014, , , , , , , , , , ,6.3, , , 
18,18,55,76,Cs,919.58,0.04,2.5, , , , , , , , , , , , , , , , , , , , 
19,19,55,76,Cs,1043.99,0.06,3.5, , , , , , , , , , , , , , , , , , , , 
20,20,55,76,Cs,1047.682,0.009,1.5, , , , , , , , , , , , , , , , , , , , 
21,21,55,76,Cs,1147.32,0.19,6.5, , , , , , , , , , , , , , , , , , , , 
22,22,55,76,Cs,1170.67,0.03,1.5, , , , , , , , , , , , , , , , , , , , 
23,23,55,76,Cs,1212, ,0.5, , , , , , , , , , , , , , , , , , , , 
24,24,55,76,Cs,1257.82,0.07,3.5, , , , , , , , , , , , , , , , , , , , 
25,25,55,76,Cs,1288, ,0.5, , , , , , , , , , , , , , , , , , , , 
26,26,55,76,Cs,1309.06,0.18,7.5, , , , , , , , , , , , , , , , , , , , 
27,27,55,76,Cs,1314, ,3.5, , , , , , , , , , , , , , , , , , , , 
28,28,55,76,Cs,1324.1,0.3,7.5, , , , , , , , , , , , , , , , , , , , 
29,29,55,76,Cs,1341.96,0.05,1.5, , , , , , , , , , , , , , , , , , , , 
30,30,55,76,Cs,1355, ,0.5, , , , , , , , , , , , , , , , , , , , 
31,31,55,76,Cs,1383, ,0.5, , , , , , , , , , , , , , , , , , , , 
32,32,55,76,Cs,1404.44,0.18,6.5, , , , , , , , , , , , , , , , , , , , 
33,33,55,76,Cs,1458, ,0.5, , , , , , , , , , , , , , , , , , , , 
34,34,55,76,Cs,1498, ,0.5, , , , , , , , , , , , , , , , , , , , 
35,35,55,76,Cs,1558, ,0.5, , , , , , , , , , , , , , , , , , , , 
36,36,55,76,Cs,1587, ,0.5, , , , , , , , , , , , , , , , , , , , 
37,37,55,76,Cs,1617, ,0.5, , , , , , , , , , , , , , , , , , , , 
38,38,55,76,Cs,1636.1,0.6,7.5, , , , , , , , , , , , , , , , , , , , 
39,39,55,76,Cs,1671, ,3.5, , , , , , , , , , , , , , , , , , , , 
40,40,55,76,Cs,1708, ,0.5, , , , , , , , , , , , , , , , , , , , 
41,41,55,76,Cs,1744, ,0.5, , , , , , , , , , , , , , , , , , , , 
42,42,55,76,Cs,1927.77,0.23,8.5, , , , , , , , , , , , , , , , , , , , 
43,43,55,76,Cs,1948.39,0.18,7.5, , , , , , , , , , , , , , , , , , , , 
44,44,55,76,Cs,1972.69,0.22,9.5, , , , , , , , , , , , , , , , , , , , 
45,45,55,76,Cs,2006.3,0.3,7.5, , , , , , , , , , , , , , , , , , , , 
46,46,55,76,Cs,2021.78,0.22,8.5, , , , , , , , , , , , , , , , , , , , 
47,47,55,76,Cs,2154.6,0.3,9.5, , , , , , , , , , , , , , , , , , , , 
48,48,55,76,Cs,2222.7,0.6,8.5, , , , , , , , , , , , , , , , , , , , 
49,49,55,76,Cs,2343.48,0.23,9.5, , , , , , , , , , , , , , , , , , , , 
50,50,55,76,Cs,2553.5,0.5,8.5, , , , , , , , , , , , , , , , , , , , 
51,51,55,76,Cs,2572.4,0.4,9.5, , , , , , , , , , , , , , , , , , , , 
52,52,55,76,Cs,2659.85,0.22,10.5, , , , , , , , , , , , , , , , , , , , 
53,53,55,76,Cs,2675.3,0.3,10.5, , , , , , , , , , , , , , , , , , , , 
54,54,55,76,Cs,2685.4,0.5,9.5, , , , , , , , , , , , , , , , , , , , 
55,55,55,76,Cs,2733.5,0.3,10.5, , , , , , , , , , , , , , , , , , , , 
56,56,55,76,Cs,2779.4,0.4,10.5, , , , , , , , , , , , , , , , , , , , 
57,57,55,76,Cs,2815.98,0.25,11.5, , , , , , , , , , , , , , , , , , , , 
58,58,55,76,Cs,2834,0.3,10.5, , , , , , , , , , , , , , , , , , , , 
59,59,55,76,Cs,2874.1,0.3,11.5, , , , , , , , , , , , , , , , , , , , 
60,60,55,76,Cs,3032.6,0.4,11.5, , , , , , , , , , , , , , , , , , , , 
61,61,55,76,Cs,3041.5,0.4,12.5, , , , , , , , , , , , , , , , , , , , 
62,62,55,76,Cs,3057.3,0.4,11.5, , , , , , , , , , , , , , , , , , , , 
63,63,55,76,Cs,3063.4,0.4,11.5, , , , , , , , , , , , , , , , , , , , 
64,64,55,76,Cs,3162.8,0.3,12.5, , , , , , , , , , , , , , , , , , , , 
65,65,55,76,Cs,3278.7,0.4,11.5, , , , , , , , , , , , , , , , , , , , 
66,66,55,76,Cs,3413.6,0.4,12.5, , , , , , , , , , , , , , , , , , , , 
67,67,55,76,Cs,3424.6,0.4,12.5, , , , , , , , , , , , , , , , , , , , 
68,68,55,76,Cs,3464.4,0.3,12.5, , , , , , , , , , , , , , , , , , , , 
69,69,55,76,Cs,3520.9,0.4,12.5, , , , , , , , , , , , , , , , , , , , 
70,70,55,76,Cs,3591.8,0.6,12.5, , , , , , , , , , , , , , , , , , , , 
71,71,55,76,Cs,3620,0.4,13.5, , , , , , , , , , , , , , , , , , , , 
72,72,55,76,Cs,3667,0.4,13.5, , , , , , , , , , , , , , , , , , , , 
73,73,55,76,Cs,3722.2,0.4,13.5, , , , , , , , , , , , , , , , , , , , 
74,74,55,76,Cs,3724.5,0.3,13.5, , , , , , , , , , , , , , , , , , , , 
75,75,55,76,Cs,3856,0.4,14.5, , , , , , , , , , , , , , , , , , , , 
76,76,55,76,Cs,3867.6,0.4,14.5, , , , , , , , , , , , , , , , , , , , 
77,77,55,76,Cs,3870.9,0.4,13.5, , , , , , , , , , , , , , , , , , , , 
78,78,55,76,Cs,3971.4,0.8,13.5, , , , , , , , , , , , , , , , , , , , 
79,79,55,76,Cs,4010.8,0.4,14.5, , , , , , , , , , , , , , , , , , , , 
80,80,55,76,Cs,4043.2,0.5,13.5, , , , , , , , , , , , , , , , , , , , 
81,81,55,76,Cs,4143.8,0.5,14.5, , , , , , , , , , , , , , , , , , , , 
82,82,55,76,Cs,4290.6,0.7,14.5, , , , , , , , , , , , , , , , , , , , 
83,83,55,76,Cs,4347.2,0.6,14.5, , , , , , , , , , , , , , , , , , , , 
84,84,55,76,Cs,4386.3,0.4,15.5, , , , , , , , , , , , , , , , , , , , 
85,85,55,76,Cs,4623,0.7,15.5, , , , , , , , , , , , , , , , , , , , 
86,86,55,76,Cs,4641.6,0.5,15.5, , , , , , , , , , , , , , , , , , , , 
87,87,55,76,Cs,4652.7,0.5,15.5, , , , , , , , , , , , , , , , , , , , 
88,88,55,76,Cs,4716.7,0.6,15.5, , , , , , , , , , , , , , , , , , , , 
89,89,55,76,Cs,4733.7,0.4,16.5, , , , , , , , , , , , , , , , , , , , 
90,90,55,76,Cs,4856.2,0.5,16.5, , , , , , , , , , , , , , , , , , , , 
91,91,55,76,Cs,4904.2,0.5,16.5, , , , , , , , , , , , , , , , , , , , 
