,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,61,88,Pm,0, ,3.5, ,53.08,5,h,191088,180,B-,100, , , , , , , , ,3.3, , , 
2,2,61,88,Pm,114.312,0.005,2.5, ,2.53,3,ns,0.00000000253,0.00000000003, , , , , , , , , , ,2.13, , , 
3,3,61,88,Pm,188.631,0.006,1.5, ,3.27,5,ns,0.00000000327,0.00000000005, , , , , , , , , , ,1.09, , , 
4,4,61,88,Pm,211.307,0.005,2.5, ,80,15,ps,0.00000000008,0.000000000015, , , , , , , , , , ,2.2, , , 
5,5,61,88,Pm,240.214,0.007,5.5, ,35,3,us,0.000035,0.000003, , , , , , , , , , , , , , 
6,6,61,88,Pm,270.169,0.005,3.5, ,2.59,2,ns,0.00000000259,0.00000000002, , , , , , , , , , ,2.19, , , 
7,7,61,88,Pm,288.207,0.008,4.5, , , , , , , , , , , , , , , , , , , , 
8,8,61,88,Pm,360.045,0.009,3.5, , , , , , , , , , , , , , , , , , , , 
9,9,61,88,Pm,387.558,0.01,0.5, ,0.6,1,ns,0.0000000006,0.0000000001, , , , , , , , , , , , , , 
10,10,61,88,Pm,396.774,0.007,2.5, , , , , , , , , , , , , , , , , , , , 
11,11,61,88,Pm,415.449,0.009,1.5, , , , , , , , , , , , , , , , , , , , 
12,12,61,88,Pm,425.275,0.007,3.5, , , , , , , , , , , , , , , , , , , , 
13,13,61,88,Pm,462.194,0.01,1.5, , , , , , , , , , , , , , , , , , , , 
14,14,61,88,Pm,497.59,0.12,5.5, , , , , , , , , , , , , , , , , , , , 
15,15,61,88,Pm,510.08,0.22,7.5,LT,3, ,ns,0.000000003, , , , , , , , , , , , , , , 
16,16,61,88,Pm,515.645,0.009,4.5, , , , , , , , , , , , , , , , , , , , 
17,17,61,88,Pm,537.862,0.006,2.5,LE,50, ,ps,0.00000000005, , , , , , , , , , , , , , , 
18,18,61,88,Pm,547.132,0.013,3.5, , , , , , , , , , , , , , , , , , , , 
19,19,61,88,Pm,552,3,5.5, , , , , , , , , , , , , , , , , , , , 
20,20,61,88,Pm,558.3,0.04,4.5, , , , , , , , , , , , , , , , , , , , 
21,21,61,88,Pm,636.5,2.8,0.5, , , , , , , , , , , , , , , , , , , , 
22,22,61,88,Pm,651.02,0.019,2.5, , , , , , , , , , , , , , , , , , , , 
23,23,61,88,Pm,654.842,0.005,3.5,LE,0.18, ,ns,0.00000000018, , , , , , , , , , , , , , , 
24,24,61,88,Pm,666.55,0.12,4.5, , , , , , , , , , , , , , , , , , , , 
25,25,61,88,Pm,716.72,0.17,3.5, , , , , , , , , , , , , , , , , , , , 
26,26,61,88,Pm,721,0.02,3.5, , , , , , , , , , , , , , , , , , , , 
27,27,61,88,Pm,744.581,0.013,2.5, , , , , , , , , , , , , , , , , , , , 
28,28,61,88,Pm,750.38,0.03,4.5, , , , , , , , , , , , , , , , , , , , 
29,29,61,88,Pm,751.5,1.9,1.5, , , , , , , , , , , , , , , , , , , , 
30,30,61,88,Pm,758.65,0.08,4.5, , , , , , , , , , , , , , , , , , , , 
31,31,61,88,Pm,768.187,0.017,3.5, , , , , , , , , , , , , , , , , , , , 
32,32,61,88,Pm,771.35,0.22,6.5, , , , , , , , , , , , , , , , , , , , 
33,33,61,88,Pm,778.88,0.12,6.5, , , , , , , , , , , , , , , , , , , , 
34,34,61,88,Pm,786.72,0.04,2.5, , , , , , , , , , , , , , , , , , , , 
35,35,61,88,Pm,791.01,0.2,5.5, , , , , , , , , , , , , , , , , , , , 
36,36,61,88,Pm,808.64,0.17,5.5, , , , , , , , , , , , , , , , , , , , 
37,37,61,88,Pm,872.96,0.08,0.5, , , , , , , , , , , , , , , , , , , , 
38,38,61,88,Pm,884.89,0.07,2.5, , , , , , , , , , , , , , , , , , , , 
39,39,61,88,Pm,885.8,0.5,6.5, , , , , , , , , , , , , , , , , , , , 
40,40,61,88,Pm,907.1,2.5,0.5, , , , , , , , , , , , , , , , , , , , 
41,41,61,88,Pm,923.885,0.019,3.5, , , , , , , , , , , , , , , , , , , , 
42,42,61,88,Pm,942.924,0.022,3.5, , , , , , , , , , , , , , , , , , , , 
43,43,61,88,Pm,955,5,2.5, , , , , , , , , , , , , , , , , , , , 
44,44,61,88,Pm,956.9,0.4,9.5, , , , , , , , , , , , , , , , , , , , 
45,45,61,88,Pm,1006.63,0.22,6.5, , , , , , , , , , , , , , , , , , , , 
46,46,61,88,Pm,1008,4,0.5, , , , , , , , , , , , , , , , , , , , 
47,47,61,88,Pm,1008.5,0.21,7.5, , , , , , , , , , , , , , , , , , , , 
48,48,61,88,Pm,1031.68,0.03,3.5, , , , , , , , , , , , , , , , , , , , 
49,49,61,88,Pm,1043.4,0.05,3.5, , , , , , , , , , , , , , , , , , , , 
50,50,61,88,Pm,1050.18,0.03,0.5, , , , , , , , , , , , , , , , , , , , 
51,51,61,88,Pm,1141.527,0.019,2.5, , , , , , , , , , , , , , , , , , , , 
52,52,61,88,Pm,1145.71,0.22,7.5, , , , , , , , , , , , , , , , , , , , 
53,53,61,88,Pm,1156.037,0.024,3.5, , , , , , , , , , , , , , , , , , , , 
54,54,61,88,Pm,1162.9,0.4,7.5, , , , , , , , , , , , , , , , , , , , 
55,55,61,88,Pm,1181,3,2.5, , , , , , , , , , , , , , , , , , , , 
56,56,61,88,Pm,1190.26,0.016,2.5, , , , , , , , , , , , , , , , , , , , 
57,57,61,88,Pm,1211.1,0.4,8.5, , , , , , , , , , , , , , , , , , , , 
58,58,61,88,Pm,1213,4,0.5, , , , , , , , , , , , , , , , , , , , 
59,59,61,88,Pm,1229.53,0.24,8.5, , , , , , , , , , , , , , , , , , , , 
60,60,61,88,Pm,1234.1,0.009,3.5, , , , , , , , , , , , , , , , , , , , 
61,61,61,88,Pm,1239.625,0.021,3.5, , , , , , , , , , , , , , , , , , , , 
62,62,61,88,Pm,1264.16,0.05,3.5, , , , , , , , , , , , , , , , , , , , 
63,63,61,88,Pm,1290.078,0.025,3.5, , , , , , , , , , , , , , , , , , , , 
64,64,61,88,Pm,1312.107,0.016,2.5, , , , , , , , , , , , , , , , , , , , 
65,65,61,88,Pm,1329,4,1.5, , , , , , , , , , , , , , , , , , , , 
66,66,61,88,Pm,1367,4,0.5, , , , , , , , , , , , , , , , , , , , 
67,67,61,88,Pm,1394.3,1,1.5, , , , , , , , , , , , , , , , , , , , 
68,68,61,88,Pm,1405,3,5.5, , , , , , , , , , , , , , , , , , , , 
69,69,61,88,Pm,1406.99,0.25,8.5, , , , , , , , , , , , , , , , , , , , 
70,70,61,88,Pm,1412.26,0.03,3.5, , , , , , , , , , , , , , , , , , , , 
71,71,61,88,Pm,1448.24,0.07,3.5, , , , , , , , , , , , , , , , , , , , 
72,72,61,88,Pm,1462,3,5.5, , , , , , , , , , , , , , , , , , , , 
73,73,61,88,Pm,1477,0.4,9.5, , , , , , , , , , , , , , , , , , , , 
74,74,61,88,Pm,1495.84,0.05,3.5, , , , , , , , , , , , , , , , , , , , 
75,75,61,88,Pm,1504.7,0.4,11.5, , , , , , , , , , , , , , , , , , , , 
76,76,61,88,Pm,1531,3,3.5, , , , , , , , , , , , , , , , , , , , 
77,77,61,88,Pm,1549.58,0.25,9.5, , , , , , , , , , , , , , , , , , , , 
78,78,61,88,Pm,1568.58,0.05,3.5, , , , , , , , , , , , , , , , , , , , 
79,79,61,88,Pm,1589,3,4.5, , , , , , , , , , , , , , , , , , , , 
80,80,61,88,Pm,1591,0.4,9.5, , , , , , , , , , , , , , , , , , , , 
81,81,61,88,Pm,1612.7,0.4,10.5, , , , , , , , , , , , , , , , , , , , 
82,82,61,88,Pm,1642.3,2.5,1.5, , , , , , , , , , , , , , , , , , , , 
83,83,61,88,Pm,1696,3,2.5, , , , , , , , , , , , , , , , , , , , 
84,84,61,88,Pm,1739,0.4,10.5, , , , , , , , , , , , , , , , , , , , 
85,85,61,88,Pm,1765,3,0.5, , , , , , , , , , , , , , , , , , , , 
86,86,61,88,Pm,1782,4,0.5, , , , , , , , , , , , , , , , , , , , 
87,87,61,88,Pm,1834,4,0.5, , , , , , , , , , , , , , , , , , , , 
88,88,61,88,Pm,1885.3,0.3,10.5, , , , , , , , , , , , , , , , , , , , 
89,89,61,88,Pm,1923.6,0.4,11.5, , , , , , , , , , , , , , , , , , , , 
