,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,62,89,Sm,0, ,2.5, ,90,8,Y,2840123337.71328,252455407.796736,B-,100, , , , , , , , ,-0.3611, ,0.71, 
2,2,62,89,Sm,4.821,0.003,1.5, ,35,1,ns,0.000000035,0.000000001, , , , , , , , , , , , , , 
3,3,62,89,Sm,65.826,0.005,3.5, ,0.40,6,ns,0.0000000004,0.00000000006, , , , , , , , , , , , , , 
4,4,62,89,Sm,69.703,0.006,2.5,LT,0.5, ,ns,0.0000000005, , , , , , , , , , , , , , , 
5,5,62,89,Sm,91.532,0.009,4.5, ,78,1,ns,0.000000078,0.000000001, , , , , , , , , , ,-0.95, , , 
6,6,62,89,Sm,104.831,0.005,1.5, ,0.48,3,ns,0.00000000048,0.00000000003, , , , , , , , , , ,0.31, , , 
7,7,62,89,Sm,147.91,0.06,6.5, , , , , , , , , , , , , , , , , , , , 
8,8,62,89,Sm,167.75,0.007,2.5, ,0.38,4,ns,0.00000000038,0.00000000004, , , , , , , , , , ,1.8, , , 
9,9,62,89,Sm,168.402,0.008,2.5, ,39,+66-36,ps,0.000000000039, , , , , , , , , , , , , , , 
10,10,62,89,Sm,175.38,0.02,4.5, , , , , , , , , , , , , , , , , , , , 
11,11,62,89,Sm,208.991,0.008,3.5,AP,47, ,ps,0.000000000047, , , , , , , , , , , , , , , 
12,12,62,89,Sm,220,10,2.5, , , , , , , , , , , , , , , , , , , , 
13,13,62,89,Sm,261.13,0.04,5.5, ,1.4,1,us,0.0000014,0.0000001,IT,100, , , , , , , , , , , , 
14,14,62,89,Sm,284.95,0.02,1.5, , , , , , , , , , , , , , , , , , , , 
15,15,62,89,Sm,294.82,0.04,4.5, ,26,7,ps,0.000000000026,0.000000000007, , , , , , , , , , , , , , 
16,16,62,89,Sm,302.62,0.02,3.5, , , , , , , , , , , , , , , , , , , , 
17,17,62,89,Sm,306.79,0.02,1.5, , , , , , , , , , , , , , , , , , , , 
18,18,62,89,Sm,313.85,0.02,1.5, , , , , , , , , , , , , , , , , , , , 
19,19,62,89,Sm,315.28,0.02,1.5, , , , , , , , , , , , , , , , , , , , 
20,20,62,89,Sm,323.944,0.008,3.5, , , , , , , , , , , , , , , , , , , , 
21,21,62,89,Sm,344.909,0.006,1.5, ,9.3,2,ps,0.0000000000093,0.0000000000002, , , , , , , , , , , , , , 
22,22,62,89,Sm,355.65,0.02,0.5, , , , , , , , , , , , , , , , , , , , 
23,23,62,89,Sm,358, ,0.5, , , , , , , , , , , , , , , , , , , , 
24,24,62,89,Sm,383.2,0.07,8.5, , , , , , , , , , , , , , , , , , , , 
25,25,62,89,Sm,395.581,0.008,2.5, , , , , , , , , , , , , , , , , , , , 
26,26,62,89,Sm,405.5, ,2.5, , , , , , , , , , , , , , , , , , , , 
27,27,62,89,Sm,415.64,0.02,3.5, , , , , , , , , , , , , , , , , , , , 
28,28,62,89,Sm,419.1,0.2,5.5, , , , , , , , , , , , , , , , , , , , 
29,29,62,89,Sm,423.18,0.09,5.5, , , , , , , , , , , , , , , , , , , , 
30,30,62,89,Sm,437.5,0.3,2.5, , , , , , , , , , , , , , , , , , , , 
31,31,62,89,Sm,445.2,0.05,6.5, , , , , , , , , , , , , , , , , , , , 
32,32,62,89,Sm,445.68,0.01,2.5, ,20,3,ps,0.00000000002,0.000000000003, , , , , , , , , , , , , , 
33,33,62,89,Sm,448.58,0.03,1.5, , , , , , , , , , , , , , , , , , , , 
34,34,62,89,Sm,470.41,0.03,3.5, , , , , , , , , , , , , , , , , , , , 
35,35,62,89,Sm,478,2,0.5, , , , , , , , , , , , , , , , , , , , 
36,36,62,89,Sm,490.34,0.03,3.5, , , , , , , , , , , , , , , , , , , , 
37,37,62,89,Sm,502.27,0.08,5.5, , , , , , , , , , , , , , , , , , , , 
38,38,62,89,Sm,502.33,0.03,0.5, , , , , , , , , , , , , , , , , , , , 
39,39,62,89,Sm,505.3, ,2.5, , , , , , , , , , , , , , , , , , , , 
40,40,62,89,Sm,521.15,0.02,1.5, , , , , , , , , , , , , , , , , , , , 
41,41,62,89,Sm,530.2,0.3,4.5, , , , , , , , , , , , , , , , , , , , 
42,42,62,89,Sm,531.81,0.15,6.5, , , , , , , , , , , , , , , , , , , , 
43,43,62,89,Sm,620.51,0.06,3.5, , , , , , , , , , , , , , , , , , , , 
44,44,62,89,Sm,632.07,0.03,2.5, , , , , , , , , , , , , , , , , , , , 
