,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,63,90,Eu,0, ,2.5, ,STABLE, , , , , , , , , , , , , , ,1.5324, ,2.412, 
2,2,63,90,Eu,83.36728,0.00013,3.5, ,0.793,17,ns,0.000000000793,0.000000000017, , , , , , , , , , ,1.81, ,0.44, 
3,3,63,90,Eu,97.43098,0.00014,2.5, ,0.198,16,ns,0.000000000198,0.000000000016, , , , , , , , , , , , , , 
4,4,63,90,Eu,103.18017,0.00012,1.5, ,3.85,5,ns,0.00000000385,0.00000000005, , , , , , , , , , ,2.048, ,1.254, 
5,5,63,90,Eu,151.6239,0.0003,3.5, ,0.36,7,ns,0.00000000036,0.00000000007, , , , , , , , , , , , , , 
6,6,63,90,Eu,172.85316,0.00013,2.5, ,0.14, ,ns,0.00000000014, , , , , , , , , , , , , , , 
7,7,63,90,Eu,193.0654,0.0006,4.5, ,0.204,14,ns,0.000000000204,0.000000000014, , , , , , , , , , , , , , 
8,8,63,90,Eu,235.2805,0.0006,4.5, , , , , , , , , , , , , , , , , , , , 
9,9,63,90,Eu,269.7361,0.0005,3.5, , , , , , , , , , , , , , , , , , , , 
10,10,63,90,Eu,321.8589,0.0006,5.5, , , , , , , , , , , , , , , , , , , , 
11,11,63,90,Eu,325.0661,0.0009,5.5, , , , , , , , , , , , , , , , , , , , 
12,12,63,90,Eu,396.4028,0.0008,4.5, , , , , , , , , , , , , , , , , , , , 
13,13,63,90,Eu,403.289,0.004,0.5, , , , , , , , , , , , , , , , , , , , 
14,14,63,90,Eu,442.622,0.003,0.5, , , , , , , , , , , , , , , , , , , , 
15,15,63,90,Eu,448.1384,0.0011,0.5, , , , , , , , , , , , , , , , , , , , 
16,16,63,90,Eu,477.9272,0.0012,6.5, , , , , , , , , , , , , , , , , , , , 
17,17,63,90,Eu,481.0512,0.0015,6.5, , , , , , , , , , , , , , , , , , , , 
18,18,63,90,Eu,537.9413,0.0012,5.5, , , , , , , , , , , , , , , , , , , , 
19,19,63,90,Eu,552.4727,0.0014,0.5, , , , , , , , , , , , , , , , , , , , 
20,20,63,90,Eu,559.739,0.0016,0.5, , , , , , , , , , , , , , , , , , , , 
21,21,63,90,Eu,569.31,0.14,3.5, , , , , , , , , , , , , , , , , , , , 
22,22,63,90,Eu,585.02,0.15,0.5, , , , , , , , , , , , , , , , , , , , 
23,23,63,90,Eu,589.34,0.11,7.5, , , , , , , , , , , , , , , , , , , , 
24,24,63,90,Eu,617.18,0.24,2.5, , , , , , , , , , , , , , , , , , , , 
25,25,63,90,Eu,634.62,0.06,0.5, , , , , , , , , , , , , , , , , , , , 
26,26,63,90,Eu,636.516,0.018,1.5, , , , , , , , , , , , , , , , , , , , 
27,27,63,90,Eu,641.587,0.003,0.5, , , , , , , , , , , , , , , , , , , , 
28,28,63,90,Eu,654.7,0.009,7.5, , , , , , , , , , , , , , , , , , , , 
29,29,63,90,Eu,657.68,0.14,0.5, , , , , , , , , , , , , , , , , , , , 
