,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,64,89,Gd,0, ,1.5, ,240.4,10,d,20770560,86400,EC,100, , , , , , , , ,0.38, , , 
2,2,64,89,Gd,41.5566,0.0004,2.5, ,4.08,6,ns,0.00000000408,0.00000000006, , , , , , , , , , , , , , 
3,3,64,89,Gd,93.3426,0.0006,3.5, ,0.45,8,ns,0.00000000045,0.00000000008, , , , , , , , , , , , , , 
4,4,64,89,Gd,95.1736,0.0008,4.5, ,3.5,4,us,0.0000035,0.0000004,IT,100, , , , , , , , , , , , 
5,5,64,89,Gd,109.756,0.0007,2.5, ,0.243,14,ns,0.000000000243,0.000000000014, , , , , , , , , , ,0.4, , , 
6,6,64,89,Gd,129.1635,0.0006,1.5, ,2.52,9,ns,0.00000000252,0.00000000009, , , , , , , , , , ,0.37, , , 
7,7,64,89,Gd,139.79,0.15,6.5, , , , , , , , , , , , , , , , , , , , 
8,8,64,89,Gd,168.4,0.6,4.5, , , , , , , , , , , , , , , , , , , , 
9,9,64,89,Gd,171.188,0.004,5.5, ,76.0,14,us,0.000076,0.0000014,IT,100, , , , , , , , , , , , 
10,10,64,89,Gd,183.4695,0.0007,2.5, ,0.76,12,ns,0.00000000076,0.00000000012, , , , , , , , , , , , , , 
11,11,64,89,Gd,212.0078,0.0007,1.5, , , , , , , , , , , , , , , , , , , , 
12,12,64,89,Gd,215.9927,0.001,3.5, , , , , , , , , , , , , , , , , , , , 
13,13,64,89,Gd,219.4426,0.0011,4.5, , , , , , , , , , , , , , , , , , , , 
14,14,64,89,Gd,249.5538,0.0011,2.5, , , , , , , , , , , , , , , , , , , , 
15,15,64,89,Gd,290.3595,0.001,3.5, , , , , , , , , , , , , , , , , , , , 
16,16,64,89,Gd,303.5428,0.0008,2.5, , , , , , , , , , , , , , , , , , , , 
17,17,64,89,Gd,315.1991,0.0014,0.5, , , , , , , , , , , , , , , , , , , , 
18,18,64,89,Gd,316.0269,0.0008,2.5, , , , , , , , , , , , , , , , , , , , 
19,19,64,89,Gd,322.3,0.3,0.5, , , , , , , , , , , , , , , , , , , , 
20,20,64,89,Gd,327.8525,0.0012,0.5, , , , , , , , , , , , , , , , , , , , 
21,21,64,89,Gd,333.1681,0.0017,4.5, , , , , , , , , , , , , , , , , , , , 
22,22,64,89,Gd,336.3, ,1.5, , , , , , , , , , , , , , , , , , , , 
23,23,64,89,Gd,361.6507,0.001,1.5, , , , , , , , , , , , , , , , , , , , 
24,24,64,89,Gd,363.448,0.014,6.5, , , , , , , , , , , , , , , , , , , , 
25,25,64,89,Gd,365.39,0.15,8.5, , , , , , , , , , , , , , , , , , , , 
26,26,64,89,Gd,368.6675,0.0014,2.5, , , , , , , , , , , , , , , , , , , , 
27,27,64,89,Gd,378, ,5.5, , , , , , , , , , , , , , , , , , , , 
28,28,64,89,Gd,395.1458,0.0012,3.5, , , , , , , , , , , , , , , , , , , , 
29,29,64,89,Gd,412.8948,0.0011,1.5, , , , , , , , , , , , , , , , , , , , 
30,30,64,89,Gd,429.3,0.5,0.5, , , , , , , , , , , , , , , , , , , , 
31,31,64,89,Gd,430.1,0.4,5.5, , , , , , , , , , , , , , , , , , , , 
32,32,64,89,Gd,436.271,0.0015,0.5, , , , , , , , , , , , , , , , , , , , 
33,33,64,89,Gd,442.1909,0.001,2.5, , , , , , , , , , , , , , , , , , , , 
34,34,64,89,Gd,448.5193,0.0013,2.5, , , , , , , , , , , , , , , , , , , , 
35,35,64,89,Gd,482.9359,0.0014,0.5, , , , , , , , , , , , , , , , , , , , 
36,36,64,89,Gd,490.61,0.14,3.5, , , , , , , , , , , , , , , , , , , , 
37,37,64,89,Gd,504.1709,0.0009,2.5, , , , , , , , , , , , , , , , , , , , 
38,38,64,89,Gd,508.6639,0.0025,1.5, , , , , , , , , , , , , , , , , , , , 
39,39,64,89,Gd,514.79,0.24,5.5, , , , , , , , , , , , , , , , , , , , 
40,40,64,89,Gd,530.4595,0.0019,1.5, , , , , , , , , , , , , , , , , , , , 
41,41,64,89,Gd,548.7645,0.0018,2.5, , , , , , , , , , , , , , , , , , , , 
42,42,64,89,Gd,551.092,0.019,3.5, , , , , , , , , , , , , , , , , , , , 
43,43,64,89,Gd,564.01,0.1,6.5, , , , , , , , , , , , , , , , , , , , 
44,44,64,89,Gd,575.19,0.09,7.5, , , , , , , , , , , , , , , , , , , , 
45,45,64,89,Gd,579.125,0.003,3.5, , , , , , , , , , , , , , , , , , , , 
46,46,64,89,Gd,607.202,0.003,2.5, , , , , , , , , , , , , , , , , , , , 
47,47,64,89,Gd,615.24,0.19,7.5, , , , , , , , , , , , , , , , , , , , 
48,48,64,89,Gd,615.6,0.22,7.5, , , , , , , , , , , , , , , , , , , , 
49,49,64,89,Gd,632.75,0.15,6.5, , , , , , , , , , , , , , , , , , , , 
50,50,64,89,Gd,636.307,0.012,3.5, , , , , , , , , , , , , , , , , , , , 
51,51,64,89,Gd,636.448,0.003,3.5, , , , , , , , , , , , , , , , , , , , 
52,52,64,89,Gd,649.021,0.01,5.5, , , , , , , , , , , , , , , , , , , , 
53,53,64,89,Gd,664.3253,0.0017,1.5, , , , , , , , , , , , , , , , , , , , 
54,54,64,89,Gd,674.4,0.3,5.5, , , , , , , , , , , , , , , , , , , , 
55,55,64,89,Gd,676.724,0.013,2.5, , , , , , , , , , , , , , , , , , , , 
56,56,64,89,Gd,677.1,0.3,0.5, , , , , , , , , , , , , , , , , , , , 
57,57,64,89,Gd,683.9566,0.0018,1.5, , , , , , , , , , , , , , , , , , , , 
58,58,64,89,Gd,708.9627,0.0023,1.5, , , , , , , , , , , , , , , , , , , , 
59,59,64,89,Gd,715.809,0.011,6.5, , , , , , , , , , , , , , , , , , , , 
60,60,64,89,Gd,720.345,0.003,3.5, , , , , , , , , , , , , , , , , , , , 
61,61,64,89,Gd,727.799,0.004,3.5, , , , , , , , , , , , , , , , , , , , 
62,62,64,89,Gd,728.6,0.2,10.5, , , , , , , , , , , , , , , , , , , , 
63,63,64,89,Gd,729.203,0.004,1.5, , , , , , , , , , , , , , , , , , , , 
64,64,64,89,Gd,731.627,0.011,3.5, , , , , , , , , , , , , , , , , , , , 
65,65,64,89,Gd,754.4, ,1.5, , , , , , , , , , , , , , , , , , , , 
66,66,64,89,Gd,769.054,0.005,3.5, , , , , , , , , , , , , , , , , , , , 
67,67,64,89,Gd,775.123,0.008,2.5, , , , , , , , , , , , , , , , , , , , 
68,68,64,89,Gd,782.6725,0.0019,1.5, , , , , , , , , , , , , , , , , , , , 
69,69,64,89,Gd,791.014,0.004,1.5, , , , , , , , , , , , , , , , , , , , 
70,70,64,89,Gd,804.95,0.14,8.5, , , , , , , , , , , , , , , , , , , , 
71,71,64,89,Gd,812.642,0.007,2.5, , , , , , , , , , , , , , , , , , , , 
72,72,64,89,Gd,821.297,0.008,2.5, , , , , , , , , , , , , , , , , , , , 
73,73,64,89,Gd,847.825,0.01,3.5, , , , , , , , , , , , , , , , , , , , 
74,74,64,89,Gd,852,0.4,7.5, , , , , , , , , , , , , , , , , , , , 
75,75,64,89,Gd,857.612,0.007,1.5, , , , , , , , , , , , , , , , , , , , 
76,76,64,89,Gd,865.61,0.005,1.5, , , , , , , , , , , , , , , , , , , , 
77,77,64,89,Gd,873.88,0.15,8.5, , , , , , , , , , , , , , , , , , , , 
78,78,64,89,Gd,876,3,0.5, , , , , , , , , , , , , , , , , , , , 
79,79,64,89,Gd,885.911,0.015,1.5, , , , , , , , , , , , , , , , , , , , 
80,80,64,89,Gd,887.8, ,4.5, , , , , , , , , , , , , , , , , , , , 
81,81,64,89,Gd,894.614,0.006,2.5, , , , , , , , , , , , , , , , , , , , 
82,82,64,89,Gd,899,0.4,7.5, , , , , , , , , , , , , , , , , , , , 
83,83,64,89,Gd,903.503,0.005,3.5, , , , , , , , , , , , , , , , , , , , 
84,84,64,89,Gd,932.19,0.012,2.5, , , , , , , , , , , , , , , , , , , , 
85,85,64,89,Gd,937.374,0.005,2.5, , , , , , , , , , , , , , , , , , , , 
86,86,64,89,Gd,945.249,0.006,1.5, , , , , , , , , , , , , , , , , , , , 
87,87,64,89,Gd,955.451,0.013,2.5, , , , , , , , , , , , , , , , , , , , 
88,88,64,89,Gd,962.034,0.008,2.5, , , , , , , , , , , , , , , , , , , , 
89,89,64,89,Gd,977.63,0.13,9.5, , , , , , , , , , , , , , , , , , , , 
90,90,64,89,Gd,990.154,0.013,1.5, , , , , , , , , , , , , , , , , , , , 
91,91,64,89,Gd,1010,0.2,8.5, , , , , , , , , , , , , , , , , , , , 
92,92,64,89,Gd,1014.74,0.04,2.5, , , , , , , , , , , , , , , , , , , , 
93,93,64,89,Gd,1015.24,0.03,1.5, , , , , , , , , , , , , , , , , , , , 
94,94,64,89,Gd,1025.498,0.009,2.5, , , , , , , , , , , , , , , , , , , , 
95,95,64,89,Gd,1035.177,0.016,2.5, , , , , , , , , , , , , , , , , , , , 
96,96,64,89,Gd,1035.8,0.4,7.5, , , , , , , , , , , , , , , , , , , , 
97,97,64,89,Gd,1037.1,1.1,0.5, , , , , , , , , , , , , , , , , , , , 
98,98,64,89,Gd,1040.47,0.03,2.5, , , , , , , , , , , , , , , , , , , , 
99,99,64,89,Gd,1044.59,0.12,3.5, , , , , , , , , , , , , , , , , , , , 
100,100,64,89,Gd,1051.11,0.2,9.5, , , , , , , , , , , , , , , , , , , , 
101,101,64,89,Gd,1054.722,0.008,1.5, , , , , , , , , , , , , , , , , , , , 
102,102,64,89,Gd,1066.571,0.013,1.5, , , , , , , , , , , , , , , , , , , , 
103,103,64,89,Gd,1082,2,0.5, , , , , , , , , , , , , , , , , , , , 
104,104,64,89,Gd,1101.642,0.007,1.5, , , , , , , , , , , , , , , , , , , , 
105,105,64,89,Gd,1102.765,0.011,3.5, , , , , , , , , , , , , , , , , , , , 
106,106,64,89,Gd,1118.34,0.04,2.5, , , , , , , , , , , , , , , , , , , , 
107,107,64,89,Gd,1118.48,0.04,1.5, , , , , , , , , , , , , , , , , , , , 
108,108,64,89,Gd,1124.222,0.023,2.5, , , , , , , , , , , , , , , , , , , , 
109,109,64,89,Gd,1131.632,0.014,2.5, , , , , , , , , , , , , , , , , , , , 
110,110,64,89,Gd,1139, ,1.5, , , , , , , , , , , , , , , , , , , , 
111,111,64,89,Gd,1141,0.4,8.5, , , , , , , , , , , , , , , , , , , , 
112,112,64,89,Gd,1152,2,3.5, , , , , , , , , , , , , , , , , , , , 
113,113,64,89,Gd,1157.42,0.03,2.5, , , , , , , , , , , , , , , , , , , , 
114,114,64,89,Gd,1163.74,0.12,1.5, , , , , , , , , , , , , , , , , , , , 
115,115,64,89,Gd,1172.602,0.007,2.5, , , , , , , , , , , , , , , , , , , , 
116,116,64,89,Gd,1180.75,0.03,2.5, , , , , , , , , , , , , , , , , , , , 
117,117,64,89,Gd,1191.1,0.9,12.5, , , , , , , , , , , , , , , , , , , , 
118,118,64,89,Gd,1194,5,0.5, , , , , , , , , , , , , , , , , , , , 
119,119,64,89,Gd,1195.3,0.16,12.5, , , , , , , , , , , , , , , , , , , , 
120,120,64,89,Gd,1199.04,0.06,4.5, , , , , , , , , , , , , , , , , , , , 
121,121,64,89,Gd,1208.72,0.13,10.5, , , , , , , , , , , , , , , , , , , , 
122,122,64,89,Gd,1220.8,0.3,3.5, , , , , , , , , , , , , , , , , , , , 
123,123,64,89,Gd,1235,5,0.5, , , , , , , , , , , , , , , , , , , , 
124,124,64,89,Gd,1247.484,0.014,3.5, , , , , , , , , , , , , , , , , , , , 
125,125,64,89,Gd,1252.145,0.013,1.5, , , , , , , , , , , , , , , , , , , , 
126,126,64,89,Gd,1268.199,0.013,1.5, , , , , , , , , , , , , , , , , , , , 
127,127,64,89,Gd,1272.71,0.04,2.5, , , , , , , , , , , , , , , , , , , , 
128,128,64,89,Gd,1280,2,0.5, , , , , , , , , , , , , , , , , , , , 
129,129,64,89,Gd,1293.8,0.3,1.5, , , , , , , , , , , , , , , , , , , , 
130,130,64,89,Gd,1312.3,0.2,10.5, , , , , , , , , , , , , , , , , , , , 
131,131,64,89,Gd,1314.5,0.4,1.5, , , , , , , , , , , , , , , , , , , , 
132,132,64,89,Gd,1318.4, ,9.5, , , , , , , , , , , , , , , , , , , , 
133,133,64,89,Gd,1328.319,0.013,2.5, , , , , , , , , , , , , , , , , , , , 
134,134,64,89,Gd,1330.6, ,1.5, , , , , , , , , , , , , , , , , , , , 
135,135,64,89,Gd,1337.98,0.09,1.5, , , , , , , , , , , , , , , , , , , , 
136,136,64,89,Gd,1339.4,0.4,8.5, , , , , , , , , , , , , , , , , , , , 
137,137,64,89,Gd,1353.5,0.05,1.5, , , , , , , , , , , , , , , , , , , , 
138,138,64,89,Gd,1357.3,0.5,9.5, , , , , , , , , , , , , , , , , , , , 
139,139,64,89,Gd,1363.6,0.06,1.5, , , , , , , , , , , , , , , , , , , , 
140,140,64,89,Gd,1384.51,0.11,1.5, , , , , , , , , , , , , , , , , , , , 
141,141,64,89,Gd,1387.46,0.03,3.5, , , , , , , , , , , , , , , , , , , , 
142,142,64,89,Gd,1401.28,0.05,1.5, , , , , , , , , , , , , , , , , , , , 
143,143,64,89,Gd,1422.939,0.02,2.5, , , , , , , , , , , , , , , , , , , , 
144,144,64,89,Gd,1426.53,0.16,1.5, , , , , , , , , , , , , , , , , , , , 
145,145,64,89,Gd,1437.77,0.14,11.5, , , , , , , , , , , , , , , , , , , , 
146,146,64,89,Gd,1450.3,0.13,1.5, , , , , , , , , , , , , , , , , , , , 
147,147,64,89,Gd,1452.43,0.12,2.5, , , , , , , , , , , , , , , , , , , , 
148,148,64,89,Gd,1462.02, ,1.5, , , , , , , , , , , , , , , , , , , , 
149,149,64,89,Gd,1463,0.5,9.5, , , , , , , , , , , , , , , , , , , , 
150,150,64,89,Gd,1471.8, ,5.5, , , , , , , , , , , , , , , , , , , , 
151,151,64,89,Gd,1484.8,0.5,1.5, , , , , , , , , , , , , , , , , , , , 
152,152,64,89,Gd,1496,5,0.5, , , , , , , , , , , , , , , , , , , , 
153,153,64,89,Gd,1503,0.4,1.5, , , , , , , , , , , , , , , , , , , , 
154,154,64,89,Gd,1504.33,0.17,10.5, , , , , , , , , , , , , , , , , , , , 
155,155,64,89,Gd,1509,2,3.5, , , , , , , , , , , , , , , , , , , , 
156,156,64,89,Gd,1520.2,0.3,10.5, , , , , , , , , , , , , , , , , , , , 
157,157,64,89,Gd,1531,5,0.5, , , , , , , , , , , , , , , , , , , , 
158,158,64,89,Gd,1548,5,0.5, , , , , , , , , , , , , , , , , , , , 
159,159,64,89,Gd,1563,5,0.5, , , , , , , , , , , , , , , , , , , , 
160,160,64,89,Gd,1574,0.3,9.5, , , , , , , , , , , , , , , , , , , , 
161,161,64,89,Gd,1584,5,0.5, , , , , , , , , , , , , , , , , , , , 
162,162,64,89,Gd,1586.77,0.23,11.5, , , , , , , , , , , , , , , , , , , , 
163,163,64,89,Gd,1597,5,0.5, , , , , , , , , , , , , , , , , , , , 
164,164,64,89,Gd,1615,5,0.5, , , , , , , , , , , , , , , , , , , , 
165,165,64,89,Gd,1628.98,0.16,12.5, , , , , , , , , , , , , , , , , , , , 
166,166,64,89,Gd,1631,5,0.5, , , , , , , , , , , , , , , , , , , , 
167,167,64,89,Gd,1655,5,0.5, , , , , , , , , , , , , , , , , , , , 
168,168,64,89,Gd,1669,5,0.5, , , , , , , , , , , , , , , , , , , , 
169,169,64,89,Gd,1686,5,0.5, , , , , , , , , , , , , , , , , , , , 
170,170,64,89,Gd,1701,5,0.5, , , , , , , , , , , , , , , , , , , , 
171,171,64,89,Gd,1703,1.1,10.5, , , , , , , , , , , , , , , , , , , , 
172,172,64,89,Gd,1721.61,0.15,1.5, , , , , , , , , , , , , , , , , , , , 
173,173,64,89,Gd,1738,5,0.5, , , , , , , , , , , , , , , , , , , , 
174,174,64,89,Gd,1746.67,0.22,14.5, , , , , , , , , , , , , , , , , , , , 
