,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,65,94,Tb,0, ,1.5, ,STABLE, , , , , , , , , , , , , , ,2.014, ,1.432, 
2,2,65,94,Tb,57.9964,0.0015,2.5, ,55.0,22,ps,0.000000000055,0.0000000000022, , , , , , , , , , ,3.86, , , 
3,3,65,94,Tb,137.5055,0.0017,3.5, ,41.3,21,ps,0.0000000000413,0.0000000000021, , , , , , , , , , , , , , 
4,4,65,94,Tb,241.15,0.04,4.5, ,27.2,12,ps,0.0000000000272,0.0000000000012, , , , , , , , , , , , , , 
5,5,65,94,Tb,348.2832,0.0015,2.5, , , , , , , , , , , , , , , , , , , , 
6,6,65,94,Tb,362.05,0.04,5.5, ,15.2,2,ps,0.0000000000152,0.0000000000002, , , , , , , , , , , , , , 
7,7,65,94,Tb,363.5449,0.0014,2.5, ,153,5,ps,0.000000000153,0.000000000005, , , , , , , , , , , , , , 
8,8,65,94,Tb,388.4, ,3.5, , , , , , , , , , , , , , , , , , , , 
9,9,65,94,Tb,428.2, ,3.5, , , , , , , , , , , , , , , , , , , , 
10,10,65,94,Tb,454.6, ,4.5, , , , , , , , , , , , , , , , , , , , 
11,11,65,94,Tb,510.4,0.05,6.5, ,9.17,22,ps,0.00000000000917,0.00000000000022, , , , , , , , , , , , , , 
12,12,65,94,Tb,532, ,4.5, , , , , , , , , , , , , , , , , , , , 
13,13,65,94,Tb,536.7, ,0.5, , , , , , , , , , , , , , , , , , , , 
14,14,65,94,Tb,545.1, ,5.5, , , , , , , , , , , , , , , , , , , , 
15,15,65,94,Tb,547.6, ,3.5, , , , , , , , , , , , , , , , , , , , 
16,16,65,94,Tb,580.808,0.006,0.5, ,0.76,10,ps,0.00000000000076,0.0000000000001, , , , , , , , , , , , , , 
