,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,66,97,Dy,0, ,2.5, ,STABLE, , , , , , , , , , , , , , ,0.6726, ,2.648, 
2,2,66,97,Dy,73.4448,0.0004,3.5, ,1.51,5,ns,0.00000000151,0.00000000005, , , , , , , , , , , , , , 
3,3,66,97,Dy,167.3451,0.0012,4.5, ,0.34,6,ns,0.00000000034,0.00000000006, , , , , , , , , , , , , , 
4,4,66,97,Dy,250.8896,0.0012,2.5, , , , , , , , , , , , , , , , , , , , 
5,5,66,97,Dy,281.5716,0.0021,5.5, , , , , , , , , , , , , , , , , , , , 
6,6,66,97,Dy,285.5954,0.0009,3.5, , , , , , , , , , , , , , , , , , , , 
7,7,66,97,Dy,336.5439,0.0024,4.5, , , , , , , , , , , , , , , , , , , , 
8,8,66,97,Dy,351.1493,0.001,0.5, ,0.26,5,ns,0.00000000026,0.00000000005, , , , , , , , , , , , , , 
9,9,66,97,Dy,389.7532,0.0011,1.5, ,0.12,4,ns,0.00000000012,0.00000000004, , , , , , , , , , , , , , 
10,10,66,97,Dy,412.382,0.005,5.5, , , , , , , , , , , , , , , , , , , , 
11,11,66,97,Dy,415.34,0.05,6.5, ,46,18,ps,0.000000000046,0.000000000018, , , , , , , , , , , , , , 
12,12,66,97,Dy,421.8439,0.0011,1.5, ,0.18,6,ns,0.00000000018,0.00000000006, , , , , , , , , , , , , , 
13,13,66,97,Dy,427.6796,0.0009,2.5, ,0.15,7,ns,0.00000000015,0.00000000007, , , , , , , , , , , , , , 
14,14,66,97,Dy,450, ,3.5, , , , , , , , , , , , , , , , , , , , 
15,15,66,97,Dy,475.388,0.001,2.5, ,0.10,10,ns,0.0000000001,0.0000000001, , , , , , , , , , , , , , 
16,16,66,97,Dy,497.02,0.05,6.5, , , , , , , , , , , , , , , , , , , , 
17,17,66,97,Dy,514.5519,0.0012,3.5, , , , , , , , , , , , , , , , , , , , 
18,18,66,97,Dy,553.0196,0.0014,3.5, , , , , , , , , , , , , , , , , , , , 
19,19,66,97,Dy,566,0.4,0.5, , , , , , , , , , , , , , , , , , , , 
