,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,68,97,Er,0, ,2.5, ,10.36,4,h,37296,144,EC,100, , , , , , , , ,0.643, ,2.71, 
2,2,68,97,Er,47.159,0.004,2.5, ,4.0,1,ns,0.000000004,0.0000000001, , , , , , , , , , , , , , 
3,3,68,97,Er,62.671,0.004,3.5, , , , , , , , , , , , , , , , , , , , 
4,4,68,97,Er,77.26,0.004,3.5, ,0.96,8,ns,0.00000000096,0.00000000008, , , , , , , , , , , , , , 
5,5,68,97,Er,97.963,0.009,4.5, , , , , , , , , , , , , , , , , , , , 
6,6,68,97,Er,167.1,0.6,5.5, , , , , , , , , , , , , , , , , , , , 
7,7,68,97,Er,175.82,0.03,4.5, , , , , , , , , , , , , , , , , , , , 
8,8,68,97,Er,237.8,0.7,6.5, , , , , , , , , , , , , , , , , , , , 
9,9,68,97,Er,242.934,0.004,1.5, ,0.31,4,ns,0.00000000031,0.00000000004, , , , , , , , , , ,0.62, , , 
10,10,68,97,Er,295.8,0.7,5.5, , , , , , , , , , , , , , , , , , , , 
11,11,68,97,Er,296.127,0.004,2.5,LE,0.24, ,ns,0.00000000024, , , , , , , , , , , , , , , 
12,12,68,97,Er,297.371,0.004,0.5, ,0.70,8,ns,0.0000000007,0.00000000008, , , , , , , , , , , , , , 
13,13,68,97,Er,356.529,0.004,1.5, ,0.35,6,ns,0.00000000035,0.00000000006, , , , , , , , , , , , , , 
14,14,68,97,Er,372,0.8,7.5, , , , , , , , , , , , , , , , , , , , 
15,15,68,97,Er,372.712,0.014,3.5, , , , , , , , , , , , , , , , , , , , 
16,16,68,97,Er,384.327,0.006,2.5, , , , , , , , , , , , , , , , , , , , 
17,17,68,97,Er,431,2,0.5, , , , , , , , , , , , , , , , , , , , 
