,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,67,98,Ho,0, ,3.5, ,STABLE, , , , , , , , , , , , , , ,4.177, ,3.58, 
2,2,67,98,Ho,94.7,0.003,4.5, ,22.3,10,ps,0.0000000000223,0.000000000001, , , , , , , , , , ,4.14, ,3.43, 
3,3,67,98,Ho,209.804,0.011,5.5, ,12.7,7,ps,0.0000000000127,0.0000000000007, , , , , , , , , , , , , , 
4,4,67,98,Ho,344.9,0.6,6.5, ,7.0,6,ps,0.000000000007,0.0000000000006, , , , , , , , , , , , , , 
5,5,67,98,Ho,361.675,0.011,1.5, ,1.512,4,us,0.000001512,0.000000004, , , , , , , , , , , , , , 
6,6,67,98,Ho,419.544,0.011,2.5, , , , , , , , , , , , , , , , , , , , 
7,7,67,98,Ho,429.388,0.011,0.5, , , , , , , , , , , , , , , , , , , , 
8,8,67,98,Ho,449.259,0.011,1.5, , , , , , , , , , , , , , , , , , , , 
9,9,67,98,Ho,491.047,0.014,3.5, , , , , , , , , , , , , , , , , , , , 
10,10,67,98,Ho,499.4,0.7,7.5, ,5.4,10,ps,0.0000000000054,0.000000000001, , , , , , , , , , , , , , 
11,11,67,98,Ho,515.476,0.011,1.5, ,10.5,10,ps,0.0000000000105,0.000000000001, , , , , , , , , , , , , , 
12,12,67,98,Ho,539.011,0.013,2.5, , , , , , , , , , , , , , , , , , , , 
13,13,67,98,Ho,566.8,0.3,2.5, ,34,8,ps,0.000000000034,0.000000000008, , , , , , , , , , , , , , 
14,14,67,98,Ho,589.8,0.05,3.5, , , , , , , , , , , , , , , , , , , , 
15,15,67,98,Ho,601.6,0.9,4.5, , , , , , , , , , , , , , , , , , , , 
16,16,67,98,Ho,638.5,0.6,3.5, , , , , , , , , , , , , , , , , , , , 
17,17,67,98,Ho,673,0.7,8.5, ,2.7,6,ps,0.0000000000027,0.0000000000006, , , , , , , , , , , , , , 
18,18,67,98,Ho,681.2, ,0.5, , , , , , , , , , , , , , , , , , , , 
19,19,67,98,Ho,688.8,0.7,5.5, ,4.6,3,ps,0.0000000000046,0.0000000000003, , , , , , , , , , , , , , 
20,20,67,98,Ho,702,1,2.5, , , , , , , , , , , , , , , , , , , , 
21,21,67,98,Ho,703.8,0.8,5.5, , , , , , , , , , , , , , , , , , , , 
22,22,67,98,Ho,715.33,0.02,3.5,LT,0.1, ,us,0.0000001, , , , , , , , , , , , , , , 
23,23,67,98,Ho,730.9,0.6,4.5, , , , , , , , , , , , , , , , , , , , 
24,24,67,98,Ho,744,0.3,4.5, , , , , , , , , , , , , , , , , , , , 
25,25,67,98,Ho,790.8,0.5,1.5, , , , , , , , , , , , , , , , , , , , 
26,26,67,98,Ho,802.3,0.2,4.5, , , , , , , , , , , , , , , , , , , , 
27,27,67,98,Ho,819.8,0.7,6.5, , , , , , , , , , , , , , , , , , , , 
28,28,67,98,Ho,820.11,0.03,4.5, , , , , , , , , , , , , , , , , , , , 
29,29,67,98,Ho,827.2,1,5.5, , , , , , , , , , , , , , , , , , , , 
30,30,67,98,Ho,841.8,0.6,5.5, , , , , , , , , , , , , , , , , , , , 
31,31,67,98,Ho,863.3,0.7,9.5, , , , , , , , , , , , , , , , , , , , 
32,32,67,98,Ho,870.9,0.9,6.5, , , , , , , , , , , , , , , , , , , , 
33,33,67,98,Ho,945.7,0.8,5.5, , , , , , , , , , , , , , , , , , , , 
34,34,67,98,Ho,955.6,0.2,3.5, , , , , , , , , , , , , , , , , , , , 
35,35,67,98,Ho,968.7,0.7,7.5, , , , , , , , , , , , , , , , , , , , 
36,36,67,98,Ho,971.9,0.7,6.5, , , , , , , , , , , , , , , , , , , , 
37,37,67,98,Ho,986.1,0.9,6.5, , , , , , , , , , , , , , , , , , , , 
38,38,67,98,Ho,995.09,0.04,2.5, , , , , , , , , , , , , , , , , , , , 
39,39,67,98,Ho,997.8,0.8,7.5, , , , , , , , , , , , , , , , , , , , 
40,40,67,98,Ho,1037.5,1.1,0.5, , , , , , , , , , , , , , , , , , , , 
41,41,67,98,Ho,1055.76,0.03,2.5, , , , , , , , , , , , , , , , , , , , 
42,42,67,98,Ho,1066.7, ,1.5, , , , , , , , , , , , , , , , , , , , 
43,43,67,98,Ho,1072.9,0.8,10.5, , , , , , , , , , , , , , , , , , , , 
44,44,67,98,Ho,1076,10,3.5, , , , , , , , , , , , , , , , , , , , 
45,45,67,98,Ho,1079.63,0.03,3.5, , , , , , , , , , , , , , , , , , , , 
46,46,67,98,Ho,1094.3,0.5,6.5, , , , , , , , , , , , , , , , , , , , 
47,47,67,98,Ho,1122.5,0.7,7.5, , , , , , , , , , , , , , , , , , , , 
48,48,67,98,Ho,1129.6, ,2.5, , , , , , , , , , , , , , , , , , , , 
