,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,69,100,Tm,0, ,0.5, ,STABLE, , , , , , , , , , , , , , ,-0.2316, , , 
2,2,69,100,Tm,8.41017,0.00011,1.5, ,4.09,5,ns,0.00000000409,0.00000000005, , , , , , , , , , ,0.5148, ,-1.2, 
3,3,69,100,Tm,118.18945,0.00011,2.5, ,62,3,ps,0.000000000062,0.000000000003, , , , , , , , , , ,0.761, , , 
4,4,69,100,Tm,138.93315,0.00012,3.5, ,302,2,ps,0.000000000302,0.000000000002, , , , , , , , , , ,1.39, , , 
5,5,69,100,Tm,316.14633,0.00011,3.5, ,659.9,23,ns,0.0000006599,0.0000000023, , , , , , , , , , ,0.156, , , 
6,6,69,100,Tm,332.116,0.011,4.5, ,18.8,5,ps,0.0000000000188,0.0000000000005, , , , , , , , , , ,1.56, , , 
7,7,69,100,Tm,341.94,0.04,0.5, , , , , , , , , , , , , , , , , , , , 
8,8,69,100,Tm,345.028,0.003,2.5, , , , , , , , , , , , , , , , , , , , 
9,9,69,100,Tm,367.67,0.05,5.5, ,41.6,21,ps,0.0000000000416,0.0000000000021, , , , , , , , , , ,2.28, , , 
10,10,69,100,Tm,379.26678,0.00012,3.5, ,52.2,8,ns,0.0000000522,0.0000000008, , , , , , , , , , ,3.04, , , 
11,11,69,100,Tm,430.122,0.011,4.5, , , , , , , , , , , , , , , , , , , , 
12,12,69,100,Tm,433.521,0.018,4.5, , , , , , , , , , , , , , , , , , , , 
13,13,69,100,Tm,472.88128,0.00014,4.5, ,0.14,7,ns,0.00000000014,0.00000000007, , , , , , , , , , , , , , 
14,14,69,100,Tm,474.968,0.009,1.5, , , , , , , , , , , , , , , , , , , , 
15,15,69,100,Tm,570.83,0.011,1.5, ,10,7,ps,0.00000000001,0.000000000007, , , , , , , , , , , , , , 
16,16,69,100,Tm,575.38,0.04,5.5, , , , , , , , , , , , , , , , , , , , 
17,17,69,100,Tm,588.2,0.05,5.5, , , , , , , , , , , , , , , , , , , , 
18,18,69,100,Tm,602.82,0.19,6.5, , , , , , , , , , , , , , , , , , , , 
19,19,69,100,Tm,633.292,0.003,2.5, ,0.27, ,ps,0.00000000000027, , , , , , , , , , , , , , , 
20,20,69,100,Tm,637.08,0.13,6.5, ,5.4,4,ps,0.0000000000054,0.0000000000004, , , , , , , , , , ,2.37, , , 
