,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,70,99,Yb,0, ,3.5, ,32.018,5,d,2766355.2,432,EC,100, , , , , , , , ,-0.635, ,3.54, 
2,2,70,99,Yb,24.1999,0.0016,0.5, ,46,2,s,46,2,IT,100, , , , , , , , ,0.507, , , 
3,3,70,99,Yb,70.8815,0.0008,4.5, , , , , , , , , , , , , , , , , , , , 
4,4,70,99,Yb,86.9188,0.0016,1.5, , , , , , , , , , , , , , , , , , , , 
5,5,70,99,Yb,99.2405,0.0015,2.5, , , , , , , , , , , , , , , , , , , , 
6,6,70,99,Yb,161.6505,0.001,5.5, , , , , , , , , , , , , , , , , , , , 
7,7,70,99,Yb,191.2142,0.0013,2.5, ,3.35,15,ns,0.00000000335,0.00000000015, , , , , , , , , , , , , , 
8,8,70,99,Yb,243.8163,0.0017,3.5, , , , , , , , , , , , , , , , , , , , 
9,9,70,99,Yb,264.2538,0.0021,4.5, , , , , , , , , , , , , , , , , , , , 
10,10,70,99,Yb,269.6554,0.0024,6.5, , , , , , , , , , , , , , , , , , , , 
11,11,70,99,Yb,278.5983,0.0014,3.5, , , , , , , , , , , , , , , , , , , , 
12,12,70,99,Yb,389.5279,0.0015,4.5, , , , , , , , , , , , , , , , , , , , 
13,13,70,99,Yb,405.04,0.23,7.5, , , , , , , , , , , , , , , , , , , , 
14,14,70,99,Yb,486.937,0.003,5.5, , , , , , , , , , , , , , , , , , , , 
15,15,70,99,Yb,512.029,0.015,6.5, , , , , , , , , , , , , , , , , , , , 
16,16,70,99,Yb,523.085,0.003,5.5, , , , , , , , , , , , , , , , , , , , 
17,17,70,99,Yb,547.14,0.25,8.5, , , , , , , , , , , , , , , , , , , , 
18,18,70,99,Yb,569.834,0.003,2.5, , , , , , , , , , , , , , , , , , , , 
19,19,70,99,Yb,590.689,0.006,2.5, , , , , , , , , , , , , , , , , , , , 
20,20,70,99,Yb,647.276,0.009,3.5, , , , , , , , , , , , , , , , , , , , 
21,21,70,99,Yb,647.836,0.003,3.5, , , , , , , , , , , , , , , , , , , , 
22,22,70,99,Yb,659.63,0.006,1.5, , , , , , , , , , , , , , , , , , , , 
23,23,70,99,Yb,677.111,0.006,6.5, , , , , , , , , , , , , , , , , , , , 
24,24,70,99,Yb,707.054,0.008,4.5, , , , , , , , , , , , , , , , , , , , 
25,25,70,99,Yb,719.953,0.006,1.5, , , , , , , , , , , , , , , , , , , , 
26,26,70,99,Yb,722.279,0.006,2.5, , , , , , , , , , , , , , , , , , , , 
27,27,70,99,Yb,736.2,0.3,9.5, , , , , , , , , , , , , , , , , , , , 
28,28,70,99,Yb,749.026,0.005,4.5, , , , , , , , , , , , , , , , , , , , 
29,29,70,99,Yb,757.871,0.018,5.5, , , , , , , , , , , , , , , , , , , , 
30,30,70,99,Yb,761.846,0.007,2.5, , , , , , , , , , , , , , , , , , , , 
31,31,70,99,Yb,807.074,0.01,3.5, , , , , , , , , , , , , , , , , , , , 
32,32,70,99,Yb,807.6,0.5,7.5, , , , , , , , , , , , , , , , , , , , 
33,33,70,99,Yb,813.337,0.009,0.5, , , , , , , , , , , , , , , , , , , , 
34,34,70,99,Yb,831.936,0.009,3.5, , , , , , , , , , , , , , , , , , , , 
35,35,70,99,Yb,833.8,0.3,8.5, , , , , , , , , , , , , , , , , , , , 
36,36,70,99,Yb,851.394,0.01,1.5, , , , , , , , , , , , , , , , , , , , 
37,37,70,99,Yb,851.5,0.4,7.5, , , , , , , , , , , , , , , , , , , , 
38,38,70,99,Yb,865.17,0.014,5.5, , , , , , , , , , , , , , , , , , , , 
39,39,70,99,Yb,877,3,6.5, , , , , , , , , , , , , , , , , , , , 
40,40,70,99,Yb,886.81,0.04,4.5, , , , , , , , , , , , , , , , , , , , 
41,41,70,99,Yb,903.2,0.4,10.5, , , , , , , , , , , , , , , , , , , , 
42,42,70,99,Yb,911.64,0.01,2.5, , , , , , , , , , , , , , , , , , , , 
