,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,71,104,Lu,0, ,3.5, ,STABLE, , , , , , , , , , , , , , ,2.2327, ,3.49, 
2,2,71,104,Lu,113.806,0.004,4.5, ,90,4,ps,0.00000000009,0.000000000004, , , , , , , , , , ,2.01, , , 
3,3,71,104,Lu,251.465,0.007,5.5, ,32.4,16,ps,0.0000000000324,0.0000000000016, , , , , , , , , , ,2.6, , , 
4,4,71,104,Lu,343.38,0.08,2.5, ,0.281,10,ns,0.000000000281,0.00000000001, , , , , , , , , , , , , , 
5,5,71,104,Lu,353.48,0.13,2.5, ,1.49,7,us,0.00000149,0.00000007, , , , , , , , , , , , , , 
6,6,71,104,Lu,370.79,0.15,0.5, , , , , , , , , , , , , , , , , , , , 
7,7,71,104,Lu,396.328,0.007,4.5, ,3.28,6,ns,0.00000000328,0.00000000006, , , , , , , , , , , , , , 
8,8,71,104,Lu,412.39,0.07,6.5, ,12.7,4,ps,0.0000000000127,0.0000000000004, , , , , , , , , , , , , , 
9,9,71,104,Lu,414.98,0.18,4.5, , , , , , , , , , , , , , , , , , , , 
10,10,71,104,Lu,432.74,0.08,3.5,LT,0.1, ,ns,0.0000000001, , , , , , , , , , , , , , , 
11,11,71,104,Lu,514.66,0.14,1.5, , , , , , , , , , , , , , , , , , , , 
12,12,71,104,Lu,529.25,0.1,5.5, , , , , , , , , , , , , , , , , , , , 
13,13,71,104,Lu,546.4,0.3,4.5, , , , , , , , , , , , , , , , , , , , 
14,14,71,104,Lu,562.3,0.4,6.5, , , , , , , , , , , , , , , , , , , , 
15,15,71,104,Lu,595.25,0.08,7.5, ,7.65,13,ps,0.00000000000765,0.00000000000013, , , , , , , , , , , , , , 
16,16,71,104,Lu,626.53,0.15,0.5, ,10.6,5,ns,0.0000000106,0.0000000005, , , , , , , , , , , , , , 
17,17,71,104,Lu,632.76,0.11,1.5, , , , , , , , , , , , , , , , , , , , 
18,18,71,104,Lu,672.83,0.15,3.5, , , , , , , , , , , , , , , , , , , , 
19,19,71,104,Lu,684.3,0.3,5.5, , , , , , , , , , , , , , , , , , , , 
20,20,71,104,Lu,685.32,0.14,6.5, , , , , , , , , , , , , , , , , , , , 
21,21,71,104,Lu,757.35,0.13,2.5, , , , , , , , , , , , , , , , , , , , 
22,22,71,104,Lu,773.44,0.14,3.5, , , , , , , , , , , , , , , , , , , , 
23,23,71,104,Lu,798.1,0.9,8.5, , , , , , , , , , , , , , , , , , , , 
24,24,71,104,Lu,799.95,0.09,8.5, ,4.05,14,ps,0.00000000000405,0.00000000000014, , , , , , , , , , , , , , 
25,25,71,104,Lu,845.1,0.7,6.5, , , , , , , , , , , , , , , , , , , , 
26,26,71,104,Lu,863.7,0.7,7.5, , , , , , , , , , , , , , , , , , , , 
27,27,71,104,Lu,866, ,0.5, , , , , , , , , , , , , , , , , , , , 
28,28,71,104,Lu,886.3,0.4,5.5, , , , , , , , , , , , , , , , , , , , 
29,29,71,104,Lu,960, ,0.5, , , , , , , , , , , , , , , , , , , , 
30,30,71,104,Lu,990.15,0.15,4.5, , , , , , , , , , , , , , , , , , , , 
31,31,71,104,Lu,998.9,0.4,1.5, , , , , , , , , , , , , , , , , , , , 
32,32,71,104,Lu,1005.2,1,3.5, , , , , , , , , , , , , , , , , , , , 
33,33,71,104,Lu,1019.59,0.17,5.5, , , , , , , , , , , , , , , , , , , , 
34,34,71,104,Lu,1024.39,0.1,9.5, ,2.25,17,ps,0.00000000000225,0.00000000000017, , , , , , , , , , , , , , 
35,35,71,104,Lu,1028.2,0.9,7.5, , , , , , , , , , , , , , , , , , , , 
36,36,71,104,Lu,1063.3,0.3,2.5, , , , , , , , , , , , , , , , , , , , 
37,37,71,104,Lu,1064.2,0.8,8.5, , , , , , , , , , , , , , , , , , , , 
38,38,71,104,Lu,1112.2,0.7,4.5, , , , , , , , , , , , , , , , , , , , 
39,39,71,104,Lu,1121.8,1.3,10.5, , , , , , , , , , , , , , , , , , , , 
40,40,71,104,Lu,1150.7,0.3,1.5, , , , , , , , , , , , , , , , , , , , 
41,41,71,104,Lu,1167.3,0.8,7.5, , , , , , , , , , , , , , , , , , , , 
42,42,71,104,Lu,1180,2,3.5, , , , , , , , , , , , , , , , , , , , 
43,43,71,104,Lu,1219,0.3,2.5, , , , , , , , , , , , , , , , , , , , 
44,44,71,104,Lu,1233.2, ,8.5, , , , , , , , , , , , , , , , , , , , 
45,45,71,104,Lu,1242.2,0.8,5.5, , , , , , , , , , , , , , , , , , , , 
46,46,71,104,Lu,1268.68,0.11,10.5, ,1.52,12,ps,0.00000000000152,0.00000000000012, , , , , , , , , , , , , , 
