,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,72,105,Hf,0.0, ,3.5, ,STABLE, , , , , , , , , , , , , , ,0.7935, ,3.37, 
2,2,2,72,105,Hf,112.9498,0.0004,4.5, ,0.541,14,ns,0.000000000541,0.000000000014, , , , , , , , , , ,1.03, ,1.3, 
3,3,3,72,105,Hf,249.6744,0.0004,5.5, ,107,10,ps,0.000000000107,0.00000000001, , , , , , , , , , ,1.5, , , 
4,4,4,72,105,Hf,321.3162,0.0004,4.5, ,0.665,16,ns,0.000000000665,0.000000000016, , , , , , , , , , ,-0.73, , , 
5,5,5,72,105,Hf,375.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
6,6,6,72,105,Hf,390.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
7,7,7,72,105,Hf,409.4085,0.0005,6.5, , , , , , , , , , , , , , , , , , , , 
8,8,8,72,105,Hf,426.6752,0.0004,5.5, ,40,3,ps,0.00000000004,0.000000000003, , , , , , , , , , , , , , 
9,9,9,72,105,Hf,459.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
10,10,10,72,105,Hf,508.13,0.05,2.5, , , , , , , , , , , , , , , , , , , , 
11,11,11,72,105,Hf,555.1779,0.0004,6.5, , , , , , , , , , , , , , , , , , , , 
12,12,12,72,105,Hf,560.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
13,13,13,72,105,Hf,567.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
14,14,14,72,105,Hf,591.3179,0.0007,7.5, , , , , , , , , , , , , , , , , , , , 
15,15,15,72,105,Hf,604.49,0.05,3.5, , , , , , , , , , , , , , , , , , , , 
16,16,16,72,105,Hf,607.0, ,1.5, , , , , , , , , , , , , , , , , , , , 
17,17,17,72,105,Hf,623.0,0.7,1.5, , , , , , , , , , , , , , , , , , , , 
18,18,18,72,105,Hf,652.0, ,2.5, , , , , , , , , , , , , , , , , , , , 
19,19,19,72,105,Hf,665.0, ,2.5, , , , , , , , , , , , , , , , , , , , 
20,20,20,72,105,Hf,703.0, ,3.5, , , , , , , , , , , , , , , , , , , , 
21,21,21,72,105,Hf,708.4622,0.0005,7.5, , , , , , , , , , , , , , , , , , , , 
