,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,70,107,Yb,0.0, ,4.5, ,1.911,3,h,6879.6,10.8,B-,100, , , , , , , , ,-0.695, ,4.03, 
2,2,2,70,107,Yb,104.51,0.19,3.5, ,4.48,8,ns,0.00000000448,0.00000000008, , , , , , , , , , , , , , 
3,3,3,70,107,Yb,121.7,0.4,5.5, , , , , , , , , , , , , , , , , , , , 
4,4,4,70,107,Yb,150.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
5,5,5,70,107,Yb,220.6,0.4,4.5, , , , , , , , , , , , , , , , , , , , 
6,6,6,70,107,Yb,265.4,0.4,6.5, , , , , , , , , , , , , , , , , , , , 
7,7,7,70,107,Yb,331.5,0.3,0.5, ,6.41,2,s,6.41,0.02,IT,100, , , , , , , , ,0.151, , , 
8,8,8,70,107,Yb,361.6,0.7,5.5, , , , , , , , , , , , , , , , , , , , 
9,9,9,70,107,Yb,375.3,0.7,1.5, , , , , , , , , , , , , , , , , , , , 
10,10,10,70,107,Yb,423.4,0.4,2.5, , , , , , , , , , , , , , , , , , , , 
11,11,11,70,107,Yb,430.9,0.5,7.5, , , , , , , , , , , , , , , , , , , , 
12,12,12,70,107,Yb,432.9,1.1,0.5, , , , , , , , , , , , , , , , , , , , 
13,13,13,70,107,Yb,526.4,1.1,3.5, , , , , , , , , , , , , , , , , , , , 
14,14,14,70,107,Yb,527.6,0.8,6.5, , , , , , , , , , , , , , , , , , , , 
15,15,15,70,107,Yb,612.9,1.2,4.5, , , , , , , , , , , , , , , , , , , , 
16,16,16,70,107,Yb,618.1,0.5,8.5, , , , , , , , , , , , , , , , , , , , 
17,17,17,70,107,Yb,622.0,0.4,0.5, , , , , , , , , , , , , , , , , , , , 
18,18,18,70,107,Yb,703.7,0.8,1.5, , , , , , , , , , , , , , , , , , , , 
19,19,19,70,107,Yb,715.4,1.5,0.5, , , , , , , , , , , , , , , , , , , , 
20,20,20,70,107,Yb,719.6,1,7.5, , , , , , , , , , , , , , , , , , , , 
21,21,21,70,107,Yb,770.6,1.1,2.5, , , , , , , , , , , , , , , , , , , , 
22,22,22,70,107,Yb,827.5,0.6,9.5, , , , , , , , , , , , , , , , , , , , 
23,23,23,70,107,Yb,831.9,1.4,1.5, , , , , , , , , , , , , , , , , , , , 
24,24,24,70,107,Yb,865.0,1.5,3.5, , , , , , , , , , , , , , , , , , , , 
25,25,25,70,107,Yb,866.7,0.7,1.5, , , , , , , , , , , , , , , , , , , , 
26,26,26,70,107,Yb,935.6,1.1,8.5, , , , , , , , , , , , , , , , , , , , 
27,27,27,70,107,Yb,939.4,0.8,1.5, , , , , , , , , , , , , , , , , , , , 
28,28,28,70,107,Yb,961.3,2,0.5, , , , , , , , , , , , , , , , , , , , 
29,29,29,70,107,Yb,975.3,1.2,4.5, , , , , , , , , , , , , , , , , , , , 
30,30,30,70,107,Yb,997.6,0.8,1.5, , , , , , , , , , , , , , , , , , , , 
31,31,31,70,107,Yb,1048.6,1.8,0.5, , , , , , , , , , , , , , , , , , , , 
32,32,32,70,107,Yb,1057.5,0.6,10.5, , , , , , , , , , , , , , , , , , , , 
33,33,33,70,107,Yb,1108.9,1.6,5.5, , , , , , , , , , , , , , , , , , , , 
34,34,34,70,107,Yb,1125.5,1.4,0.5, , , , , , , , , , , , , , , , , , , , 
35,35,35,70,107,Yb,1169.0,1.9,0.5, , , , , , , , , , , , , , , , , , , , 
36,36,36,70,107,Yb,1175.8,0.5,7.5, , , , , , , , , , , , , , , , , , , , 
37,37,37,70,107,Yb,1208.7,0.9,2.5, , , , , , , , , , , , , , , , , , , , 
38,38,38,70,107,Yb,1221.3,1.1,3.5, , , , , , , , , , , , , , , , , , , , 
39,39,39,70,107,Yb,1283.9,0.8,1.5, , , , , , , , , , , , , , , , , , , , 
40,40,40,70,107,Yb,1310.1,0.7,11.5, , , , , , , , , , , , , , , , , , , , 
41,41,41,70,107,Yb,1319.3,0.8,1.5, , , , , , , , , , , , , , , , , , , , 
42,42,42,70,107,Yb,1358.5,0.9,1.5, , , , , , , , , , , , , , , , , , , , 
43,43,43,70,107,Yb,1377.8,1,8.5, , , , , , , , , , , , , , , , , , , , 
44,44,44,70,107,Yb,1416.6,1.1,2.5, , , , , , , , , , , , , , , , , , , , 
45,45,45,70,107,Yb,1443.6,1.2,2.5, , , , , , , , , , , , , , , , , , , , 
46,46,46,70,107,Yb,1493.6,1.2,2.5, , , , , , , , , , , , , , , , , , , , 
47,47,47,70,107,Yb,1562.3,1.4,3.5, , , , , , , , , , , , , , , , , , , , 
48,48,48,70,107,Yb,1591.8,1.3,2.5, , , , , , , , , , , , , , , , , , , , 
49,49,49,70,107,Yb,1600.8,1,9.5, , , , , , , , , , , , , , , , , , , , 
50,50,50,70,107,Yb,1625.9,1.7,0.5, , , , , , , , , , , , , , , , , , , , 
51,51,51,70,107,Yb,1643.1,1.1,0.5, , , , , , , , , , , , , , , , , , , , 
52,52,52,70,107,Yb,1657.4,0.9,2.5, , , , , , , , , , , , , , , , , , , , 
53,53,53,70,107,Yb,1690.4,1.2,0.5, , , , , , , , , , , , , , , , , , , , 
54,54,54,70,107,Yb,1700.7,0.9,1.5, , , , , , , , , , , , , , , , , , , , 
55,55,55,70,107,Yb,1725.3,1.2,4.5, , , , , , , , , , , , , , , , , , , , 
56,56,56,70,107,Yb,1734.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
57,57,57,70,107,Yb,1750.3,1.4,0.5, , , , , , , , , , , , , , , , , , , , 
58,58,58,70,107,Yb,1826.0, ,2.5, , , , , , , , , , , , , , , , , , , , 
59,59,59,70,107,Yb,1844.8,1.1,10.5, , , , , , , , , , , , , , , , , , , , 
60,60,60,70,107,Yb,1849.9,1.3,0.5, , , , , , , , , , , , , , , , , , , , 
61,61,61,70,107,Yb,1863.3,1.2,0.5, , , , , , , , , , , , , , , , , , , , 
62,62,62,70,107,Yb,1876.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
63,63,63,70,107,Yb,1899.0,2.1,5.5, , , , , , , , , , , , , , , , , , , , 
64,64,64,70,107,Yb,1920.2,1.7,1.5, , , , , , , , , , , , , , , , , , , , 
65,65,65,70,107,Yb,1936.3,1.2,0.5, , , , , , , , , , , , , , , , , , , , 
66,66,66,70,107,Yb,1957.3,1.2,0.5, , , , , , , , , , , , , , , , , , , , 
67,67,67,70,107,Yb,1985.9,1.2,0.5, , , , , , , , , , , , , , , , , , , , 
