,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,73,108,Ta,0.0, ,3.5, ,STABLE, , , , , , , , , , , , , , ,2.3705, ,3.17, 
2,2,2,73,108,Ta,6.237,0.02,4.5, ,6.05,12,us,0.00000605,0.00000012, , , , , , , , , , ,5.28, ,3.71, 
3,3,3,73,108,Ta,136.262,0.013,4.5, ,39.5,16,ps,0.0000000000395,0.0000000000016, , , , , , , , , , ,2.6, , , 
4,4,4,73,108,Ta,158.554,0.024,5.5, , , , , , , , , , , , , , , , , , , , 
5,5,5,73,108,Ta,301.622,0.022,5.5, ,16,3,ps,0.000000000016,0.000000000003, , , , , , , , , , , , , , 
6,6,6,73,108,Ta,337.54,0.03,6.5, , , , , , , , , , , , , , , , , , , , 
7,7,7,73,108,Ta,482.168,0.023,2.5, ,10.8,1,ns,0.0000000108,0.0000000001, , , , , , , , , , ,3.29, ,2.35, 
8,8,8,73,108,Ta,495.184,0.022,6.5, ,6.3,8,ps,0.0000000000063,0.0000000000008, , , , , , , , , , , , , , 
9,9,9,73,108,Ta,542.51,0.03,7.5, , , , , , , , , , , , , , , , , , , , 
10,10,10,73,108,Ta,590.06,0.23,3.5, , , , , , , , , , , , , , , , , , , , 
11,11,11,73,108,Ta,615.19,0.03,0.5, ,18,1,us,0.000018,0.000001,IT,100, , , , , , , , , , , , 
12,12,12,73,108,Ta,618.99,0.05,1.5, ,0.87,2,ns,0.00000000087,0.00000000002, , , , , , , , , , , , , , 
13,13,13,73,108,Ta,716.659,0.025,7.5, ,3.0,4,ps,0.000000000003,0.0000000000004, , , , , , , , , , ,2, , , 
14,14,14,73,108,Ta,727.31,0.23,4.5, , , , , , , , , , , , , , , , , , , , 
15,15,15,73,108,Ta,772.97,0.04,8.5, , , , , , , , , , , , , , , , , , , , 
16,16,16,73,108,Ta,892.9,0.3,5.5, , , , , , , , , , , , , , , , , , , , 
17,17,17,73,108,Ta,964.99,0.04,8.5, ,1.93,24,ps,0.00000000000193,0.00000000000024, , , , , , , , , , ,4, , , 
18,18,18,73,108,Ta,993.7,0.3,0.5, , , , , , , , , , , , , , , , , , , , 
19,19,19,73,108,Ta,994.2,1,2.5, , , , , , , , , , , , , , , , , , , , 
20,20,20,73,108,Ta,1022.6,1,4.5, , , , , , , , , , , , , , , , , , , , 
21,21,21,73,108,Ta,1027.94,0.05,9.5, , , , , , , , , , , , , , , , , , , , 
22,22,22,73,108,Ta,1085.6,0.3,6.5, , , , , , , , , , , , , , , , , , , , 
23,23,23,73,108,Ta,1156.6,0.5,0.5, , , , , , , , , , , , , , , , , , , , 
24,24,24,73,108,Ta,1163.6,1.5,6.5, , , , , , , , , , , , , , , , , , , , 
25,25,25,73,108,Ta,1205.7,0.6,1.5, , , , , , , , , , , , , , , , , , , , 
26,26,26,73,108,Ta,1233.1, ,0.5, , , , , , , , , , , , , , , , , , , , 
27,27,27,73,108,Ta,1239.47,0.05,9.5, ,1.12,14,ps,0.00000000000112,0.00000000000014, , , , , , , , , , ,4, , , 
28,28,28,73,108,Ta,1278.1,0.6,2.5, , , , , , , , , , , , , , , , , , , , 
29,29,29,73,108,Ta,1304.8,0.4,7.5, , , , , , , , , , , , , , , , , , , , 
30,30,30,73,108,Ta,1307.11,0.05,10.5, , , , , , , , , , , , , , , , , , , , 
31,31,31,73,108,Ta,1340.0,15,0.5, , , , , , , , , , , , , , , , , , , , 
32,32,32,73,108,Ta,1380.1,0.5,3.5, , , , , , , , , , , , , , , , , , , , 
33,33,33,73,108,Ta,1380.6,0.6,5.5, , , , , , , , , , , , , , , , , , , , 
34,34,34,73,108,Ta,1390.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
35,35,35,73,108,Ta,1403.2,0.6,7.5, , , , , , , , , , , , , , , , , , , , 
36,36,36,73,108,Ta,1403.35,0.22,8.5, , , , , , , , , , , , , , , , , , , , 
37,37,37,73,108,Ta,1403.9,0.22,7.5, , , , , , , , , , , , , , , , , , , , 
38,38,38,73,108,Ta,1419.6,1.8,8.5, , , , , , , , , , , , , , , , , , , , 
39,39,39,73,108,Ta,1472.7, ,0.5, , , , , , , , , , , , , , , , , , , , 
40,40,40,73,108,Ta,1483.43,0.21,10.5, ,25,2,us,0.000025,0.000002, , , , , , , , , , , , , , 
41,41,41,73,108,Ta,1507.9,0.7,4.5, , , , , , , , , , , , , , , , , , , , 
42,42,42,73,108,Ta,1539.31,0.09,10.5, ,0.76,10,ps,0.00000000000076,0.0000000000001, , , , , , , , , , , , , , 
43,43,43,73,108,Ta,1548.4,0.4,8.5, , , , , , , , , , , , , , , , , , , , 
44,44,44,73,108,Ta,1563.4,0.7,6.5, , , , , , , , , , , , , , , , , , , , 
45,45,45,73,108,Ta,1583.8,1,8.5, , , , , , , , , , , , , , , , , , , , 
46,46,46,73,108,Ta,1591.9,0.4,9.5, , , , , , , , , , , , , , , , , , , , 
47,47,47,73,108,Ta,1608.85,0.2,11.5, , , , , , , , , , , , , , , , , , , , 
48,48,48,73,108,Ta,1661.1, ,0.5, , , , , , , , , , , , , , , , , , , , 
49,49,49,73,108,Ta,1664.9,0.7,5.5, , , , , , , , , , , , , , , , , , , , 
